trial,sample,image,relative_time_s,measurement_y,left_x,right_x,status,note,lane_center_x,signed_error_px,abs_error_px,squared_error_px2
CNN_03,1,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_082503_192901/images/0_cam_image_array_.jpg,0.0,78,40.0,120,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",80.0,0.0,0.0,0.0
CNN_03,2,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_082503_192901/images/27_cam_image_array_.jpg,1.318,78,,110,unmeasurable,yellow dash gap or ambiguous dash tip at y=78,,,,
CNN_03,3,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_082503_192901/images/53_cam_image_array_.jpg,2.62,78,27.5,105,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",66.25,-13.75,13.75,189.0625
CNN_03,4,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_082503_192901/images/79_cam_image_array_.jpg,3.923,78,19.0,100,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",59.5,-20.5,20.5,420.25
CNN_03,5,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_082503_192901/images/105_cam_image_array_.jpg,5.23,78,,107,unmeasurable,yellow dash gap or ambiguous dash tip at y=78,,,,
CNN_03,6,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_082503_192901/images/131_cam_image_array_.jpg,6.531,78,,97,unmeasurable,yellow dash gap or ambiguous dash tip at y=78,,,,
CNN_03,7,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_082503_192901/images/157_cam_image_array_.jpg,7.837,78,38.0,120,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",79.0,-1.0,1.0,1.0
CNN_03,8,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_082503_192901/images/183_cam_image_array_.jpg,9.135,78,7.0,78,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",42.5,-37.5,37.5,1406.25
CNN_03,9,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_082503_192901/images/209_cam_image_array_.jpg,10.443,78,,110,unmeasurable,yellow dash gap or ambiguous dash tip at y=78,,,,
CNN_03,10,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_082503_192901/images/235_cam_image_array_.jpg,11.746,78,23.0,101,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",62.0,-18.0,18.0,324.0
CNN_01R1,1,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083059_817688/images/0_cam_image_array_.jpg,0.0,78,36.0,118,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",77.0,-3.0,3.0,9.0
CNN_01R1,2,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083059_817688/images/28_cam_image_array_.jpg,1.371,78,,104,unmeasurable,yellow dash gap or ambiguous dash tip at y=78,,,,
CNN_01R1,3,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083059_817688/images/56_cam_image_array_.jpg,2.769,78,,101,unmeasurable,yellow dash gap or ambiguous dash tip at y=78,,,,
CNN_01R1,4,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083059_817688/images/83_cam_image_array_.jpg,4.124,78,,92,unmeasurable,yellow dash gap or ambiguous dash tip at y=78,,,,
CNN_01R1,5,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083059_817688/images/111_cam_image_array_.jpg,5.529,78,18.0,100,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",59.0,-21.0,21.0,441.0
CNN_01R1,6,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083059_817688/images/138_cam_image_array_.jpg,6.879,78,10.0,84,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",47.0,-33.0,33.0,1089.0
CNN_01R1,7,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083059_817688/images/166_cam_image_array_.jpg,8.279,78,26.0,109,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",67.5,-12.5,12.5,156.25
CNN_01R1,8,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083059_817688/images/193_cam_image_array_.jpg,9.634,78,19.0,100,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",59.5,-20.5,20.5,420.25
CNN_01R1,9,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083059_817688/images/221_cam_image_array_.jpg,11.036,78,13.5,95,draft_measured,"AI-assisted visual annotation, not human-verified ground truth",54.25,-25.75,25.75,663.0625
