frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,near_offset,preview_error,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.0645310950003477,5141508524000,0.041866411,True,43.13811700012593,17.01640600003884,ready,-0.096875,-0.2140625,370,397,True,
2,0.10808883400022751,5141555637000,0.038435371,True,24.86899099949369,14.417415000025358,ready,-0.096875,-0.2140625,370,397,True,
3,0.15264379600012035,5141602751000,0.035867481,True,27.274893999674532,13.008365000132471,ready,-0.096875,-0.20937500000000003,370,396,True,
4,0.19841773799998919,5141649867000,0.034544885,True,29.909181000220997,11.6118899995854,ready,-0.096875,-0.2140625,370,397,True,
5,0.24543767600061983,5141696984000,0.034434564,True,31.05034700001852,11.700406999807456,ready,-0.09375,-0.21093750000000003,400,397,True,
6,0.2927458680005657,5141744099000,0.03461922,True,31.27610200044728,11.756090999369917,ready,-0.09375,-0.21093750000000003,400,397,True,
7,0.34214800500012643,5141791215000,0.036888524,True,32.11362399997597,12.994181000067329,ready,-0.09375,-0.21093750000000003,400,397,True,
8,0.38882933800050523,5141838329000,0.036437116,True,29.291951000232075,13.073068000267085,ready,-0.090625,-0.21250000000000002,400,397,True,
9,0.43505884500063985,5141885444000,0.0356139,True,30.400228999496903,11.577908000617754,ready,-0.090625,-0.21250000000000002,400,397,True,
10,0.48123003900036565,5141932561000,0.034651224,True,30.111733000012464,11.791109000114375,ready,-0.090625,-0.21250000000000002,400,397,True,
11,0.5287777450002977,5141979677000,0.035090523,True,31.042014000377094,12.244229999851086,ready,-0.0875,-0.20937500000000003,400,396,True,
12,0.5755070590003015,5142026791000,0.034708799,True,30.668243000036455,11.80346000001009,ready,-0.084375,-0.215625,400,397,True,
13,0.6226605319998271,5142073908000,0.034747346,True,30.904589999408927,11.992882999948051,ready,-0.084375,-0.21093750000000003,400,397,True,
14,0.6709894100004021,5142121023000,0.035967354,True,32.37121300026047,11.706516999765881,ready,-0.084375,-0.215625,400,397,True,
15,0.7168598680000287,5142168139000,0.034690238,True,29.735666000306082,11.85429299948737,ready,-0.0875,-0.20937500000000003,400,396,True,
16,0.7634818679998716,5142215252000,0.034232719,True,30.82475799965323,11.549131000720081,ready,-0.090625,-0.21250000000000002,400,397,True,
17,0.8111192950000259,5142262370000,0.034746795,True,31.530023000414076,11.852589000227454,ready,-0.090625,-0.21250000000000002,400,397,True,
18,0.8578345169999011,5142309485000,0.034325868,True,30.93545899992023,11.504596000122547,ready,-0.084375,-0.21093750000000003,400,397,True,
19,0.9051928750004663,5142356600000,0.034572189,True,31.718686999738566,11.369505000402569,ready,-0.08125,-0.2078125,400,396,True,
20,0.95435177499985,5142403715000,0.036579665,True,31.836406999900646,13.013308999688888,ready,-0.0796875,-0.19921875,400,395,True,
21,1.0010990700002367,5142450830000,0.036219329,True,29.612168000312522,12.832776000323065,ready,-0.0765625,-0.20546875000000003,400,396,True,
22,1.0476268870006606,5142497947000,0.035671498,True,30.22439799951826,12.043308000102115,ready,-0.078125,-0.2,400,395,True,
