frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,near_offset,preview_error,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.030108865000329388,7097538763000,0.039795711,True,10.149570000066888,15.588524999657238,ready,0.071875,-0.07343750000000002,370,376,True,
2,0.07525576500029274,7097585877000,0.037829795,True,27.092864999758604,13.66368999970291,ready,0.071875,-0.07343750000000002,370,376,True,
3,0.1183367769999677,7097632992000,0.033900472,True,27.899294999770063,10.899945000346634,ready,0.071875,-0.07343750000000002,370,376,True,
4,0.16515520099983405,7097680108000,0.033571804,True,31.962811000084912,10.546378000071854,ready,0.071875,-0.07343750000000002,370,376,True,
5,0.21416441700057476,7097727223000,0.035474354,True,32.80546299993148,11.900019000677275,ready,0.06875,-0.07187500000000005,400,376,True,
6,0.2612184480003634,7097774339000,0.035407032,True,30.935646000216366,11.80807599939726,ready,0.071875,-0.07343750000000002,400,376,True,
7,0.30837249500018515,7097821455000,0.035443098,True,30.967534000410524,11.876685999595793,ready,0.071875,-0.07343750000000002,400,376,True,
8,0.3565905040004509,7097868570000,0.036540978,True,32.05379199971503,11.845353000353498,ready,0.071875,-0.07343750000000002,400,376,True,
9,0.40307056399979047,7097915684000,0.035933389,True,29.86314699955983,12.326195999776246,ready,0.06875,-0.07187500000000005,400,376,True,
10,0.44959267800004454,7097962799000,0.035327263,True,30.33091700035584,11.88687099966046,ready,0.0625,-0.06875,400,375,True,
11,0.4985438029998477,7098009915000,0.037222961,True,33.114660999672196,11.591580000640533,ready,0.0625,-0.06875,400,375,True,
12,0.5424171710001247,7098057030000,0.033980125,True,28.754279000168026,10.87629699941317,ready,0.0625,-0.07343750000000002,400,376,True,
13,0.5901253190004354,7098104147000,0.034555977,True,31.866962000094645,11.583413000153087,ready,0.0625,-0.07343750000000002,400,376,True,
14,0.637012612000035,7098151262000,0.034331955,True,31.25899200040294,11.371546999725979,ready,0.0625,-0.07812500000000006,400,377,True,
15,0.6842944350000835,7098198378000,0.034436853,True,31.706521000160137,11.259863999839581,ready,0.0640625,-0.08828125000000006,400,378,True,
16,0.7314677599997594,7098245494000,0.034564713,True,31.54635699956998,11.383454000679194,ready,0.0640625,-0.08828125000000006,400,378,True,
17,0.7783243310004764,7098292608000,0.034305896,True,31.528152999271697,11.08149800074898,ready,0.0609375,-0.08671875000000004,400,378,True,
18,0.8271866240002055,7098339726000,0.036004671,True,32.298694999553845,12.2718270004043,ready,0.059375,-0.09531250000000004,400,379,True,
19,0.8746155180006099,7098386838000,0.036305862,True,30.299731999548385,12.796484000318742,ready,0.0546875,-0.09765625000000006,400,380,True,
20,0.9198974340006316,7098433954000,0.034525906,True,29.531135000070208,11.494305000269378,ready,0.0515625,-0.10546875000000001,400,381,True,
21,0.9665691750005863,7098481069000,0.034084796,True,31.66222499930882,10.758540000097128,ready,0.04375,-0.06874999999999991,400,375,True,
22,1.0175718730006338,7098528184000,0.037926346,True,33.65179899992654,13.055126999461208,ready,0.05625,-0.12187499999999987,400,383,True,
23,1.0630300820002958,7098575300000,0.036279351,True,28.37173000079929,12.796983999578515,ready,0.05,-0.11874999999999987,400,383,True,
24,1.1084989760001918,7098622415000,0.034659078,True,30.49998799997411,10.706836999816005,ready,0.04375,-0.12499999999999985,400,384,True,
25,1.1555392469999788,7098669532000,0.034592868,True,31.46811699934915,11.321956000756472,ready,0.034375,-0.13437499999999986,400,385,True,
26,1.2030367890001799,7098716647000,0.034982279,True,31.187382000098296,12.064645999998902,ready,0.03125,-0.16562500000000005,400,390,True,
27,1.2494068880005216,7098763761000,0.03423049,True,31.05562499968073,11.063146000196866,ready,0.025,-0.16718750000000002,400,390,True,
28,1.2994099750003443,7098810879000,0.03709504,True,35.15001200048573,10.582117999547336,ready,0.021875,-0.17500000000000004,400,391,True,
29,1.3440442360006273,7098857994000,0.03464593,True,28.93949799999973,11.454509000031976,ready,0.01875,-0.17812500000000006,400,392,True,
30,1.3908061430001908,7098905110000,0.034260134,True,31.420322000485612,11.069885999859252,ready,0.0125,-0.17500000000000004,400,391,True,
