frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,target_source,near_extrapolation,near_uncertainty_px,near_offset,preview_error,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.10056517699922551,13973092493000,0.083858619,True,36.121748000368825,59.79002700041747,ready,paired,,,0.103125,0.0703125,370,354,True,
2,0.15934799800015753,13973186724000,0.050338296,True,29.620638999404036,26.403212001241627,ready,paired,,,0.103125,0.0703125,370,354,True,
3,0.20360977299969818,13973233838000,0.047467572,True,15.234107999276603,26.277807000951725,ready,paired,,,0.103125,0.0703125,370,354,True,
4,0.25003562299934856,13973280954000,0.046806754,True,17.759860998921795,25.943738999558263,ready,paired,,,0.103125,0.0703125,370,354,True,
5,0.29739540000082343,13973328068000,0.047045105,True,18.48036699993827,26.148013001147774,ready,paired,,,0.103125,0.0703125,400,354,True,
6,0.3443441100007476,13973375185000,0.046875723,True,18.063911000353983,26.153475999308284,ready,paired,,,0.103125,0.0703125,400,354,True,
7,0.39156248300059815,13973422300000,0.046984947,True,18.32766599909519,26.16229100021883,ready,paired,,,0.103125,0.0703125,400,354,True,
8,0.4388265399993543,13973469417000,0.047121912,True,18.198113000835292,26.31199099960213,ready,paired,,,0.103125,0.0703125,400,354,True,
9,0.4869105830002809,13973516533000,0.048099418,True,17.935821000719443,27.421546999903512,ready,paired,,,0.1,0.071875,400,354,True,
10,0.5339407550000033,13973563647000,0.048017275,True,17.00042999982543,27.30251100001624,ready,paired,,,0.1,0.057812499999999975,400,356,True,
11,0.5811082950003765,13973610762000,0.048036038,True,17.096612999011995,27.310567000313313,ready,paired,,,0.1,0.057812499999999975,400,356,True,
12,0.6279443589992297,13973657878000,0.047785231,True,17.016485000567627,27.089866998721845,ready,paired,,,0.096875,0.05937499999999998,400,356,True,
13,0.6735777590001817,13973704992000,0.046301483,True,17.296813000939437,25.60109699879831,ready,paired,,,0.09375,0.056249999999999994,400,357,True,
