frame,elapsed_s,ready,source,pwm,near,far,reason,ms
1,0.005646421001074486,True,paired,377,82.0,76.25,consistent,1.116291037760675
2,0.05288335800105415,True,paired,377,82.0,76.25,consistent,0.41737500578165054
3,0.0987836710010015,True,paired,377,82.0,76.5,consistent,0.3547080559656024
4,0.1453059920004307,True,paired,377,82.0,76.25,consistent,0.3522090846672654
5,0.19349226499980432,True,paired,377,82.0,76.5,consistent,0.49899995792657137
6,0.23942933600119432,True,paired,377,82.0,76.25,consistent,0.46083307825028896
7,0.2865344060010102,True,paired,377,82.0,76.25,consistent,0.34254195634275675
8,0.33382576900112326,True,paired,377,82.0,76.25,consistent,0.3432920202612877
9,0.38090600600116886,True,paired,377,82.0,76.25,consistent,0.33708405680954456
10,0.42785335600092367,True,paired,377,82.0,76.25,consistent,0.3258329816162586
11,0.474981833000129,True,paired,377,82.0,76.25,consistent,0.32116693910211325
12,0.5221339760009869,True,paired,377,82.0,76.25,consistent,0.34037488512694836
13,0.5692217310006527,True,paired,377,82.0,76.25,consistent,0.3333750646561384
14,0.6176480920003087,True,paired,377,82.0,76.25,consistent,0.3265420673415065
15,0.6656447759996809,True,paired,377,82.0,76.25,consistent,0.3261249512434006
16,0.7112402980001207,True,paired,377,82.0,76.25,consistent,0.31704199500381947
17,0.757717323000179,True,paired,377,82.0,76.25,consistent,0.320291961543262
18,0.8047920419994625,True,paired,377,82.0,76.5,consistent,0.3134579164907336
19,0.8526294690000213,True,paired,377,82.0,76.25,consistent,0.31762500293552876
20,0.8996267069996975,True,paired,377,82.0,76.25,consistent,0.31287502497434616
21,0.9470978080007626,True,paired,377,82.0,76.25,consistent,0.31570892315357924
22,0.9942441180010064,True,paired,377,82.0,76.5,consistent,0.3148750402033329
23,1.0411342099996546,True,paired,377,82.0,76.25,consistent,0.32783392816782
24,1.0874502370006667,True,paired,377,82.0,76.25,consistent,0.31570903956890106
25,1.1373850729996775,True,paired,377,82.0,76.25,consistent,0.34374999813735485
26,1.1817115240010025,True,paired,377,82.0,76.25,consistent,0.3778750542551279
27,1.2306107660006091,True,paired,377,82.0,76.25,consistent,0.35708292853087187
28,1.276659503000701,True,paired,377,82.0,76.25,consistent,0.33125001937150955
29,1.3236391860009462,True,paired,377,82.0,76.25,consistent,0.3839170094579458
30,1.370788292000725,True,paired,377,82.0,76.25,consistent,0.3902500029653311
31,1.4178729360010038,True,paired,377,82.0,76.25,consistent,0.31837495043873787
32,1.464943562001281,True,paired,377,82.0,76.25,consistent,0.3816660027951002
33,1.5121379080010229,True,paired,377,82.0,76.25,consistent,0.3161659697070718
34,1.5594161040007748,True,paired,377,82.0,76.25,consistent,0.3373330691829324
35,1.609654453000985,True,paired,377,82.0,76.25,consistent,0.3654579631984234
36,1.653596854999705,True,paired,377,82.0,76.5,consistent,0.3435000544413924
37,1.7000100300010672,True,paired,377,82.0,76.25,consistent,0.31758297700434923
38,1.7472718930002884,True,paired,377,82.0,76.25,consistent,0.3223329549655318
39,1.7960759329998837,True,paired,377,82.0,76.25,consistent,0.3206670517101884
40,1.8433954070005711,True,paired,379,81.75,75.75,consistent,0.32454205211251974
41,1.8890537050010607,True,paired,378,82.0,76.0,consistent,0.31525001395493746
42,1.9364318440002535,True,paired,378,82.0,76.0,consistent,0.3156659658998251
43,1.9832991399998718,True,paired,377,82.0,76.5,consistent,0.33358403015881777
44,2.0305339860005915,True,paired,377,82.0,76.25,consistent,0.32670795917510986
45,2.077708980001262,True,paired,378,82.25,76.25,consistent,0.31337502878159285
46,2.1244327229996998,True,paired,377,81.75,76.25,consistent,0.3059169976040721
47,2.1712152609998157,True,paired,377,81.75,76.25,consistent,0.30370906461030245
48,2.2182337770009326,True,paired,378,81.75,76.0,consistent,0.3292909823358059
49,2.2654256599998916,True,paired,377,81.25,76.0,consistent,0.36583305336534977
50,2.314036148000014,True,paired,378,81.25,75.75,consistent,0.37645897828042507
51,2.360378638999464,True,paired,378,81.25,75.75,consistent,0.32879202626645565
52,2.4074120429995673,True,paired,378,81.0,75.75,consistent,0.35212491638958454
53,2.456399190999946,True,paired,379,81.0,75.5,consistent,0.3635419998317957
54,2.501420519000021,True,paired,379,80.75,75.25,consistent,0.4046660615131259
55,2.54976149399954,True,paired,380,80.5,74.75,consistent,0.3389159683138132
56,2.5958091560005414,True,paired,380,80.0,74.75,consistent,0.35441690124571323
57,2.6434987150005327,True,paired,380,79.25,74.5,consistent,0.3473329124972224
58,2.6893316410005355,True,paired,381,80.25,74.5,consistent,0.3606670070439577
59,2.7364616360009677,True,paired,382,79.875,74.0,consistent,0.3334579523652792
60,2.7835869829996227,True,paired,382,79.75,74.0,consistent,0.3412918886169791
61,2.830838087000302,True,paired,383,79.5,73.5,consistent,0.39674993604421616
62,2.8779551759998867,True,paired,383,79.25,73.25,consistent,0.3225000109523535
63,2.925069134000296,True,paired,383,79.0,73.25,consistent,0.35349989775568247
64,2.972573029999694,True,paired,383,78.625,73.0,consistent,0.3657079068943858
65,3.0217633040010696,True,paired,384,78.25,72.75,consistent,0.339917023666203
66,3.068106943001112,True,paired,384,77.875,72.5,consistent,0.3653339808806777
67,3.1134982650000893,True,paired,385,78.08333333333333,72.25,consistent,0.36224990617483854
68,3.1608134050002263,True,paired,381,77.58333333333333,75.5,consistent,0.33679103944450617
69,3.2077056640009687,True,paired,387,78.25,75.0,consistent,0.3909999504685402
70,3.254951508999511,True,paired,388,78.25,74.75,consistent,0.3520409809425473
71,3.3022317420000036,True,paired,387,77.5,74.5,consistent,0.35924999974668026
72,3.349084835001122,True,paired,388,77.25,74.0,consistent,0.38887502159923315
73,3.3969438359999913,True,paired,390,76.25,73.0,consistent,0.36808301229029894
74,3.4440021099999285,True,paired,391,75.75,72.5,consistent,0.350333983078599
75,3.49363861799975,True,paired,390,75.0,72.25,consistent,0.3697910578921437
76,3.538525744001163,True,paired,394,75.0,68.0,consistent,0.374582945369184
77,3.585256043001209,True,paired,395,74.25,67.5,consistent,0.41341606993228197
78,3.6317263649998495,True,paired,395,74.0,67.25,consistent,0.32650004141032696
79,3.6809770640011266,True,paired,397,73.75,66.5,consistent,0.3363329451531172
80,3.7265662150002754,True,paired,398,73.0,66.0,consistent,0.3448330098763108
81,3.7737948020003387,True,paired,399,72.75,65.5,consistent,0.33350009471178055
82,3.8208376319998933,True,paired,400,71.75,64.75,consistent,0.34604198299348354
83,3.867998626001281,True,paired,401,71.5,64.5,consistent,0.3826250322163105
84,3.915291323000929,True,paired,402,71.0,64.0,consistent,0.34187501296401024
85,3.965733426999577,True,paired,402,70.375,63.5,consistent,0.3476670244708657
86,4.009885122000924,True,paired,404,69.375,62.5,consistent,0.3857080591842532
87,4.056146114000512,True,paired,404,69.125,62.5,consistent,0.3498330479487777
88,4.103062817001046,True,paired,405,68.25,61.75,consistent,0.3964999923482537
89,4.150823764000961,True,paired,406,68.0,61.5,consistent,0.38529199082404375
90,4.198280661001263,True,paired,405,67.625,61.75,consistent,0.3677499480545521
91,4.245092199000283,True,paired,401,66.625,64.75,consistent,0.39545807521790266
92,4.292185287000393,True,paired,409,68.0,64.25,consistent,0.3732909681275487
93,4.339386282001215,True,paired,410,67.5,63.75,consistent,0.38062501698732376
94,4.3862985400010075,True,paired,408,67.0,63.75,consistent,0.43166696559637785
95,4.434115190000739,True,paired,408,66.75,63.5,consistent,0.39570906665176153
96,4.480861099000322,True,paired,407,66.5,63.5,consistent,0.40666700806468725
97,4.528077630000553,True,paired,408,66.0,63.0,consistent,0.3915000706911087
98,4.575116830999832,True,paired,408,65.25,62.5,consistent,0.36570802330970764
99,4.621733723999569,True,paired,410,65.25,62.25,consistent,0.4659999394789338
100,4.668485817999681,True,paired,408,65.25,62.5,consistent,0.37929206155240536
101,4.715692941999805,True,paired,406,65.75,63.25,consistent,0.35404099617153406
102,4.762695588000497,True,paired,405,67.5,64.5,consistent,0.36862504202872515
