frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,near_offset,preview_error,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.03743825000037759,7239044909000,0.029194735,True,29.051161000097636,8.346978999725252,ready,0.034375,-0.06875000000000002,370,375,False,
2,0.083601749999616,7239092025000,0.028244309,True,38.74200400059635,7.358551999459451,ready,0.034375,-0.06875000000000002,370,375,False,
3,0.13044879399967613,7239139140000,0.027975037,True,39.535230999717896,7.265962000019499,ready,0.034375,-0.06875000000000002,370,375,False,
4,0.17762096099977498,7239186258000,0.028028797,True,39.77622700040229,7.349347999479505,ready,0.034375,-0.06875000000000002,370,375,False,
5,0.224629129999812,7239233372000,0.027923448,True,39.74676400048338,7.213906999822939,ready,0.034375,-0.06875000000000002,400,375,False,
6,0.27188498099985736,7239280488000,0.028063021,True,39.854742999523296,7.354293999924266,ready,0.034375,-0.06875000000000002,400,375,False,
7,0.3188130779999483,7239327603000,0.02787497,True,39.70956099965406,7.170777999817801,ready,0.034375,-0.06875000000000002,400,375,False,
8,0.36614050200023485,7239374719000,0.028080597,True,39.896835000035935,7.3762749998422805,ready,0.034375,-0.06875000000000002,400,375,False,
9,0.41304172899981495,7239421834000,0.027875676,True,39.67735799960792,7.17772200005129,ready,0.034375,-0.06875000000000002,400,375,False,
10,0.4602076740002303,7239468950000,0.02792651,True,39.81917000055546,7.300553999812109,ready,0.034375,-0.06875000000000002,400,375,False,
11,0.5070896979996178,7239516064000,0.027694071,True,39.714116000141075,7.12107500021375,ready,0.034375,-0.06875000000000002,400,375,False,
12,0.5543159019998711,7239563181000,0.027802645,True,39.98079699977097,7.198739999694226,ready,0.034375,-0.06875000000000002,400,375,False,
13,0.601451014000304,7239610295000,0.027822702,True,39.89800199997262,7.188925999798812,ready,0.034375,-0.06875000000000002,400,375,False,
14,0.6487135130000752,7239657412000,0.027970682,True,39.92053899946768,7.296313000551891,ready,0.034375,-0.06875000000000002,400,375,False,
15,0.6956250729999738,7239704526000,0.027767206,True,39.682098000412225,7.183556000200042,ready,0.034375,-0.06875000000000002,400,375,False,
16,0.7428480170001421,7239751642000,0.027875353,True,39.92320599991217,7.255146000716195,ready,0.034375,-0.06875000000000002,400,375,False,
17,0.7898629100000107,7239798757000,0.027773135,True,39.77829999985261,7.188610999946832,ready,0.034375,-0.06875000000000002,400,375,False,
18,0.8372014630003832,7239845873000,0.027997299,True,39.98994500034314,7.302219999473891,ready,0.034375,-0.06875000000000002,400,375,False,
19,0.8841381709999041,7239892988000,0.027818729,True,39.69050599971524,7.199313999990409,ready,0.034375,-0.06875000000000002,400,375,False,
20,0.9312984130001496,7239940105000,0.027862786,True,39.905298999656225,7.207702999949106,ready,0.034375,-0.06875000000000002,400,375,False,
21,0.9785605409997515,7239987219000,0.028008821,True,40.0278890001573,7.156314999519964,ready,0.034375,-0.06875000000000002,400,375,False,
22,1.0255393600000389,7240034336000,0.027872103,True,39.63376599949697,7.299739000700356,ready,0.034375,-0.06875000000000002,400,375,False,
