frame,elapsed_s,capture_wait_ms,processing_ms,track_status,target_status,offset,steering_pwm,throttle_pwm
1,0.02232387900039612,2.0577800005412428,19.536944999344996,selected,direct,0.0625,348,370
2,0.10657592499956081,36.79698399901099,11.706708000929211,selected,direct,0.0625,348,370
3,0.15344614499917952,35.25858500142931,11.54465499894286,selected,direct,0.0625,348,370
4,0.20346957099900465,36.50871200079564,13.440770999295637,selected,direct,0.0625,348,370
5,0.25073056200017163,33.64274199884676,13.5426209999423,selected,direct,0.065625,347,400
6,0.2976646509996499,33.43437500006985,13.421215999187552,selected,direct,0.065625,347,400
7,0.34465927699966414,33.54950300126802,13.371882998399087,selected,direct,0.0625,348,400
8,0.39205674699951487,33.73742600160767,13.586249999207212,selected,direct,0.05625,348,400
9,0.43909259400061273,33.35672799948952,13.60512000064773,selected,direct,0.05625,348,400
10,0.4860951640002895,33.43654200034507,13.492807000147877,selected,direct,0.05625,348,400
11,0.5339937179996923,34.018532000118284,13.807264000206487,selected,direct,0.053125,348,400
12,0.5805628879988944,32.932179999988875,13.564361001044745,selected,direct,0.040625,348,400
13,0.6282023730000219,33.37119000025268,14.194407000104547,selected,direct,0.040625,348,400
14,0.6746101930002624,32.89814300114813,13.43606800037378,selected,direct,0.040625,348,400
15,0.7201279549990431,33.00536300048407,12.444621999748051,selected,direct,0.028125,349,400
16,0.7673306510005204,34.60011400056828,12.534138999399147,selected,direct,0.021875,349,400
17,0.8157493069993507,34.905200998764485,13.446457000100054,selected,direct,0.0125,350,400
18,0.8632663499993214,33.84151600039331,13.602065000668517,selected,direct,-0.003125,350,400
19,0.91007584900035,33.1739720004407,13.563731999965967,selected,direct,-0.00625,350,400
20,0.9573081550006464,33.69448199919134,13.465399999404326,selected,direct,-0.040625,353,400
21,1.0043436689993541,33.594020000236924,13.368328000069596,selected,interpolated,-0.0203125,352,400
22,1.0514323850002256,33.56529899974703,13.446271001157584,selected,interpolated,-0.0375,353,400
23,1.0931305449994397,6.026693001331296,7.799237999279285,selected,interpolated,-0.0515625,354,400
24,1.1374080499990669,36.466675001065596,7.76218200007861,selected,direct,-0.04375,354,400
25,1.1847225410001556,39.322386001003906,7.9447530006291345,selected,direct,-0.059375,355,400
26,1.2319712360003905,39.065259999915725,8.13434300107474,selected,direct,-0.08125,356,400
27,1.2791214139997464,38.93172499920183,8.170843000698369,selected,direct,-0.1,358,400
28,1.3262233339992235,38.895077999768546,8.159343000443187,selected,direct,-0.1125,359,400
29,1.3729458340003475,38.94287399998575,7.732275000307709,selected,direct,-0.13125,360,400
30,1.4199546079998981,39.25775700008671,7.705091000389075,selected,direct,-0.15,362,400
31,1.4675429269991582,39.387533000990516,8.154045999617665,selected,interpolated,-0.146875,362,400
32,1.5154184629991505,39.86795099990559,7.960437998917769,selected,interpolated,-0.1671875,363,400
33,1.561722099999315,38.255552000919124,8.00001199968392,selected,interpolated,-0.1875,365,400
34,1.6086930589990516,39.01537299861957,7.907736000561272,selected,direct,-0.16875,364,400
35,1.6558583109999745,39.39273600008164,7.723647000602796,selected,direct,-0.196875,366,400
36,1.7027317909996782,39.17662900130381,7.649294999282574,selected,direct,-0.221875,368,400
37,1.7495767889995477,39.37827399931848,7.419576999382116,selected,direct,-0.240625,369,400
38,1.7967033940003603,39.56982599993353,7.509020000725286,selected,direct,-0.259375,371,400
39,1.8438746459996764,39.596048000021256,7.528667998485616,selected,direct,-0.2875,373,400
40,1.8909741579991532,39.644009000767255,7.408558998577064,selected,interpolated,-0.30625,374,400
41,1.9379126359999646,39.567362999150646,7.321857001443277,selected,interpolated,-0.3296875,376,400
42,1.985389290999592,39.80678500010981,7.620037000378943,selected,direct,-0.34375,378,400
43,2.0323880269988877,39.42116200050805,7.5314269997761585,selected,direct,-0.36875,380,400
44,2.079507612999805,39.52632700020331,7.545518999904743,selected,direct,-0.39375,382,400
45,2.1270638589994633,24.81572599936044,7.862476999434875,selected,direct,-0.415625,383,400
46,2.175447941999664,40.53375399962533,7.802774000083446,selected,direct,-0.434375,385,400
47,2.2213969559998077,37.97281600054703,7.929494999189046,selected,interpolated,-0.44375,386,400
48,2.2681785660006426,38.95254000053683,7.780645999446278,selected,interpolated,-0.4671875,387,370
49,2.3150838410001597,39.27164599917887,7.584112001495669,selected,direct,-0.471875,388,370
50,2.3619668939991243,39.53004899994994,7.3036160010815365,selected,direct,-0.490625,389,370
51,2.409210126999824,39.687972001047456,7.50742799937143,selected,direct,-0.515625,390,370
52,2.4564826549994905,39.6957310003927,7.528797999839298,selected,direct,-0.521875,390,370
53,2.503733072000614,39.514400999905774,7.687442999667837,selected,direct,-0.5375,390,370
54,2.5508225849989685,39.257127999007935,7.78260800143471,selected,direct,-0.546875,390,370
55,2.597897875999479,39.26605400010885,7.7606269987882115,selected,direct,-0.559375,390,370
56,2.644753151000259,39.43688300023496,7.369429999016575,selected,interpolated,-0.5515625,390,370
57,2.6914328559996648,39.56823399857967,7.063602000926039,selected,unavailable,,350,370
58,2.738632922999386,40.08840900132782,7.062935999783804,selected,unavailable,,350,370
59,2.7859586350004975,40.22124100083602,7.0594169992546085,selected,unavailable,,350,370
60,2.8327401530004863,39.718231000733795,7.019009999567061,selected,unavailable,,350,370
61,2.8801112349992763,40.082891999190906,7.24169100067229,selected,direct,-0.584375,390,370
62,2.927378021999175,39.9157270003343,7.302635000087321,selected,direct,-0.6,390,370
63,2.973971358000199,39.73026699895854,6.8158290014253,selected,unavailable,,350,370
64,3.0208930039989355,40.16333399886207,6.714904000546085,selected,unavailable,,350,370
65,3.0681037359991024,40.4480519991921,6.714756000292255,selected,unavailable,,350,370
66,3.1151087140005984,40.38962599952356,6.568239999978687,selected,unavailable,,350,370
67,3.1622799840006337,25.630321999415173,6.635628000367433,selected,unavailable,,350,370
68,3.2093256269999983,40.513457999622915,6.486852000307408,selected,unavailable,,350,370
69,3.25607170100011,40.438366999296704,6.264449000809691,selected,unavailable,,350,370
70,3.303185991000646,40.846304000297096,6.223930999112781,selected,unavailable,,350,370
71,3.350486297000316,41.047374999834574,6.207542000993271,selected,unavailable,,350,370
