frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,target_source,near_extrapolation,near_uncertainty_px,near_offset,preview_error,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.10443262699845945,12629246199000,0.088486835,True,36.44328399968799,63.91967499985185,ready,paired,,,-0.01875,-0.08906250000000003,370,378,True,
2,0.1758957019992522,12629340428000,0.065430361,True,24.00947299975087,43.06890500083682,ready,paired,,,-0.01875,-0.08906250000000003,370,378,True,
3,0.2520203419990139,12629434659000,0.048934656,True,44.97620399888547,28.37365300001693,ready,paired,,,-0.01875,-0.08906250000000003,370,378,True,
4,0.301970751999761,12629481775000,0.051801565,True,18.99047100050666,28.231137001057505,ready,paired,,,-0.01875,-0.08906250000000003,370,378,True,
5,0.3462050799989811,12629528890000,0.048916968,True,13.330925999980536,28.170599998702528,ready,paired,,,-0.01875,-0.08906250000000003,400,378,True,
6,0.3934704459989007,12629576008000,0.049071204,True,16.21837299899198,28.321228001004783,ready,paired,,,-0.015625,-0.09062500000000002,400,379,True,
7,0.4405389269995794,12629623121000,0.049027426,True,15.988359000402852,28.356541999528417,ready,paired,,,-0.01875,-0.08906250000000003,400,378,True,
8,0.4878425889983191,12629670236000,0.049197865,True,16.19002200095565,28.371837999657146,ready,paired,,,-0.015625,-0.09062500000000002,400,379,True,
9,0.5359674579995044,12629717351000,0.050215975,True,15.794268998433836,29.59331600141013,ready,paired,,,-0.015625,-0.09062500000000002,400,379,True,
10,0.5811097509995307,12629764466000,0.048258861,True,14.788620999752311,27.6290740002878,ready,paired,,,-0.015625,-0.09062500000000002,400,379,True,
11,0.6284057649991155,12629811582000,0.048411282,True,16.87647200014908,27.67149899955257,ready,paired,,,-0.015625,-0.09062500000000002,400,379,True,
12,0.6761855099994136,12629858698000,0.049100731,True,16.549460000533145,28.508149998742738,ready,paired,,,-0.015625,-0.09062500000000002,400,379,True,
13,0.7240107549987442,12629905813000,0.049782477,True,15.903933999652509,29.168119999667397,ready,paired,,,-0.0125,-0.10625000000000002,400,381,True,
14,0.7733807679996971,12629952928000,0.052065767,True,18.7464379996527,27.899364999029785,ready,paired,,,-0.015625,-0.10468750000000002,400,381,True,
15,0.8163548419997824,12630000044000,0.047900304,True,13.107855000271229,27.120656999613857,ready,paired,,,-0.015625,-0.10468750000000002,400,381,True,
16,0.8627687969983526,12630047160000,0.047220129,True,17.11972699922626,26.569241001197952,ready,paired,,,-0.01875,-0.10312500000000001,400,380,True,
17,0.9099088689999917,12630094274000,0.047241961,True,17.82932500100287,26.5792779991898,ready,paired,,,-0.01875,-0.10781250000000002,400,381,True,
18,0.9580549969996355,12630141390000,0.048261348,True,17.7782329992624,27.626704000795144,ready,paired,,,-0.01875,-0.11250000000000003,400,382,True,
19,1.005283326998324,12630188506000,0.048390492,True,16.837084000144387,27.667331998600275,ready,paired,,,-0.01875,-0.12187500000000001,400,383,True,
20,1.0522483279983135,12630235621000,0.048240438,True,16.800454999611247,27.44220600106928,ready,paired,,,-0.021875,-0.12031250000000002,400,383,True,
21,1.1003482159994746,12630282736000,0.04919366,True,16.820639999423292,28.524426999865682,ready,paired,,,-0.01875,-0.12187500000000001,400,383,True,
22,1.147037166998416,12630329851000,0.048783166,True,15.766769998663221,28.18119400035357,ready,paired,,,-0.016666666666666607,-0.1229166666666667,400,383,True,
23,1.1970194279983843,12630376967000,0.051657853,True,17.761549001079402,29.489316999388393,ready,paired,,,-0.019791666666666607,-0.12135416666666671,400,383,True,
24,1.2463757559999067,12630424082000,0.053904273,True,16.559904001042014,30.07047399842122,ready,paired,,,-0.0125,-0.12499999999999993,400,384,True,
25,1.293681787999958,12630471198000,0.054098509,True,11.213371000849293,33.370266000929405,ready,paired,,,-0.015625,-0.12812500000000002,400,384,True,
26,1.3388116369987983,12630518313000,0.052096507,True,11.127650001071743,31.24404499976663,ready,paired,,,-0.01875,-0.12187500000000001,400,383,True,
27,1.3853179619982257,12630565429000,0.051493498,True,13.053208000201266,30.721888000698527,ready,paired,,,-0.01875,-0.13125,400,385,True,
28,1.4315506979983184,12630612544000,0.050605882,True,13.701845000468893,29.792515999361058,ready,paired,,,-0.021875,-0.1296875,400,384,True,
29,1.4775586239993572,12630659660000,0.049501068,True,14.631791000283556,28.64229599981627,ready,paired,,,-0.021875,-0.13437500000000005,400,385,True,
30,1.5245417729984183,12630706775000,0.049375976,True,15.65786500032118,28.597315000297385,ready,paired,,,-0.021875,-0.13437500000000005,400,385,True,
31,1.5724401839997881,12630753891000,0.050160701,True,15.782843000124558,29.389856999841868,ready,paired,,,-0.025,-0.146875,400,387,True,
32,1.6188454359999014,12630801006000,0.049436472,True,15.06694899944705,28.599871000551502,ready,paired,,,-0.028125,-0.14062500000000003,400,386,True,
33,1.6650837279994448,12630848121000,0.04857806,True,15.647865000573802,27.867884000443155,ready,paired,,,-0.023958333333333394,-0.15208333333333332,400,388,True,
34,1.7151263219984685,12630895237000,0.051489006,True,17.589293000128237,29.71405400057847,ready,paired,,,-0.029166666666666608,-0.14947916666666672,400,387,True,
35,1.7630228989983152,12630942352000,0.052290953,True,13.819120000334806,31.36076599912485,ready,paired,,,-0.019791666666666607,-0.1541666666666667,400,388,True,
36,1.8096188319996145,12630989468000,0.051755016,True,12.964153998836991,30.900552001185133,ready,paired,,,-0.021875,-0.1343749999999999,400,385,True,
37,1.8557154229984008,12631036583000,0.050733941,True,13.40596100089897,29.955734999020933,ready,paired,,,-0.015625,-0.15625000000000006,400,388,True,
38,1.9015321859988035,12631083698000,0.049447018,True,14.52438600063033,28.568038000230445,ready,paired,,,-0.021875,-0.16718750000000002,400,390,True,
39,1.9482047669989697,12631130813000,0.048996321,True,15.620513000612846,28.32161699916469,ready,paired,,,-0.021875,-0.16250000000000006,400,389,True,
40,1.9939115869983652,12631177929000,0.047589808,True,16.101874998639687,26.87393900123425,ready,paired,,,-0.01875,-0.17343750000000002,400,391,True,
41,2.040343375998418,12631225044000,0.046886708,True,17.606551000426407,26.075212999785435,ready,paired,,,-0.021875,-0.18593750000000006,400,393,True,
42,2.086791848998473,12631272159000,0.046238496,True,18.18057800119277,25.53468499900191,ready,paired,,,-0.028125,-0.16406250000000003,400,390,True,
43,2.134206323999024,12631319274000,0.046521378,True,18.802715001584147,25.861530999463866,ready,paired,,,-0.02604166666666661,-0.1697916666666667,400,390,True,
