frame,elapsed_s,capture_wait_ms,processing_ms,track_status,target_status,offset
1,0.037567674000001716,30.329065999922022,6.892613000218262,selected,direct,-0.16875
2,0.08365431099991838,23.17080700004226,5.778164999810542,selected,direct,-0.16875
3,0.13056078899990098,41.163738000250305,5.696315000022878,selected,direct,-0.16875
4,0.17767939299983482,41.365680000126304,5.706463000024087,selected,direct,-0.16875
5,0.22485821899999792,41.4747710001393,5.65792599991255,selected,direct,-0.16875
6,0.27178314200000386,41.22486699998262,5.653758999869751,selected,direct,-0.16875
7,0.3189138200000343,41.53164100034701,5.553908999900159,selected,direct,-0.16875
8,0.3677677539999422,43.11997100012377,5.689685000106692,selected,direct,-0.16875
9,0.41297084699999687,39.58396300004097,5.573075000029348,selected,direct,-0.16875
10,0.46016604299984465,41.512585999953444,5.637167000259069,selected,direct,-0.16875
11,0.5072611659998074,41.488883000056376,5.559426999752759,selected,direct,-0.16875
12,0.554395048999595,41.45088199993552,5.637333999857219,selected,direct,-0.16875
13,0.6015844119997382,41.521140999975614,5.621907999739051,selected,direct,-0.16875
14,0.6486073689998193,41.3470880002933,5.628481999792712,selected,direct,-0.16875
15,0.6971581589996276,42.896438000298076,5.6086299996422895,selected,direct,-0.16875
16,0.7428052269997352,40.00971599998593,5.591261000063241,selected,direct,-0.16875
17,0.7901361069998529,41.6105660001449,5.6733149999672605,selected,direct,-0.16875
18,0.8399119359996803,44.114865999745234,5.614500000319822,selected,direct,-0.16875
19,0.8841596709999067,38.57392100007928,5.627445000300213,selected,direct,-0.16875
20,0.9313881069997478,41.555547999905684,5.62661100002515,selected,direct,-0.16875
21,0.9784277320000001,41.36079099998824,5.631314999845927,selected,direct,-0.16875
22,1.025569835999704,41.48147499972765,5.614277999939077,selected,direct,-0.16875
23,1.0725710529995922,41.39975399994,5.555518999699416,selected,direct,-0.16875
24,1.1198375079998186,26.512596999964444,5.672814000263315,selected,direct,-0.16875
25,1.1667657449997932,41.220106999844575,5.66174100003991,selected,direct,-0.16875
26,1.2140316619997975,41.617565999786166,5.602297000223189,selected,direct,-0.16875
27,1.2611239339998974,41.492197000025044,5.553426999995281,selected,direct,-0.16875
28,1.3083359819997895,41.57780700006697,5.587372000263713,selected,direct,-0.16875
29,1.355437511999753,41.48706699970717,5.569149000166362,selected,direct,-0.16875
30,1.4025505989998237,41.433957000208466,5.634314999952039,selected,direct,-0.16875
31,1.4496811109997907,41.48293799971725,5.601352000212501,selected,direct,-0.16875
32,1.4966678279997723,41.31288400003541,5.6275369997820235,selected,direct,-0.16875
33,1.5438418759999877,41.547141000137344,5.579574999956094,selected,direct,-0.16875
34,1.5909133149998524,41.44106700005068,5.563075999816647,selected,direct,-0.16875
35,1.6436276429999452,43.654817000060575,9.013085999868053,selected,direct,-0.16875
36,1.690775394999946,38.065037999786,9.018400000059046,selected,direct,-0.16875
37,1.7407984619999297,39.72801699956108,10.23084700000254,selected,direct,-0.16875
38,1.7894003799997336,38.23899899998651,10.294123999756266,selected,direct,-0.16875
39,1.8334924129999308,33.90375899971332,10.116997000295669,selected,direct,-0.16875
40,1.8805954069998734,36.84440600000016,10.190330000114045,selected,direct,-0.16875
41,1.9279149909998523,37.14317999993,10.10638600018865,selected,direct,-0.16875
42,1.9731832119996398,36.22395100001086,8.981457000118098,selected,direct,-0.16875
43,2.022000294999998,39.68860900022264,9.065103000011732,selected,direct,-0.16875
44,2.0694589499998983,36.98723799971049,10.408660000393866,selected,direct,-0.16875
45,2.116158596999867,36.57431700003144,10.055682999791316,selected,direct,-0.16875
