image,track_status,height_ratio,white_x,yellow_x,center_x
0_cam_image_array_.jpg,selected,0.9,137.0,,
0_cam_image_array_.jpg,selected,0.85,132.5,,
0_cam_image_array_.jpg,selected,0.8,127.5,15.5,71.5
0_cam_image_array_.jpg,selected,0.75,123.0,20.0,71.5
0_cam_image_array_.jpg,selected,0.7,118.0,24.5,71.25
0_cam_image_array_.jpg,selected,0.65,113.0,,
0_cam_image_array_.jpg,selected,0.6,108.0,40.0,74.0
0_cam_image_array_.jpg,selected,0.55,103.5,46.0,74.75
60_cam_image_array_.jpg,selected,0.9,139.0,6.5,72.75
60_cam_image_array_.jpg,selected,0.85,134.5,6.0,70.25
60_cam_image_array_.jpg,selected,0.8,130.0,,
60_cam_image_array_.jpg,selected,0.75,125.5,26.0,75.75
60_cam_image_array_.jpg,selected,0.7,121.0,29.5,75.25
60_cam_image_array_.jpg,selected,0.65,115.5,34.5,75.0
60_cam_image_array_.jpg,selected,0.6,110.0,44.5,77.25
60_cam_image_array_.jpg,selected,0.55,105.5,47.5,76.5
121_cam_image_array_.jpg,selected,0.9,154.5,22.0,88.25
121_cam_image_array_.jpg,selected,0.85,150.0,25.5,87.75
121_cam_image_array_.jpg,selected,0.8,144.5,25.5,85.0
121_cam_image_array_.jpg,selected,0.75,138.5,,
121_cam_image_array_.jpg,selected,0.7,132.0,47.5,89.75
121_cam_image_array_.jpg,selected,0.65,125.5,48.0,86.75
121_cam_image_array_.jpg,selected,0.6,,,
121_cam_image_array_.jpg,selected,0.55,111.0,53.5,82.25
181_cam_image_array_.jpg,selected,0.9,150.0,,
181_cam_image_array_.jpg,selected,0.85,144.0,12.0,78.0
181_cam_image_array_.jpg,selected,0.8,137.0,11.0,74.0
181_cam_image_array_.jpg,selected,0.75,129.0,,
181_cam_image_array_.jpg,selected,0.7,120.0,24.0,72.0
181_cam_image_array_.jpg,selected,0.65,110.5,25.5,68.0
181_cam_image_array_.jpg,selected,0.6,101.0,27.5,64.25
181_cam_image_array_.jpg,selected,0.55,91.5,31.5,61.5
242_cam_image_array_.jpg,selected,0.9,148.5,,
242_cam_image_array_.jpg,selected,0.85,142.5,,
242_cam_image_array_.jpg,selected,0.8,135.5,,
242_cam_image_array_.jpg,selected,0.75,128.0,23.5,75.75
242_cam_image_array_.jpg,selected,0.7,119.5,26.0,72.75
242_cam_image_array_.jpg,selected,0.65,111.0,26.5,68.75
242_cam_image_array_.jpg,selected,0.6,,,
242_cam_image_array_.jpg,selected,0.55,92.5,29.0,60.75
302_cam_image_array_.jpg,selected,0.9,152.0,,
302_cam_image_array_.jpg,selected,0.85,146.0,,
302_cam_image_array_.jpg,selected,0.8,140.0,,
302_cam_image_array_.jpg,selected,0.75,132.5,26.0,79.25
302_cam_image_array_.jpg,selected,0.7,124.5,28.0,76.25
302_cam_image_array_.jpg,selected,0.65,115.5,31.5,73.5
302_cam_image_array_.jpg,selected,0.6,105.0,36.0,70.5
302_cam_image_array_.jpg,selected,0.55,96.0,37.0,66.5
363_cam_image_array_.jpg,selected,0.9,145.5,,
363_cam_image_array_.jpg,selected,0.85,138.0,11.0,74.5
363_cam_image_array_.jpg,selected,0.8,131.0,13.0,72.0
363_cam_image_array_.jpg,selected,0.75,122.5,17.5,70.0
363_cam_image_array_.jpg,selected,0.7,114.5,,
363_cam_image_array_.jpg,selected,0.65,106.0,23.5,64.75
363_cam_image_array_.jpg,selected,0.6,96.0,25.5,60.75
363_cam_image_array_.jpg,selected,0.55,87.5,30.0,58.75
424_cam_image_array_.jpg,selected,0.9,136.0,8.0,72.0
424_cam_image_array_.jpg,selected,0.85,132.0,9.5,70.75
424_cam_image_array_.jpg,selected,0.8,127.5,12.0,69.75
424_cam_image_array_.jpg,selected,0.75,123.0,18.0,70.5
424_cam_image_array_.jpg,selected,0.7,118.5,1.0,59.75
424_cam_image_array_.jpg,selected,0.65,114.0,33.5,73.75
424_cam_image_array_.jpg,selected,0.6,108.5,38.5,73.5
424_cam_image_array_.jpg,selected,0.55,104.5,50.5,77.5
484_cam_image_array_.jpg,selected,0.9,152.0,19.0,85.5
484_cam_image_array_.jpg,selected,0.85,146.0,21.5,83.75
484_cam_image_array_.jpg,selected,0.8,155.5,26.5,91.0
484_cam_image_array_.jpg,selected,0.75,152.0,29.0,90.5
484_cam_image_array_.jpg,selected,0.7,148.5,,
484_cam_image_array_.jpg,selected,0.65,,,
484_cam_image_array_.jpg,selected,0.6,,,
484_cam_image_array_.jpg,selected,0.55,,,
545_cam_image_array_.jpg,selected,0.9,147.5,,
545_cam_image_array_.jpg,selected,0.85,141.0,9.5,75.25
545_cam_image_array_.jpg,selected,0.8,134.0,,
545_cam_image_array_.jpg,selected,0.75,126.5,,
545_cam_image_array_.jpg,selected,0.7,119.0,22.5,70.75
545_cam_image_array_.jpg,selected,0.65,110.0,25.0,67.5
545_cam_image_array_.jpg,selected,0.6,101.0,29.5,65.25
545_cam_image_array_.jpg,selected,0.55,92.5,31.5,62.0
605_cam_image_array_.jpg,selected,0.9,136.0,5.0,70.5
605_cam_image_array_.jpg,selected,0.85,129.5,6.0,67.75
605_cam_image_array_.jpg,selected,0.8,123.0,,
605_cam_image_array_.jpg,selected,0.75,116.0,,
605_cam_image_array_.jpg,selected,0.7,108.5,16.5,62.5
605_cam_image_array_.jpg,selected,0.65,100.5,18.5,59.5
605_cam_image_array_.jpg,selected,0.6,93.0,22.5,57.75
605_cam_image_array_.jpg,selected,0.55,85.0,25.5,55.25
666_cam_image_array_.jpg,selected,0.9,146.0,,
666_cam_image_array_.jpg,selected,0.85,140.0,13.5,76.75
666_cam_image_array_.jpg,selected,0.8,133.0,15.0,74.0
666_cam_image_array_.jpg,selected,0.75,125.5,,
666_cam_image_array_.jpg,selected,0.7,118.0,,
666_cam_image_array_.jpg,selected,0.65,110.0,26.0,68.0
666_cam_image_array_.jpg,selected,0.6,102.0,28.5,65.25
666_cam_image_array_.jpg,selected,0.55,93.5,35.5,64.5
727_cam_image_array_.jpg,selected,0.9,130.5,,
727_cam_image_array_.jpg,selected,0.85,127.0,9.0,68.0
727_cam_image_array_.jpg,selected,0.8,122.5,9.0,65.75
727_cam_image_array_.jpg,selected,0.75,119.0,14.5,66.75
727_cam_image_array_.jpg,selected,0.7,114.5,19.0,66.75
727_cam_image_array_.jpg,selected,0.65,110.0,33.5,71.75
727_cam_image_array_.jpg,selected,0.6,105.5,36.0,70.75
727_cam_image_array_.jpg,selected,0.55,101.5,49.0,75.25
787_cam_image_array_.jpg,selected,0.9,141.5,7.5,74.5
787_cam_image_array_.jpg,selected,0.85,137.5,12.0,74.75
787_cam_image_array_.jpg,selected,0.8,133.0,15.5,74.25
787_cam_image_array_.jpg,selected,0.75,128.5,,
787_cam_image_array_.jpg,selected,0.7,124.0,34.5,79.25
787_cam_image_array_.jpg,selected,0.65,119.0,37.0,78.0
787_cam_image_array_.jpg,selected,0.6,114.0,41.5,77.75
787_cam_image_array_.jpg,selected,0.55,109.5,52.0,80.75
848_cam_image_array_.jpg,selected,0.9,146.5,14.0,80.25
848_cam_image_array_.jpg,selected,0.85,142.0,17.0,79.5
848_cam_image_array_.jpg,selected,0.8,136.5,22.5,79.5
848_cam_image_array_.jpg,selected,0.75,132.5,25.0,78.75
848_cam_image_array_.jpg,selected,0.7,125.0,38.5,81.75
848_cam_image_array_.jpg,selected,0.65,121.0,40.5,80.75
848_cam_image_array_.jpg,selected,0.6,115.0,44.5,79.75
848_cam_image_array_.jpg,selected,0.55,110.0,53.0,81.5
908_cam_image_array_.jpg,selected,0.9,146.5,11.5,79.0
908_cam_image_array_.jpg,selected,0.85,141.0,,
908_cam_image_array_.jpg,selected,0.8,135.0,,
908_cam_image_array_.jpg,selected,0.75,128.0,24.0,76.0
908_cam_image_array_.jpg,selected,0.7,121.0,27.5,74.25
908_cam_image_array_.jpg,selected,0.65,113.5,30.0,71.75
908_cam_image_array_.jpg,selected,0.6,105.5,33.5,69.5
908_cam_image_array_.jpg,selected,0.55,97.0,37.5,67.25
969_cam_image_array_.jpg,selected,0.9,57.0,,
969_cam_image_array_.jpg,selected,0.85,54.0,,
969_cam_image_array_.jpg,selected,0.8,51.5,,
969_cam_image_array_.jpg,selected,0.75,49.5,,
969_cam_image_array_.jpg,selected,0.7,47.5,,
969_cam_image_array_.jpg,selected,0.65,45.0,,
969_cam_image_array_.jpg,selected,0.6,41.5,,
969_cam_image_array_.jpg,selected,0.55,38.5,,
1029_cam_image_array_.jpg,selected,0.9,150.0,,
1029_cam_image_array_.jpg,selected,0.85,145.0,,
1029_cam_image_array_.jpg,selected,0.8,138.0,,
1029_cam_image_array_.jpg,selected,0.75,130.0,27.5,78.75
1029_cam_image_array_.jpg,selected,0.7,124.5,30.5,77.5
1029_cam_image_array_.jpg,selected,0.65,118.0,34.5,76.25
1029_cam_image_array_.jpg,selected,0.6,111.0,42.0,76.5
1029_cam_image_array_.jpg,selected,0.55,103.0,43.0,73.0
1090_cam_image_array_.jpg,selected,0.9,151.5,,
1090_cam_image_array_.jpg,selected,0.85,145.5,18.0,81.75
