frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,target_source,near_extrapolation,near_uncertainty_px,near_offset,preview_error,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.06392024200067681,12956812842000,0.052324797,True,32.38261399928888,31.498887999987346,ready,paired,,,-0.090625,-0.20781250000000004,370,396,False,
2,0.10994509600095626,12956859959000,0.051232817,True,15.713926000898937,30.26011399924755,ready,paired,,,-0.090625,-0.21250000000000002,370,397,False,
3,0.15731990799940831,12956907074000,0.051492777,True,16.72524100104056,30.599274999985937,ready,paired,,,-0.090625,-0.21250000000000002,370,397,False,
4,0.2060200480009371,12956954189000,0.053075066,True,17.819611999584595,30.828400000245892,ready,paired,,,-0.090625,-0.21250000000000002,370,397,False,
5,0.25079690600068716,12957001306000,0.050735442,True,14.927107000403339,29.796139999234583,ready,paired,,,-0.090625,-0.21250000000000002,400,397,False,
6,0.2984384539995517,12957048420000,0.051263267,True,17.16828999997233,30.42092599935131,ready,paired,,,-0.090625,-0.21250000000000002,400,397,False,
7,0.34547304899933806,12957095537000,0.051181585,True,16.65342799969949,30.330797999340575,ready,paired,,,-0.090625,-0.21250000000000002,400,397,False,
8,0.3922025020001456,12957142652000,0.050789001,True,16.800796000097762,29.86913899985666,ready,paired,,,-0.090625,-0.21250000000000002,400,397,False,
9,0.43939526100075454,12957189767000,0.05087626,True,16.94294100161642,30.19935599877499,ready,paired,,,-0.090625,-0.21250000000000002,400,397,False,
10,0.4871440110000549,12957236882000,0.05151088,True,16.94605299962859,30.750604999411735,ready,paired,,,-0.090625,-0.21250000000000002,400,397,False,
11,0.5336636709998857,12957283998000,0.050915041,True,16.3199340004212,30.147060999297537,ready,paired,,,-0.090625,-0.21250000000000002,400,397,False,
12,0.5804808080010844,12957331114000,0.050613918,True,16.837073000715463,29.927027000667294,ready,paired,,,-0.090625,-0.20781250000000004,400,396,False,
13,0.6281197259995679,12957378229000,0.05113841,True,17.1974559998489,30.389056000785786,ready,paired,,,-0.090625,-0.21250000000000002,400,397,False,
14,0.6751117849998991,12957425345000,0.051013692,True,16.671261000738014,30.267076999734854,ready,paired,,,-0.090625,-0.21250000000000002,400,397,False,
15,0.7224875040010375,12957472460000,0.051275911,True,16.919775000133086,30.405593000978115,ready,paired,,,-0.090625,-0.21250000000000002,400,397,False,
16,0.7697502999999415,12957519575000,0.051424243,True,16.553559000385576,30.659329999252805,ready,paired,,,-0.090625,-0.20781250000000004,400,396,False,
17,0.8168126170003234,12957566691000,0.051372134,True,16.50863500071864,30.502498000714695,ready,paired,,,-0.090625,-0.21250000000000002,400,397,False,
18,0.8678848260005907,12957613806000,0.055328233,True,16.537579000214464,34.48366900011024,ready,paired,,,-0.090625,-0.21250000000000002,400,397,False,
19,0.9112206539994077,12957660921000,0.051546246,True,12.702090998573112,30.57912700023735,ready,paired,,,-0.090625,-0.20781250000000004,400,396,False,
20,0.9581334550002794,12957708037000,0.051344455,True,16.280860001643305,30.579311998735648,ready,paired,,,-0.090625,-0.21250000000000002,400,397,False,
21,1.0058079099999304,12957755153000,0.051905483,True,16.50274600069679,31.12111699920206,ready,paired,,,-0.090625,-0.21250000000000002,400,397,False,
22,1.0521615550005663,12957802269000,0.051140165,True,15.91757099959068,30.38327899957949,ready,paired,,,-0.090625,-0.21250000000000002,400,397,False,
23,1.099594903000252,12957849384000,0.05145855,True,16.606577999482397,30.77293800015468,ready,paired,,,-0.090625,-0.21250000000000002,400,397,False,
