frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,near_offset,preview_error,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.032683525000265945,2856072527000,0.039372101,True,12.927844999921945,15.34612700015714,ready,0.00625,-0.0031250000000000028,370,365,True,
2,0.07610201600027722,2856119641000,0.035767165,True,27.343152000412374,11.734841999896162,ready,0.00625,-0.0031250000000000028,370,365,True,
3,0.12277516799986188,2856166756000,0.035336761,True,30.501479000122345,11.848489999920275,ready,0.00625,-0.007812500000000005,370,366,True,
4,0.16985016600028757,2856213871000,0.035356611,True,31.307449999985693,11.503198000355042,ready,0.00625,-0.007812500000000005,370,366,True,
5,0.21479578600019522,2856260989000,0.033184063,True,30.385962999844196,10.296602999915194,ready,0.00625,-0.007812500000000005,400,366,True,
6,0.2620132269998976,2856308105000,0.033237653,True,32.437842000035744,10.468600999956834,ready,0.00625,-0.0031250000000000028,400,365,True,
7,0.30897415200024625,2856355220000,0.033150133,True,32.30778900024234,10.409582999727718,ready,0.00625,-0.007812500000000005,400,366,True,
8,0.356349591000253,2856402333000,0.033394017,True,32.57180399987192,10.541061999902013,ready,0.003125,-0.0015625000000000014,400,365,True,
9,0.4057820759999231,2856449452000,0.035677595,True,33.05922300023667,12.081152999598999,ready,0.003125,-0.0015625000000000014,400,365,True,
10,0.4527851490001922,2856496564000,0.035571094,True,30.366445000254316,12.343279000106122,ready,0.003125,-0.0015625000000000014,400,365,True,
11,0.4981925960000808,2856543684000,0.033906226,True,30.171003000305063,10.989555999913136,ready,0.003125,-0.0015625000000000014,400,365,True,
12,0.544432272999984,2856590798000,0.032996069,True,31.691019000390952,10.269399999742745,ready,0.003125,-0.0015625000000000014,400,365,True,
13,0.5940311630001816,2856637914000,0.035463979,True,33.147573999940505,12.156559000231937,ready,0.0,0.0,400,365,True,
14,0.6409661820002839,2856685030000,0.035285794,True,30.680811000365793,11.959302999912325,ready,0.0,-0.0046875000000000016,400,366,True,
15,0.6888733000000684,2856732145000,0.036122762,True,32.95290999994904,10.705577999942761,ready,-0.003125,-0.003125,400,365,True,
16,0.7334697569999662,2856779260000,0.033598498,True,29.88102599965714,10.462563000146474,ready,-0.003125,-0.003125,400,365,True,
17,0.7805004599999847,2856826377000,0.033500701,True,32.05642200009606,10.709189999943192,ready,-0.021875,0.0062500000000000056,400,364,True,
18,0.827076224999928,2856873491000,0.032973465,True,32.24712300016108,10.075013000005129,ready,0.009375,-0.004687500000000002,400,366,True,
19,0.8744814780002343,2856920607000,0.033248941,True,32.79485699977158,10.344343000269873,ready,0.00625,-0.012500000000000006,400,367,True,
20,0.921134001000155,2856967723000,0.032800149,True,32.337454999833426,10.061551000035251,ready,0.003125,-0.006250000000000003,400,366,True,
21,0.9682822390000183,2857014838000,0.032834721,True,32.899984999858134,9.996754999974655,ready,0.003125,0.012499999999999994,400,363,True,
22,1.0168789210001705,2857061953000,0.034278773,True,33.39971900004457,10.907260999829305,ready,-0.0046875,0.018749999999999982,400,362,True,
23,1.0640471410001737,2857109071000,0.034293993,True,31.757703999574005,11.08327800011466,ready,0.025,-0.04062499999999996,400,371,True,
24,1.1103262060000816,2857156186000,0.033485836,True,31.45322699992903,10.527339999953256,ready,0.01875,-0.03749999999999995,400,371,True,
25,1.1578797350002787,2857203301000,0.033953809,True,32.19812399993316,11.089572999935626,ready,0.015625,0.001562499999999998,400,365,True,
26,1.206208032000177,2857250417000,0.035128662,True,32.2370310000224,11.784563999754027,ready,0.0125,-0.0015625000000000049,400,365,True,
