trial,sample,image,relative_time_s,measurement_y,left_x,right_x,status,note
CNN_03,1,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_082503_192901/images/0_cam_image_array_.jpg,0.0,,,,pending,
CNN_03,2,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_082503_192901/images/27_cam_image_array_.jpg,1.318,,,,pending,
CNN_03,3,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_082503_192901/images/53_cam_image_array_.jpg,2.62,,,,pending,
CNN_03,4,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_082503_192901/images/79_cam_image_array_.jpg,3.923,,,,pending,
CNN_03,5,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_082503_192901/images/105_cam_image_array_.jpg,5.23,,,,pending,
CNN_03,6,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_082503_192901/images/131_cam_image_array_.jpg,6.531,,,,pending,
CNN_03,7,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_082503_192901/images/157_cam_image_array_.jpg,7.837,,,,pending,
CNN_03,8,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_082503_192901/images/183_cam_image_array_.jpg,9.135,,,,pending,
CNN_03,9,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_082503_192901/images/209_cam_image_array_.jpg,10.443,,,,pending,
CNN_03,10,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_082503_192901/images/235_cam_image_array_.jpg,11.746,,,,pending,
CNN_01R1,1,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083059_817688/images/0_cam_image_array_.jpg,0.0,,,,pending,
CNN_01R1,2,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083059_817688/images/28_cam_image_array_.jpg,1.371,,,,pending,
CNN_01R1,3,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083059_817688/images/56_cam_image_array_.jpg,2.769,,,,pending,
CNN_01R1,4,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083059_817688/images/83_cam_image_array_.jpg,4.124,,,,pending,
CNN_01R1,5,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083059_817688/images/111_cam_image_array_.jpg,5.529,,,,pending,
CNN_01R1,6,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083059_817688/images/138_cam_image_array_.jpg,6.879,,,,pending,
CNN_01R1,7,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083059_817688/images/166_cam_image_array_.jpg,8.279,,,,pending,
CNN_01R1,8,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083059_817688/images/193_cam_image_array_.jpg,9.634,,,,pending,
CNN_01R1,9,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083059_817688/images/221_cam_image_array_.jpg,11.036,,,,pending,
CNN_01R1,10,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083059_817688/images/248_cam_image_array_.jpg,12.402,,,,pending,
CNN_02R1,1,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083630_427620/images/0_cam_image_array_.jpg,0.0,,,,pending,
CNN_02R1,2,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083630_427620/images/28_cam_image_array_.jpg,1.369,,,,pending,
CNN_02R1,3,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083630_427620/images/55_cam_image_array_.jpg,2.719,,,,pending,
CNN_02R1,4,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083630_427620/images/83_cam_image_array_.jpg,4.123,,,,pending,
CNN_02R1,5,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083630_427620/images/110_cam_image_array_.jpg,5.479,,,,pending,
CNN_02R1,6,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083630_427620/images/138_cam_image_array_.jpg,6.877,,,,pending,
CNN_02R1,7,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083630_427620/images/165_cam_image_array_.jpg,8.229,,,,pending,
CNN_02R1,8,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083630_427620/images/192_cam_image_array_.jpg,9.582,,,,pending,
CNN_02R1,9,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083630_427620/images/220_cam_image_array_.jpg,10.993,,,,pending,
CNN_02R1,10,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/CNN_RUN_20260912_083630_427620/images/247_cam_image_array_.jpg,12.345,,,,pending,
OpenCV_02,1,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082301_535034/000006_raw.png,0.0,,,,pending,
OpenCV_02,2,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082301_535034/000033_raw.png,1.272,,,,pending,
OpenCV_02,3,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082301_535034/000060_raw.png,2.544,,,,pending,
OpenCV_02,4,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082301_535034/000087_raw.png,3.816,,,,pending,
OpenCV_02,5,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082301_535034/000114_raw.png,5.088,,,,pending,
OpenCV_02,6,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082301_535034/000141_raw.png,6.361,,,,pending,
OpenCV_02,7,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082301_535034/000168_raw.png,7.633,,,,pending,
OpenCV_02,8,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082301_535034/000194_raw.png,8.858,,,,pending,
OpenCV_02,9,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082301_535034/000221_raw.png,10.13,,,,pending,
OpenCV_02,10,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082301_535034/000248_raw.png,11.402,,,,pending,
OpenCV_03,1,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082750_454344/000006_raw.png,0.0,,,,pending,
OpenCV_03,2,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082750_454344/000033_raw.png,1.272,,,,pending,
OpenCV_03,3,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082750_454344/000063_raw.png,2.686,,,,pending,
OpenCV_03,4,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082750_454344/000090_raw.png,3.958,,,,pending,
OpenCV_03,5,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082750_454344/000117_raw.png,5.23,,,,pending,
OpenCV_03,6,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082750_454344/000144_raw.png,6.502,,,,pending,
OpenCV_03,7,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082750_454344/000174_raw.png,7.915,,,,pending,
OpenCV_03,8,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082750_454344/000201_raw.png,9.187,,,,pending,
OpenCV_03,9,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082750_454344/000230_raw.png,10.554,,,,pending,
OpenCV_03,10,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_082750_454344/000257_raw.png,11.826,,,,pending,
OpenCV_01R1,1,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_083241_823654/000006_raw.png,0.0,,,,pending,
OpenCV_01R1,2,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_083241_823654/000033_raw.png,1.272,,,,pending,
OpenCV_01R1,3,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_083241_823654/000060_raw.png,2.544,,,,pending,
OpenCV_01R1,4,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_083241_823654/000090_raw.png,3.958,,,,pending,
OpenCV_01R1,5,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_083241_823654/000117_raw.png,5.23,,,,pending,
OpenCV_01R1,6,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_083241_823654/000144_raw.png,6.502,,,,pending,
OpenCV_01R1,7,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_083241_823654/000171_raw.png,7.774,,,,pending,
OpenCV_01R1,8,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_083241_823654/000201_raw.png,9.188,,,,pending,
OpenCV_01R1,9,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_083241_823654/000228_raw.png,10.46,,,,pending,
OpenCV_01R1,10,/Users/zhangweibin/Documents/Thesis/experiment_data/2026-09-12/pixel_evaluation_20260912/opencv_runs/20260912_083241_823654/000255_raw.png,11.732,,,,pending,
