frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,target_source,near_extrapolation,near_uncertainty_px,near_offset,preview_error,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.05540040300002147,11737124927000,0.047052983,True,29.441487000440247,25.895545999446767,ready,paired,,,-0.1234375,-0.27109375,370,406,False,
2,0.100687141999515,11737172043000,0.045249796,True,20.783280000614468,24.24351899935573,ready,paired,,,-0.1203125,-0.27265625000000004,370,406,False,
3,0.148326692999035,11737219158000,0.045771403,True,22.56686200053082,25.021968000146444,ready,paired,,,-0.1260416666666666,-0.2697916666666667,370,405,False,
4,0.19446451099975093,11737266274000,0.044795517,True,22.122424001281615,23.96718999989389,ready,paired,,,-0.1203125,-0.27265625000000004,370,406,False,
5,0.2423486879997654,11737313389000,0.045562972,True,23.027205001199036,24.806268998872838,ready,paired,,,-0.12708333333333321,-0.2692708333333334,400,405,False,
6,0.28957370900025126,11737360504000,0.045672641,True,22.353606000251602,24.8188419991493,ready,paired,,,-0.1260416666666666,-0.2697916666666667,400,405,False,
7,0.3357626180004445,11737407620000,0.044746032,True,22.11460999933479,24.024225000175647,ready,paired,,,-0.1203125,-0.27265625000000004,400,406,False,
8,0.3840288259998488,11737454736000,0.045890184,True,23.162351000792114,25.04530199985311,ready,paired,,,-0.1260416666666666,-0.2697916666666667,400,405,False,
9,0.4299549979987205,11737501851000,0.044710856,True,21.894762001466006,23.98231999904965,ready,paired,,,-0.121875,-0.27187500000000003,400,406,False,
10,0.4779549329996371,11737548967000,0.045594013,True,23.13651800068328,24.8122869998042,ready,paired,,,-0.12395833333333321,-0.2708333333333334,400,406,False,
11,0.5241980819992023,11737596082000,0.044723162,True,22.268162998443586,23.924283001178992,ready,paired,,,-0.1203125,-0.27265625000000004,400,406,False,
12,0.5710170729998936,11737643198000,0.044424986,True,23.080871998899966,23.68606500021997,ready,paired,,,-0.121875,-0.27187500000000003,400,406,False,
13,0.6191557269994519,11737690313000,0.045449789,True,23.353144999418873,24.736269000641187,ready,paired,,,-0.1260416666666666,-0.2697916666666667,400,405,False,
14,0.6662787869991007,11737737428000,0.045457423,True,22.249644000112312,24.821434999466874,ready,paired,,,-0.121875,-0.27187500000000003,400,406,False,
15,0.7135956959991745,11737784544000,0.045658535,True,22.347771999193355,24.919303999922704,ready,paired,,,-0.121875,-0.27187500000000003,400,406,False,
16,0.7606547759987734,11737831659000,0.045602893,True,22.142924999570823,24.864914999852772,ready,paired,,,-0.1229166666666666,-0.27135416666666673,400,406,False,
17,0.8089037609988736,11737878775000,0.046735101,True,22.250867001275765,25.94643399970664,ready,paired,,,-0.13125,-0.2671875,400,405,False,
18,0.8540726869996433,11737925890000,0.044789842,True,21.188829001403064,23.930227998789633,ready,paired,,,-0.1203125,-0.27265625000000004,400,406,False,
19,0.9011182119993464,11737973006000,0.044717829,True,23.022613000648562,23.971911999979056,ready,paired,,,-0.1203125,-0.27734375000000006,400,407,False,
20,0.949056887999177,11738020121000,0.045543135,True,23.105389998818282,24.782898000921705,ready,paired,,,-0.1260416666666666,-0.2697916666666667,400,405,False,
21,0.9960610609996365,11738067237000,0.045429641,True,22.18342300147924,24.769527999524144,ready,paired,,,-0.12395833333333321,-0.2708333333333334,400,406,False,
22,1.0425100399988878,11738114352000,0.044764954,True,22.405975998481154,23.992170999918017,ready,paired,,,-0.1203125,-0.27265625000000004,400,406,False,
23,1.0895826750002016,11738161467000,0.044722218,True,23.026983999443473,23.994171000595088,ready,paired,,,-0.1203125,-0.27265625000000004,400,406,False,
24,1.1365465899998526,11738208583000,0.044568892,True,23.01855699988664,23.89454300100624,ready,paired,,,-0.121875,-0.27187500000000003,400,406,False,
25,1.184604189998936,11738255699000,0.045512307,True,23.17829499952495,24.829564999890863,ready,paired,,,-0.1260416666666666,-0.2697916666666667,400,405,False,
26,1.2308131350000622,11738302817000,0.044602975,True,22.259143999690423,23.896691000118153,ready,paired,,,-0.1203125,-0.27265625000000004,400,406,False,
27,1.2780988229987997,11738349930000,0.044774421,True,23.195869000119274,24.03763400070602,ready,paired,,,-0.121875,-0.27187500000000003,400,406,False,
28,1.325190253999608,11738397045000,0.044751593,True,23.035149999486748,24.00676300021587,ready,paired,,,-0.1203125,-0.27265625000000004,400,406,False,
29,1.3729075259998353,11738444160000,0.045354217,True,23.70271300060267,23.96250499987218,ready,paired,,,-0.121875,-0.27187500000000003,400,406,False,
30,1.4202881929995783,11738491276000,0.045617773,True,22.347309999531717,24.981135000416543,ready,paired,,,-0.121875,-0.27187500000000003,400,406,False,
