frame,elapsed_s,ready,source,pwm,near,far,reason,ms
1,0.005646421001074486,True,paired,377,82.0,76.25,consistent,3.6148750223219395
2,0.05288335800105415,True,paired,377,82.0,76.25,consistent,1.2997080339118838
3,0.0987836710010015,True,paired,377,82.0,76.5,consistent,1.271874993108213
4,0.1453059920004307,True,paired,377,82.0,76.25,consistent,1.3519589556381106
5,0.19349226499980432,True,paired,377,82.0,76.5,consistent,1.2986250221729279
6,0.23942933600119432,True,paired,377,82.0,76.25,consistent,1.260999939404428
7,0.2865344060010102,True,paired,377,82.0,76.25,consistent,1.2154579162597656
8,0.33382576900112326,True,paired,377,82.0,76.25,consistent,1.2481670128181577
9,0.38090600600116886,True,paired,377,82.0,76.25,consistent,1.2469589710235596
10,0.42785335600092367,True,paired,377,82.0,76.25,consistent,1.2444999301806092
11,0.474981833000129,True,paired,377,82.0,76.25,consistent,1.277417060919106
12,0.5221339760009869,True,paired,377,82.0,76.25,consistent,1.3439590111374855
13,0.5692217310006527,True,paired,377,82.0,76.25,consistent,1.2418749975040555
14,0.6176480920003087,True,paired,377,82.0,76.25,consistent,1.2234579771757126
15,0.6656447759996809,True,paired,377,82.0,76.25,consistent,1.251291949301958
16,0.7112402980001207,True,paired,377,82.0,76.25,consistent,1.2240840587764978
17,0.757717323000179,True,paired,377,82.0,76.25,consistent,1.2525839265435934
18,0.8047920419994625,True,paired,377,82.0,76.5,consistent,1.2944579357281327
19,0.8526294690000213,True,paired,377,82.0,76.25,consistent,1.2849589111283422
20,0.8996267069996975,True,paired,377,82.0,76.25,consistent,1.22170802205801
21,0.9470978080007626,True,paired,377,82.0,76.25,consistent,1.2323750415816903
22,0.9942441180010064,True,paired,377,82.0,76.5,consistent,1.2172500137239695
23,1.0411342099996546,True,paired,377,82.0,76.25,consistent,1.2422500876709819
24,1.0874502370006667,True,paired,377,82.0,76.25,consistent,1.2978750746697187
25,1.1373850729996775,True,paired,377,82.0,76.25,consistent,1.3454159488901496
26,1.1817115240010025,True,paired,377,82.0,76.25,consistent,1.217832905240357
27,1.2306107660006091,True,paired,377,82.0,76.25,consistent,1.254584058187902
28,1.276659503000701,True,paired,377,82.0,76.25,consistent,1.2333749327808619
29,1.3236391860009462,True,paired,377,82.0,76.25,consistent,1.2568749953061342
30,1.370788292000725,True,paired,377,82.0,76.25,consistent,1.2499999720603228
31,1.4178729360010038,True,paired,377,82.0,76.25,consistent,1.3315000105649233
32,1.464943562001281,True,paired,377,82.0,76.25,consistent,1.438041916117072
33,1.5121379080010229,True,paired,377,82.0,76.25,consistent,1.220958074554801
34,1.5594161040007748,True,paired,377,82.0,76.25,consistent,1.1796250473707914
35,1.609654453000985,True,paired,377,82.0,76.25,consistent,1.16920901928097
36,1.653596854999705,True,paired,377,82.0,76.5,consistent,1.1676669819280505
37,1.7000100300010672,True,paired,377,82.0,76.25,consistent,1.2187089305371046
38,1.7472718930002884,True,paired,377,82.0,76.25,consistent,1.2465829495340586
39,1.7960759329998837,True,paired,377,82.0,76.25,consistent,1.2617920292541385
40,1.8433954070005711,True,paired,378,81.75,76.0,consistent,1.1850839946419
41,1.8890537050010607,True,paired,378,82.0,76.0,consistent,1.1959580006077886
42,1.9364318440002535,True,paired,378,82.0,76.0,consistent,1.1924579739570618
43,1.9832991399998718,True,paired,377,82.0,76.5,consistent,1.1840410297736526
44,2.0305339860005915,True,paired,377,82.0,76.5,consistent,1.2305410346016288
45,2.077708980001262,True,paired,377,82.25,76.5,consistent,1.2091670650988817
46,2.1244327229996998,True,paired,377,81.75,76.25,consistent,1.2228749692440033
47,2.1712152609998157,True,paired,377,81.75,76.25,consistent,1.151790958829224
48,2.2182337770009326,True,paired,378,81.75,76.0,consistent,1.128499978221953
49,2.2654256599998916,True,paired,377,81.25,76.0,consistent,1.1964170262217522
50,2.314036148000014,True,paired,377,81.25,76.0,consistent,1.1912079062312841
51,2.360378638999464,True,paired,378,81.25,75.75,consistent,1.2655829777941108
52,2.4074120429995673,True,paired,378,81.0,75.75,consistent,1.2163340579718351
53,2.456399190999946,True,paired,379,81.0,75.5,consistent,1.2926249764859676
54,2.501420519000021,True,paired,379,80.75,75.25,consistent,1.148125040344894
55,2.54976149399954,True,paired,380,80.5,74.75,consistent,1.1572919320315123
56,2.5958091560005414,True,paired,380,80.0,74.75,consistent,1.2094170087948442
57,2.6434987150005327,True,paired,380,79.25,74.5,consistent,1.2383749708533287
58,2.6893316410005355,True,paired,381,80.33333333333333,74.25,consistent,1.2301660608500242
59,2.7364616360009677,True,paired,382,79.66666666666667,74.0,consistent,1.2888329802080989
60,2.7835869829996227,True,paired,381,79.33333333333333,74.0,consistent,1.2752918992191553
61,2.830838087000302,True,paired,383,79.0,73.25,consistent,1.4088330790400505
62,2.8779551759998867,True,paired,383,78.83333333333333,73.25,consistent,1.238917000591755
63,2.925069134000296,True,paired,382,78.25,73.25,consistent,1.3552089221775532
64,2.972573029999694,True,paired,384,79.25,73.0,consistent,1.316084060817957
65,3.0217633040010696,True,paired,385,79.08333333333333,72.75,consistent,1.4724580105394125
66,3.068106943001112,True,paired,385,78.41666666666667,72.5,consistent,1.4604999450966716
67,3.1134982650000893,True,paired,386,78.375,72.0,consistent,1.39849993865937
68,3.1608134050002263,True,paired,387,78.1875,71.75,consistent,1.3994580367580056
69,3.2077056640009687,True,paired,387,78.25,71.5,consistent,1.4610410435125232
70,3.254951508999511,True,paired,391,78.25,70.25,consistent,1.5105410711839795
71,3.3022317420000036,True,paired,389,77.5,70.75,consistent,1.5596660086885095
72,3.349084835001122,True,paired,389,77.25,70.5,consistent,1.3792909448966384
73,3.3969438359999913,True,paired,391,76.25,69.5,consistent,1.3560840161517262
74,3.4440021099999285,True,paired,391,75.75,69.5,consistent,1.3324579922482371
75,3.49363861799975,True,paired,392,75.0,68.75,consistent,1.2485829647630453
76,3.538525744001163,True,paired,393,75.0,68.25,consistent,1.5527079813182354
77,3.585256043001209,True,paired,394,74.25,67.75,consistent,1.4021670212969184
78,3.6317263649998495,True,paired,395,74.0,67.25,consistent,1.2677499325945973
79,3.6809770640011266,True,paired,397,73.75,66.5,consistent,1.2988330563530326
80,3.7265662150002754,True,paired,397,73.0,66.25,consistent,1.2028339551761746
81,3.7737948020003387,True,paired,399,72.75,65.5,consistent,1.2452499940991402
82,3.8208376319998933,True,paired,400,71.75,64.75,consistent,1.2540830066427588
83,3.867998626001281,True,paired,401,71.5,64.5,consistent,1.3976249611005187
84,3.915291323000929,True,paired,402,71.0,63.75,consistent,1.3474590377882123
85,3.965733426999577,True,paired,402,70.25,63.5,consistent,1.3103339588269591
86,4.009885122000924,True,paired,404,69.5,62.5,consistent,1.3488749973475933
87,4.056146114000512,True,paired,404,69.0,62.5,consistent,1.411958015523851
88,4.103062817001046,True,paired,405,68.25,61.75,consistent,1.526665990240872
89,4.150823764000961,True,paired,406,68.41666666666667,61.5,consistent,1.4729159884154797
90,4.198280661001263,True,paired,405,68.08333333333333,61.75,consistent,1.5813750214874744
91,4.245092199000283,True,paired,403,67.33333333333333,64.75,consistent,1.5095419948920608
92,4.292185287000393,True,paired,409,68.0,64.25,consistent,1.5721250092610717
93,4.339386282001215,True,paired,410,67.5,63.75,consistent,1.5042079612612724
94,4.3862985400010075,True,paired,408,67.0,63.75,consistent,1.6429589595645666
95,4.434115190000739,True,paired,408,66.75,63.5,consistent,1.5512920217588544
96,4.480861099000322,True,paired,407,66.5,60.5,consistent,1.5295420307666063
97,4.528077630000553,True,paired,407,66.0,60.25,consistent,1.4198749559000134
98,4.575116830999832,True,paired,406,65.25,60.5,consistent,1.425791997462511
99,4.621733723999569,True,paired,406,65.25,60.5,consistent,1.5727089485153556
100,4.668485817999681,True,paired,406,65.25,60.5,consistent,1.5518749132752419
101,4.715692941999805,True,paired,404,65.75,61.25,consistent,1.439874991774559
102,4.762695588000497,True,paired,402,67.5,62.75,consistent,1.36674998793751
103,4.810133596000014,True,paired,397,69.0,65.0,consistent,1.2774589704349637
104,4.857063446999746,True,paired,394,70.5,66.5,consistent,1.326457946561277
105,4.909174317999714,True,paired,395,70.0,66.0,consistent,1.3533750316128135
106,4.951647838999634,True,paired,395,69.5,65.75,consistent,1.2807920575141907
107,4.998322176001238,True,paired,395,69.5,65.75,consistent,1.2647910043597221
108,5.045528114000263,True,paired,396,69.5,65.5,consistent,1.2441669823601842
109,5.092871586999536,True,paired,396,69.25,65.5,consistent,1.2385000009089708
110,5.140523850999671,True,paired,396,68.75,65.25,consistent,1.2657499173656106
111,5.186701696000455,True,paired,397,68.75,64.75,consistent,1.2819170951843262
112,5.233864339001229,True,paired,398,68.5,64.5,consistent,1.4403329696506262
113,5.28128857000047,True,paired,399,68.5,64.25,consistent,1.3736669206991792
114,5.328079979000904,True,paired,401,68.5,63.5,consistent,1.2579170288518071
115,5.3754173970010015,True,paired,400,68.25,63.75,consistent,1.2883750023320317
116,5.42241009800091,True,paired,400,68.16666666666667,63.75,consistent,1.357667031697929
117,5.469418855000185,True,paired,402,68.25,63.0,consistent,1.3068750267848372
118,5.516661089000991,True,paired,400,68.0,63.5,consistent,1.5422910219058394
119,5.563993062000009,True,paired,400,67.125,63.25,consistent,1.5559169696643949
120,5.61081761800051,True,paired,403,67.8125,62.5,consistent,1.3802920002490282
121,5.657814727001096,True,paired,402,67.125,62.5,consistent,1.3257500249892473
122,5.707020019999618,True,paired,404,67.05,61.75,consistent,1.3389160158112645
123,5.752762223999525,True,paired,404,67.25,62.0,consistent,1.4565829187631607
124,5.7998056470005395,True,paired,410,67.25,63.5,consistent,1.5322919934988022
125,5.849464450000596,True,paired,404,66.75,64.25,consistent,1.4753330033272505
126,5.893423814999551,True,paired,404,66.0,63.75,consistent,1.2224169913679361
127,5.940756343999965,True,paired,401,65.25,63.75,consistent,1.2614160077646375
128,5.987819693000347,True,paired,399,66.25,64.75,consistent,1.1554999509826303
129,6.036550864000674,True,paired,394,67.0,66.25,consistent,1.1733750579878688
130,6.082628489000854,True,paired,398,68.25,64.5,consistent,1.2594170402735472
131,6.131704913001158,True,paired,397,68.0,64.5,consistent,1.2731250608339906
132,6.176149974000509,True,paired,397,68.0,64.75,consistent,1.3607919681817293
133,6.223247784000705,True,paired,397,68.0,64.75,consistent,1.0916671017184854
