run,frame,logged_status,status,source,pwm,ms
20260908_133717_324605,1,ready,ready,paired,369,4.201416973955929
20260908_133717_324605,4,ready,ready,paired,369,1.3516249600797892
20260908_133717_324605,7,ready,ready,paired,368,1.2807910097762942
20260908_133717_324605,10,ready,ready,paired,369,1.2787079904228449
20260908_133717_324605,13,ready,ready,paired,368,1.3392920373007655
20260908_133717_324605,16,ready,ready,paired,369,1.4290420804172754
20260908_133717_324605,19,ready,ready,paired,371,1.5178329776972532
20260908_133717_324605,22,ready,ready,paired,372,1.4832919696345925
20260908_133717_324605,25,ready,ready,paired,372,1.5257499180734158
20260908_133717_324605,28,ready,ready,paired,376,1.50245800614357
20260908_133717_324605,31,ready,ready,paired,378,1.6539170173928142
20260908_133717_324605,34,ready,ready,paired,381,1.5254999743774533
20260908_133717_324605,37,ready,ready,paired,384,1.48341606836766
20260908_133717_324605,40,ready,ready,paired,386,1.435916987247765
20260908_133717_324605,43,ready,ready,paired,386,1.532917027361691
20260908_133717_324605,46,ready,ready,paired,386,1.4845830155536532
20260908_133717_324605,49,ready,ready,paired,388,1.43158296123147
20260908_133717_324605,52,ready,ready,paired,388,1.58783292863518
20260908_133717_324605,55,ready,ready,paired,388,1.3335830299183726
20260908_133717_324605,58,ready,ready,paired,388,3.710332908667624
20260908_133717_324605,61,ready,ready,paired,391,2.050874987617135
20260908_133717_324605,64,ready,ready,paired,390,1.2765410356223583
20260908_133717_324605,67,ready,ready,paired,390,1.699040993116796
20260908_133717_324605,69,unavailable,ready,paired,394,1.31145806517452
20260908_134855_688477,1,ready,ready,paired,379,1.4105410082265735
20260908_134855_688477,4,ready,ready,paired,379,1.388499978929758
20260908_134855_688477,7,ready,ready,paired,379,1.3956669718027115
20260908_134855_688477,10,ready,ready,paired,379,1.4974999940022826
20260908_134855_688477,13,ready,ready,paired,380,1.3754579704254866
20260908_134855_688477,16,ready,ready,paired,380,1.3050000416114926
20260908_134855_688477,19,ready,ready,paired,383,1.3533750316128135
