frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,target_source,near_extrapolation,near_uncertainty_px,near_offset,preview_error,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.0962367029987945,12398848897000,0.083733252,True,32.831406000696006,59.14561799909279,ready,paired,,,-0.090625,-0.24531250000000004,370,402,True,
2,0.1702968019999389,12398943127000,0.065061564,True,29.253454000354395,42.01951100003498,ready,paired,,,-0.090625,-0.24531250000000004,370,402,True,
3,0.20147847899897897,12398990243000,0.049147352,True,1.5385090009658597,26.878145999944536,ready,paired,,,-0.090625,-0.24531250000000004,370,402,True,
4,0.24573057899942796,12399037359000,0.046285155,True,16.145698000400444,25.35395299855736,ready,paired,,,-0.090625,-0.24531250000000004,370,402,True,
5,0.29270222099876264,12399084472000,0.04615126,True,18.897702000685968,25.328046000140603,ready,paired,,,-0.090625,-0.24531250000000004,400,402,True,
6,0.34001120799985074,12399131588000,0.046340099,True,19.121846000416554,25.43763699941337,ready,paired,,,-0.090625,-0.24531250000000004,400,402,True,
7,0.3870996619989455,12399178703000,0.046324868,True,18.920647000413737,25.427747999856365,ready,paired,,,-0.090625,-0.24531250000000004,400,402,True,
8,0.4345700169997144,12399225818000,0.046664945,True,19.165457000781316,25.551800999892293,ready,paired,,,-0.090625,-0.24531250000000004,400,402,True,
9,0.4812869409997802,12399272934000,0.046294442,True,18.528951000917004,25.461579998591333,ready,paired,,,-0.090625,-0.24531250000000004,400,402,True,
10,0.5283711539996148,12399320049000,0.04623749,True,18.920312999398448,25.410100000954117,ready,paired,,,-0.084375,-0.24375000000000002,400,402,True,
11,0.5757470659991668,12399367165000,0.046503438,True,18.910851000327966,25.719593999383505,ready,paired,,,-0.090625,-0.24062500000000003,400,401,True,
12,0.6216378569988592,12399414280000,0.045304729,True,18.62018999963766,24.549114999899757,ready,paired,,,-0.0875,-0.23750000000000004,400,401,True,
13,0.6731015629993635,12399461395000,0.049640028,True,22.95716400112724,25.76968499852228,ready,paired,,,-0.084375,-0.23906250000000004,400,401,True,
14,0.716216777000227,12399508511000,0.045634631,True,15.710207000665832,24.666501998581225,ready,paired,,,-0.084375,-0.23906250000000004,400,401,True,
15,0.7623268239985919,12399555627000,0.04464814,True,19.54204300091078,23.84846200038737,ready,paired,,,-0.084375,-0.23437500000000006,400,400,True,
16,0.8108299739997165,12399602741000,0.046027939,True,21.967127000607434,23.806166998838307,ready,paired,,,-0.084375,-0.23437500000000006,400,400,True,
17,0.857703968998976,12399649857000,0.045771119,True,19.24782600144681,24.88259099845891,ready,paired,,,-0.084375,-0.22968750000000002,400,399,True,
18,0.9037695169990911,12399696972000,0.044742852,True,19.460618999801227,23.88199800043367,ready,paired,,,-0.08125,-0.23125,400,400,True,
19,0.9497241959998064,12399744088000,0.043576513,True,20.535191000817576,22.689686999001424,ready,paired,,,-0.084375,-0.22968750000000002,400,399,True,
20,0.9977813919995242,12399791203000,0.04450969,True,22.03045900023426,23.29300999917905,ready,paired,,,-0.078125,-0.22812500000000005,400,399,True,
21,1.0456775719994766,12399838319000,0.045278055,True,20.748093998918193,24.399415000516456,ready,paired,,,-0.07916666666666661,-0.21822916666666672,400,398,True,
22,1.0934556239990343,12399885434000,0.045951571,True,19.841889001327218,25.19749299972318,ready,paired,,,-0.0729166666666666,-0.21666666666666676,400,398,True,
23,1.1441900479985634,12399932550000,0.049575086,True,22.763185999792768,25.23817700057407,ready,paired,,,-0.071875,-0.21250000000000005,400,397,True,
24,1.1888609170000564,12399979665000,0.047131938,True,15.593135000017355,26.347286000600434,ready,paired,,,-0.06953125,-0.213671875,400,397,True,
25,1.2370662029989035,12400026781000,0.048222075,True,18.000701000346453,27.472153999042348,ready,paired,,,-0.06484375,-0.21132812500000006,400,397,True,
26,1.2839309579994733,12400073896000,0.047965811,True,16.90901700021641,27.218344001084915,ready,paired,,,-0.05625,-0.20156250000000006,400,395,True,
27,1.3300792439986253,12400121012000,0.04698058,True,17.241751998881227,26.153086000704207,ready,paired,,,-0.053125,-0.19375000000000006,400,394,True,
28,1.3773093069994502,12400168126000,0.047112031,True,18.14582800034259,26.34487900104432,ready,paired,,,-0.05,-0.19531250000000006,400,394,True,
29,1.4246502379992307,12400215243000,0.047339648,True,18.16932700057805,26.43528499902459,ready,paired,,,-0.05,-0.190625,400,394,True,
30,1.4683709780001664,12400262358000,0.043937276,True,17.840611000792705,23.136939000323764,ready,paired,,,-0.046875,-0.1921875,400,394,True,
31,1.516323822999766,12400309472000,0.044782807,True,21.132216999831144,24.08579100119823,ready,paired,,,-0.04375,-0.19375000000000003,400,394,True,
32,1.5634681100000307,12400356588000,0.044816093,True,20.521005999398767,23.891110000477056,ready,paired,,,-0.040625,-0.19062500000000004,400,394,True,
33,1.612476231999608,12400403704000,0.046699882,True,20.47715399930894,25.790351999603445,ready,paired,,,-0.040625,-0.18593750000000006,400,393,True,
34,1.660601666999355,12400450819000,0.047719817,True,18.525634999605245,26.86718400036625,ready,paired,,,-0.034375,-0.184375,400,393,True,
35,1.7089383949987678,12400497935000,0.048933712,True,17.542747000334202,28.05880999949295,ready,paired,,,-0.03125,-0.19062500000000004,400,394,True,
36,1.7566455039996072,12400545050000,0.049521136,True,16.337638999175397,28.627707000850933,ready,paired,,,-0.01875,-0.1921875,400,394,True,
37,1.8025730359986483,12400592166000,0.048343131,True,15.669188998799655,27.527098000064143,ready,paired,,,-0.021875,-0.19062500000000002,400,394,True,
38,1.8500973709997197,12400639281000,0.048754855,True,16.97931300077471,27.817850999781513,ready,paired,,,-0.021875,-0.18125000000000002,400,392,True,
39,1.8971478269995714,12400686397000,0.048679366,True,16.402935001678998,27.911793999010115,ready,paired,,,-0.021875,-0.18125000000000002,400,392,True,
40,1.9424039449986594,12400733513000,0.046834873,True,16.50324799993541,26.028903001133585,ready,paired,,,-0.01875,-0.18281250000000002,400,392,True,
41,1.9898964659987541,12400780627000,0.047208653,True,18.582022999908077,26.183362999290694,ready,paired,,,-0.021875,-0.18593750000000006,400,393,True,
42,2.0364965589997155,12400827743000,0.046686469,True,18.046311999569298,25.81875800024136,ready,paired,,,-0.01875,-0.18281250000000002,400,392,True,
43,2.0858599900002446,12400874858000,0.048939547,True,18.583338000098593,28.049050999470637,ready,paired,,,-0.0125,-0.19531250000000006,400,394,True,
44,2.134728910999911,12400921974000,0.050692117,True,16.94159200087597,29.198435999205685,ready,paired,,,-0.003125,-0.19531250000000006,400,394,True,
45,2.180171932999656,12400969089000,0.049016065,True,14.638949000072898,28.071512999304105,ready,paired,,,-0.00625,-0.19375000000000006,400,394,True,
46,2.225471680998453,12401016205000,0.047203997,True,16.316547998940223,26.25256500141404,ready,paired,,,-0.003125,-0.18125000000000002,400,392,True,
47,2.273547745999167,12401063320000,0.048158285,True,18.024515000433894,27.314323999235057,ready,paired,,,-0.003125,-0.18125000000000002,400,392,True,
48,2.318848604998493,12401110435000,0.046349662,True,16.989663999993354,25.58100500027649,ready,paired,,,-0.003125,-0.18593750000000003,400,393,True,
49,2.365565398999024,12401157550000,0.04595966,True,18.839370999558014,25.153660000796663,ready,paired,,,-0.003125,-0.18125000000000002,400,392,True,
50,2.413696963998518,12401204665000,0.04697391,True,19.30780600014259,26.097624000612996,ready,paired,,,-0.005208333333333393,-0.18489583333333334,400,393,True,
51,2.4631647810001596,12401251781000,0.049316968,True,18.26299200001813,28.469691000282182,ready,paired,,,-0.0010416666666666075,-0.18229166666666674,400,392,True,
52,2.5110190919986053,12401298897000,0.050058612,True,15.862370999457198,29.26073199887469,ready,paired,,,0.003125,-0.19843750000000004,400,395,True,
53,2.5573781530001725,12401346012000,0.049295358,True,15.2780120006355,28.34428499954811,ready,paired,,,0.003125,-0.17968750000000006,400,392,True,
54,2.603239833999396,12401393127000,0.048050299,True,15.896258999418933,27.23480699933134,ready,paired,,,0.003125,-0.17968750000000006,400,392,True,
55,2.649347435999516,12401440243000,0.04702929,True,17.179123999085277,26.185400000031223,ready,paired,,,0.0,-0.17343750000000005,400,391,True,
56,2.694045786998686,12401487360000,0.044598808,True,18.243771000925335,23.69952099979855,ready,paired,,,-0.003125,-0.1765625,400,391,True,
57,2.743344144999355,12401534473000,0.046814499,True,20.63657800135843,25.93833099854237,ready,paired,,,0.01875,-0.17343750000000002,400,391,True,
58,2.7913950999991357,12401581589000,0.047731084,True,18.247789001179626,27.041476998419967,ready,paired,,,0.009375,-0.16406250000000003,400,390,True,
59,2.8393589279985463,12401628704000,0.048589837,True,17.499357998531195,27.732649999961723,ready,paired,,,0.00703125,-0.16289062500000007,400,389,True,
60,2.886455122999905,12401675820000,0.048575643,True,16.64300399897911,27.713409001080436,ready,paired,,,0.0125,-0.16562500000000002,400,390,True,
61,2.9322753050000756,12401722936000,0.04727027,True,16.531505998500506,26.552153000011458,ready,paired,,,0.003125,-0.16093750000000007,400,389,True,
62,2.9786638469995523,12401770051000,0.04651983,True,17.88966700041783,25.738092999745277,ready,paired,,,0.0,-0.15937500000000004,400,389,True,
63,3.0227716529989266,12401817166000,0.043545581,True,18.74981699984346,22.629355999015388,ready,paired,,,0.0,-0.16875000000000004,400,390,True,
64,3.0717494989985425,12401864281000,0.045412778,True,21.945552998658968,24.309694999828935,ready,paired,,,-0.0020833333333333927,-0.17239583333333333,400,391,True,
65,3.1217085480002424,12401911396000,0.04823629,True,19.868609999321052,27.344935000655823,ready,paired,,,0.0,-0.18281250000000004,400,392,True,
66,3.1690351460001693,12401958513000,0.048438574,True,17.174309999973048,27.399746999435592,ready,paired,,,0.003125,-0.18437499999999987,400,393,True,
67,3.2154038549997495,12402005627000,0.047708672,True,16.796705000160728,26.835000000573928,ready,paired,,,-0.003125,-0.23750000000000004,400,401,True,
68,3.2599934119989484,12402052743000,0.045182321,True,17.6063749986497,24.24910300032934,ready,paired,,,-0.009375,-0.24375000000000005,400,402,True,
69,3.3058816109987674,12402099858000,0.043961113,True,20.099550998565974,23.058366001350805,ready,paired,,,-0.015625,-0.24062500000000003,400,401,True,
70,3.352645572000256,12402146973000,0.043608407,True,21.325861000150326,22.70689100078016,ready,paired,,,-0.01875,-0.24375000000000008,400,402,True,
71,3.401541269999143,12402194089000,0.045383457,True,21.60035600172705,24.559505000070203,ready,paired,,,-0.030208333333333393,-0.23802083333333335,400,401,True,
72,3.4508506469992426,12402241204000,0.047591167,True,21.215381999354577,25.370842000484117,ready,paired,,,-0.0375,-0.22968750000000002,400,399,True,
73,3.496612756000104,12402288320000,0.046219961,True,17.713855000693002,25.307564999820897,ready,paired,,,-0.03624999999999989,-0.2021875000000001,400,395,True,
74,3.543743338999775,12402335435000,0.046236637,True,19.171604999428382,25.218011000106344,ready,paired,,,-0.028125,-0.18281250000000007,400,392,True,
75,3.605237099000078,12402382550000,0.060610212,True,19.050941000386956,39.69592599969474,ready,independent_estimated,,,-0.025970351007264192,-0.17274384715715185,400,391,True,
76,3.633940674999394,12402429666000,0.042215287,True,4.8106690010172315,21.1541059998126,ready,paired,,,-0.015625,-0.16562500000000005,400,390,True,
77,3.682486545998472,12402476781000,0.0436444,True,23.260528998434893,22.557653001058497,ready,paired,,,-0.009375,-0.14062500000000003,400,386,True,
78,3.7316039449997334,12402523897000,0.045654928,True,21.618855998895015,24.77661200100556,ready,paired,,,-0.009375,-0.13125000000000003,400,385,True,
79,3.780928579999454,12402571012000,0.047846915,True,19.647114999315818,26.938331000565086,ready,paired,,,0.0015625,-0.13671875000000003,400,386,True,
80,3.828701762999117,12402618128000,0.048483598,True,17.539746000693412,27.476598999783164,ready,paired,,,0.028125,-0.15937500000000004,400,389,True,
81,3.8748388280000654,12402665244000,0.047533089,True,16.942721000305028,26.46485799959919,ready,paired,,,0.034375,-0.17187500000000006,400,391,True,
82,3.920904819999123,12402712359000,0.046475544,True,17.708020999634755,25.62122600102157,ready,paired,,,0.025,-0.18125000000000005,400,392,True,
83,3.9667141689988057,12402759474000,0.045190338,True,18.85544400101935,24.235363000116195,ready,paired,,,0.021875,-0.19375,400,394,True,
84,4.014526776998537,12402806589000,0.045872131,True,19.999330999780796,25.080049999814946,ready,paired,,,0.021875,-0.20781250000000004,400,396,True,
85,4.0657506179995835,12402853704000,0.049981694,True,19.69959499911056,28.78855600101815,ready,paired,,,0.008333333333333392,-0.2057291666666667,400,396,True,
86,4.110716593999314,12402900820000,0.047848021,True,15.220846000374877,27.030253999328124,ready,paired,,,0.009375,-0.22500000000000006,400,399,True,
87,4.157922528000199,12402947936000,0.0479189,True,17.565653999554343,26.905275000899564,ready,paired,,,-0.003125,-0.22812500000000008,400,399,True,
88,4.204658359998575,12402995051000,0.047540491,True,17.363306000333978,26.637392000338878,ready,paired,,,-0.009375,-0.22500000000000006,400,399,True,
89,4.249599853999825,12403042167000,0.045365727,True,17.845259000750957,24.360972000067704,ready,paired,,,-0.0125,-0.22812500000000002,400,399,True,
90,4.296944415998951,12403089281000,0.045592492,True,19.86962999944808,24.735704999329755,ready,paired,,,-0.01875,-0.22031250000000008,400,398,True,
91,4.348378103999494,12403136396000,0.049915643,True,19.763835000048857,28.933090001373785,ready,paired,,,-0.016666666666666607,-0.21666666666666673,400,398,True,
92,4.394823662998533,12403183513000,0.049244184,True,15.531895000094664,28.18253000077675,ready,paired,,,-0.0125,-0.21406250000000004,400,397,True,
93,4.443611179000072,12403230628000,0.05091194,True,17.457526999351103,28.59218800040253,ready,paired,,,-0.015625,-0.2078125,400,396,True,
94,4.488168402998781,12403277743000,0.048350979,True,14.607708999392344,27.202641000258154,ready,paired,,,-0.0125,-0.20937500000000003,400,396,True,
95,4.535014862998651,12403324859000,0.048096142,True,16.92509199892811,27.19397399960144,ready,paired,,,-0.009375,-0.19687500000000005,400,395,True,
96,4.584261647998574,12403371974000,0.050218464,True,17.097885000112,29.41215499959071,ready,paired,,,-0.009375,-0.18281250000000004,400,392,True,
97,4.6334203599999455,12403419090000,0.052261732,True,15.011016999778803,31.409451001309208,ready,paired,,,0.003125,-0.16093750000000007,400,389,True,
98,4.677967528999943,12403466205000,0.049698938,True,13.010922999455943,28.8064630003646,ready,paired,,,0.00625,-0.13437500000000005,400,385,True,
99,4.724466327999835,12403513321000,0.049079423,True,15.55020999876433,28.216122000230826,ready,paired,,,0.009375,-0.12187500000000001,400,383,True,
100,4.769746631998714,12403560435000,0.047253615,True,16.098940999654587,26.45517299970379,ready,paired,,,0.0125,-0.10468750000000003,400,381,True,
101,4.817702884998653,12403607551000,0.048082128,True,17.99720200142474,27.220529000260285,ready,paired,,,0.022916666666666606,-0.09114583333333331,400,379,True,
102,4.868631601999368,12403654666000,0.051895456,True,17.11023700045189,31.080882999958703,ready,paired,,,0.033333333333333395,-0.05885416666666672,400,374,True,
103,4.918535577999137,12403701782000,0.054685265,True,15.643004000594374,31.526134998784983,ready,paired,,,0.04375,-0.031250000000000014,400,370,True,
104,4.963453221998861,12403748897000,0.052463113,True,10.721949000071618,31.435765000424,ready,paired,,,0.046875,-0.023437500000000028,400,369,True,
105,5.008224978999351,12403796013000,0.050147907,True,12.823279999793158,29.217324999990524,ready,paired,,,0.05,-0.02968750000000002,400,369,True,
106,5.054930514999796,12403843128000,0.049739721,True,14.973924000514671,28.99968099882244,ready,paired,,,0.05,-0.015625000000000014,400,367,True,
107,5.1031230419994245,12403890243000,0.050812877,True,15.527487999861478,29.93184899969492,ready,paired,,,0.0645833333333334,-0.02760416666666672,400,369,True,
108,5.151082295999004,12403937359000,0.051658094,True,14.409785999305313,30.814407000434585,ready,paired,,,0.0625,0.006249999999999992,400,364,True,
109,5.196008086999427,12403984475000,0.04946583,True,13.51059999979043,28.68103899891139,ready,paired,,,0.053125,0.0015624999999999875,400,365,True,
110,5.241835935999916,12404031589000,0.048186086,True,15.699262999987695,27.39698900040821,ready,paired,,,0.05,-0.01093750000000001,400,367,True,
111,5.288447732998975,12404078706000,0.047676883,True,16.939499000727665,26.940626999930828,ready,paired,,,0.0375,-0.009375000000000015,400,366,True,
112,5.338628130999496,12404125821000,0.050744873,True,17.5111550015572,29.93918199899781,ready,paired,,,0.0375,-0.01875000000000001,370,365,True,time_limit
