frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,near_offset,preview_error,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.03179970200017124,6037663555000,0.046020409,True,5.9386570001151995,21.366236999710964,ready,-0.04375,-0.18906250000000002,370,393,True,
2,0.07749237499956507,6037710673000,0.044610138,True,21.7623980006465,19.4256349996067,ready,-0.04375,-0.18437500000000007,370,393,True,
3,0.11533715800032951,6037757788000,0.035738212,True,21.84793400010676,11.893906999830506,ready,-0.04375,-0.18906250000000002,370,393,True,
4,0.16069676099959906,6037804903000,0.033989722,True,29.75452599912387,11.521783000716823,ready,-0.04375,-0.18437500000000007,370,393,True,
5,0.20923715400022047,6037852019000,0.035243284,True,31.64359299989883,12.640932999602228,ready,-0.04375,-0.18437500000000007,400,393,True,
6,0.25673172699953284,6037899135000,0.035601783,True,30.535201000020606,12.682192000283976,ready,-0.04375,-0.18437500000000007,400,393,True,
7,0.30403482200017606,6037946250000,0.035803082,True,30.243352999605122,12.797431000763027,ready,-0.04375,-0.18437500000000007,400,393,True,
8,0.3510191619998295,6037993367000,0.035663885,True,29.94561600007728,12.765561999913189,ready,-0.04375,-0.18906250000000002,400,393,True,
9,0.3982509059997028,6038040482000,0.035797462,True,30.07007700034592,12.907837000057043,ready,-0.04375,-0.18906250000000002,400,393,True,
10,0.44534687400027906,6038087597000,0.035760467,True,29.904042999987723,12.91770700026973,ready,-0.04375,-0.19375000000000003,400,394,True,
11,0.4923458989997016,6038134714000,0.035668917,True,30.08444699935353,12.666248000641644,ready,-0.04375,-0.18906250000000002,400,393,True,
12,0.5394398480002565,6038181827000,0.035645497,True,30.063317999520223,12.779487000443623,ready,-0.04375,-0.19375000000000003,400,394,True,
13,0.5855627740002092,6038228945000,0.034647608,True,29.916134999439237,11.953887999879953,ready,-0.04375,-0.18906250000000002,400,393,True,
14,0.635435907000101,6038276060000,0.037361815,True,32.01334700042935,13.55686499937292,ready,-0.04375,-0.18906250000000002,400,393,True,
