frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,near_offset,preview_error,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.04079826299948763,7901432915000,0.029844469,True,31.716155000140134,9.040218999871286,ready,-0.0625,-0.19843750000000004,370,395,False,
2,0.08706910000000789,7901480031000,0.029003047,True,38.08830799971474,8.11586400050146,ready,-0.0625,-0.19843750000000004,370,395,False,
3,0.1338350399992123,7901527146000,0.028652321,True,38.85383200031356,7.866017000196734,ready,-0.0625,-0.19843750000000004,370,395,False,
4,0.18116454499977408,7901574263000,0.028865881,True,39.24060300050769,8.043236000048637,ready,-0.0625,-0.19843750000000004,370,395,False,
5,0.22800387299957947,7901621377000,0.028590191,True,38.96971900030621,7.82338799945137,ready,-0.0625,-0.19843750000000004,400,395,False,
6,0.2755160229999092,7901668493000,0.028987507,True,39.336564999757684,8.130086000164738,ready,-0.0625,-0.19843750000000004,400,395,False,
7,0.32214885499979573,7901715608000,0.02850182,True,38.778314999944996,7.805610000104934,ready,-0.0625,-0.19843750000000004,400,395,False,
8,0.3697273919997315,7901762725000,0.028958858,True,39.416618999894126,8.106883000436937,ready,-0.0625,-0.19843750000000004,400,395,False,
9,0.4164772770000127,7901809839000,0.028603613,True,38.86312800023006,7.840794999538048,ready,-0.0625,-0.19843750000000004,400,395,False,
10,0.4636747659997127,7901856955000,0.028686435,True,39.131920000727405,8.019107000109216,ready,-0.0625,-0.19375,400,394,False,
11,0.5106894979999197,7901904070000,0.028583112,True,39.08006900019245,7.88351600021997,ready,-0.0625,-0.19843750000000004,400,395,False,
12,0.557884023999577,7901951185000,0.028665415,True,39.1645489999064,7.983163000062632,ready,-0.0625,-0.19843750000000004,400,395,False,
13,0.604792331999306,7901998301000,0.028456131,True,38.91099799966469,7.9487370003334945,ready,-0.0625,-0.19375,400,394,False,
14,0.6522703719992933,7902045416000,0.028822485,True,39.277102999221825,8.155344999977387,ready,-0.0625,-0.19843750000000004,400,395,False,
15,0.6990926439993927,7902092532000,0.028525536,True,38.90303499974834,7.8706090007472085,ready,-0.0625,-0.19843750000000004,400,395,False,
16,0.7465139259993521,7902139647000,0.02883265,True,39.29206500015425,8.083753999926557,ready,-0.0625,-0.19375,400,394,False,
17,0.7933774749999429,7902186763000,0.0285792,True,39.02745900086302,7.7865919993200805,ready,-0.0625,-0.19843750000000004,400,395,False,
18,0.8406045929996253,7902233879000,0.028692207,True,39.19225199933862,7.9882190002535935,ready,-0.0625,-0.19843750000000004,400,395,False,
19,0.8875725859998056,7902280993000,0.028544847,True,39.08271700038313,7.8383130003203405,ready,-0.0625,-0.19375,400,394,False,
20,0.93495160799921,7902328110000,0.028807963,True,39.274564999686845,8.056384000155958,ready,-0.0625,-0.19843750000000004,400,395,False,
21,0.9825106459993549,7902375224000,0.029251575,True,39.659911000853754,7.85229499979323,ready,-0.0625,-0.19375,400,394,False,
22,1.0290950339995106,7902422341000,0.028721166,True,38.49298600016482,8.044995999625826,ready,-0.0625,-0.19843750000000004,400,395,False,
23,1.0759215660000336,7902469455000,0.028432087,True,38.903663999917626,7.8741650004303665,ready,-0.0625,-0.19843750000000004,400,395,False,
24,1.1233814949991938,7902516572000,0.028776405,True,39.37502700046025,8.03790299960383,ready,-0.0625,-0.19375,400,394,False,
25,1.170188767999207,7902563686000,0.02846927,True,38.90583100019285,7.854942999983905,ready,-0.0625,-0.19375,400,394,False,
26,1.2174810699998488,7902610803000,0.028644887,True,39.19427100026951,8.051013000113016,ready,-0.0625,-0.19375,400,394,False,
27,1.2645363749998069,7902657918000,0.028582582,True,39.22927000076015,7.77740699959395,ready,-0.0625,-0.19843750000000004,400,395,False,
28,1.3119903229999181,7902705034000,0.028922751,True,39.30093599956308,8.10706799984473,ready,-0.0625,-0.19375,400,394,False,
29,1.358868982999411,7902752148000,0.02868643,True,38.9049610002985,7.925367000098049,ready,-0.0625,-0.19375,400,394,False,
30,1.40617480399942,7902799264000,0.028875343,True,39.261566000277526,7.9958850001276005,ready,-0.0625,-0.19843750000000004,400,395,False,
31,1.4529710209999394,7902846380000,0.028556135,True,38.894276000064565,7.854683999539702,ready,-0.0625,-0.19375,400,394,False,
32,1.5002974149992951,7902893495000,0.028770306,True,39.256824999938544,8.024050999665633,ready,-0.0625,-0.19843750000000004,400,395,False,
33,1.5472759439999209,7902940611000,0.028629577,True,39.06399500010593,7.866535000175645,ready,-0.0625,-0.19375,400,394,False,
34,1.5945069509998575,7902987726000,0.028746972,True,39.073551000001316,8.109215999866137,ready,-0.0625,-0.19375,400,394,False,
35,1.648741654999867,7903034841000,0.035857547,True,41.20731100010744,12.969135000275855,ready,-0.0625,-0.19375,400,394,False,
