frame,elapsed_s,capture_wait_ms,processing_ms,track_status,target_status,offset
1,0.03843545899962919,32.13146799998867,5.950014000063675,selected,direct,0.075
2,0.08505025499971453,24.297402999764017,5.2495610002551985,selected,direct,0.075
3,0.13173693999988245,41.48312300003454,5.157024999789428,selected,direct,0.075
4,0.17904578299976492,41.99606100019082,5.2676899999823945,selected,direct,0.075
5,0.2260014999997111,41.677491000427835,5.20554299964715,selected,direct,0.075
6,0.272927903999971,41.98976499992568,4.890825000074983,selected,direct,0.075
7,0.3199627869998949,42.087967000043136,4.903398000351444,selected,direct,0.075
8,0.367301537000003,42.20476199998302,5.088858999897639,selected,direct,0.075
9,0.4142266999997446,41.78974800015567,5.090526000003592,selected,direct,0.075
10,0.4613576560000183,42.03500499988877,5.051934000221081,selected,direct,0.075
11,0.508622073999959,42.128485000375804,5.090081999696849,selected,direct,0.075
12,0.5556875869997384,41.90121000010549,5.117599000186601,selected,direct,0.075
13,0.6028177279999909,41.9897269998728,5.095099999834929,selected,direct,0.075
14,0.6512172239999927,43.411022999862325,4.944917000102578,selected,direct,0.075
15,0.6967560709999816,40.63615299992307,4.857677000018157,selected,direct,0.075
16,0.7441266349997022,42.185261999748036,5.140191999998933,selected,direct,0.075
17,0.791297368999949,42.17296600018017,4.951730999891879,selected,direct,0.075
18,0.838475768999615,41.93826500022624,5.196598999646085,selected,direct,0.075
19,0.8853061919999163,41.881562000071426,4.903824999928474,selected,direct,0.075
20,0.932476499999666,42.15413300016735,4.971564000243234,selected,direct,0.075
21,0.979873674999908,42.1889099998225,5.1635620002343785,selected,direct,0.075
22,1.026792744999966,41.79763799993452,5.076211000414332,selected,direct,0.075
23,1.0736831309995978,42.00068999989526,4.845807000037894,selected,direct,0.075
24,1.121147452999594,27.30914199992185,5.126285000187636,selected,direct,0.075
25,1.1683633899997403,42.05515200010268,5.116617999647133,selected,direct,0.075
26,1.215176720999807,41.752915999950346,5.015564000132144,selected,direct,0.075
27,1.2624258979999468,42.10565199991834,5.098970000290137,selected,direct,0.078125
28,1.3094523929999013,41.948801999751595,5.032212000060099,selected,direct,0.075
29,1.35660988599966,42.249945999628835,4.863010999997641,selected,direct,0.075
30,1.4036738609997883,42.0063750002555,5.014750000100321,selected,direct,0.075
31,1.450548413999968,41.999246000159474,4.831565999666054,selected,direct,0.075
32,1.497998755000026,42.362871000023006,5.043803999797092,selected,direct,0.075
33,1.5504353639998953,44.14025500000207,8.249446999798238,selected,direct,0.075
34,1.5970235859999775,38.667029999942315,7.82826800013936,selected,direct,0.075
35,1.6468650629999502,40.958371000215266,8.821495000120194,selected,direct,0.075
36,1.6927249249997658,37.060846999793284,8.733219000077952,selected,direct,0.075
37,1.7402645049996863,38.25699899971369,9.216120000019146,selected,direct,0.075
38,1.7874493129997973,37.8278380003394,9.291747999668587,selected,direct,0.075
39,1.8342398289996709,37.742079999588896,8.983382000224083,selected,direct,0.075
40,1.879631863999748,37.51017500007947,7.820786000138469,selected,direct,0.075
41,1.9275062919996344,39.43453800002317,8.377779000056762,selected,direct,0.075
42,1.977705763999893,41.03768499999205,9.098158000142575,selected,direct,0.075
43,2.0227254329997777,35.97034399990662,8.982215000287397,selected,direct,0.075
44,2.069998960999783,37.988187999872025,9.217749000072217,selected,direct,0.075
