image,height_ratio,x_start,x_end,width,status
3968_cam_image_array_.jpg,0.9,,,0,no_segment
3968_cam_image_array_.jpg,0.85,153,159,7,accepted
3968_cam_image_array_.jpg,0.8,147,159,13,accepted
3968_cam_image_array_.jpg,0.75,141,152,12,accepted
3968_cam_image_array_.jpg,0.75,156,159,4,accepted
3968_cam_image_array_.jpg,0.7,135,159,25,accepted
3968_cam_image_array_.jpg,0.65,128,159,32,too_wide
3968_cam_image_array_.jpg,0.6,4,8,5,accepted
3968_cam_image_array_.jpg,0.6,121,159,39,too_wide
3968_cam_image_array_.jpg,0.55,10,16,7,accepted
3968_cam_image_array_.jpg,0.55,117,122,6,accepted
3968_cam_image_array_.jpg,0.55,126,159,34,too_wide
3982_cam_image_array_.jpg,0.9,,,0,no_segment
3982_cam_image_array_.jpg,0.85,154,159,6,accepted
3982_cam_image_array_.jpg,0.8,148,159,12,accepted
3982_cam_image_array_.jpg,0.75,142,153,12,accepted
3982_cam_image_array_.jpg,0.75,157,159,3,accepted
3982_cam_image_array_.jpg,0.7,136,159,24,accepted
3982_cam_image_array_.jpg,0.65,129,159,31,too_wide
3982_cam_image_array_.jpg,0.6,4,8,5,accepted
3982_cam_image_array_.jpg,0.6,122,159,38,too_wide
3982_cam_image_array_.jpg,0.55,10,16,7,accepted
3982_cam_image_array_.jpg,0.55,117,122,6,accepted
3982_cam_image_array_.jpg,0.55,127,159,33,too_wide
6622_cam_image_array_.jpg,0.9,152,159,8,accepted
6622_cam_image_array_.jpg,0.85,146,159,14,accepted
6622_cam_image_array_.jpg,0.8,141,153,13,accepted
6622_cam_image_array_.jpg,0.8,158,159,2,accepted
6622_cam_image_array_.jpg,0.75,135,148,14,accepted
6622_cam_image_array_.jpg,0.75,151,159,9,accepted
6622_cam_image_array_.jpg,0.7,129,159,31,too_wide
6622_cam_image_array_.jpg,0.65,123,159,37,too_wide
6622_cam_image_array_.jpg,0.6,0,3,4,accepted
6622_cam_image_array_.jpg,0.6,116,159,44,too_wide
6622_cam_image_array_.jpg,0.55,5,11,7,accepted
6622_cam_image_array_.jpg,0.55,114,117,4,accepted
6622_cam_image_array_.jpg,0.55,122,159,38,too_wide
8226_cam_image_array_.jpg,0.9,153,159,7,accepted
8226_cam_image_array_.jpg,0.85,148,159,12,accepted
8226_cam_image_array_.jpg,0.8,143,154,12,accepted
8226_cam_image_array_.jpg,0.75,137,148,12,accepted
8226_cam_image_array_.jpg,0.75,152,159,8,accepted
8226_cam_image_array_.jpg,0.7,131,159,29,too_wide
8226_cam_image_array_.jpg,0.65,125,159,35,too_wide
8226_cam_image_array_.jpg,0.6,2,6,5,accepted
8226_cam_image_array_.jpg,0.6,121,159,39,too_wide
8226_cam_image_array_.jpg,0.55,11,14,4,accepted
8226_cam_image_array_.jpg,0.55,114,118,5,accepted
8226_cam_image_array_.jpg,0.55,124,159,36,too_wide
