frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,near_offset,preview_error,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.031391846000587975,4354330315000,0.043879211,True,7.467201000508794,19.439494999460294,ready,-0.06875,-0.1718749999999999,370,391,True,
2,0.07338516100026027,4354377427000,0.038939187,True,23.246038000252156,14.419232999898668,ready,-0.06875,-0.19062500000000002,370,394,True,
3,0.11847791200034408,4354424541000,0.036908234,True,27.064505999987887,13.70273799966526,ready,-0.06875,-0.19062500000000002,370,394,True,
4,0.1665468620003594,4354471655000,0.037922886,True,30.893583999386465,12.908800999866799,ready,-0.06875,-0.19062500000000002,370,394,True,
5,0.20997290900049848,4354518770000,0.034239952,True,27.76818700021977,11.39610999962315,ready,-0.06875,-0.1718749999999999,400,391,True,
6,0.25883640900065075,4354565887000,0.035979915,True,32.648825000251236,11.949017999540956,ready,-0.06875,-0.1718749999999999,400,391,True,
7,0.3049641090001387,4354613002000,0.034971116,True,29.621145999954024,12.2179159998268,ready,-0.06875,-0.18593750000000003,400,393,True,
8,0.3522864370006573,4354660116000,0.035196925,True,30.77134799968917,12.278785000489734,ready,-0.06875,-0.19062500000000002,400,394,True,
9,0.39938599500055716,4354707231000,0.035194426,True,30.46024800005398,12.380281999867293,ready,-0.06875,-0.18593750000000003,400,393,True,
10,0.44656649399985326,4354754346000,0.035263463,True,30.616557999564975,12.306913999964308,ready,-0.06875,-0.18593750000000003,400,393,True,
11,0.49353714900007617,4354801460000,0.035120117,True,30.3252710000379,12.388688999635633,ready,-0.06875,-0.1765625,400,391,True,
12,0.5405691340001795,4354848575000,0.035040158,True,30.45269299946085,12.32798700038984,ready,-0.06875,-0.18593750000000003,400,393,True,
13,0.58721942900047,4354895687000,0.034576193,True,30.528801000400563,11.866871999700379,ready,-0.065625,-0.18750000000000003,400,393,True,
14,0.6339363320003031,4354942803000,0.034174874,True,31.018377999316726,11.438664000706922,ready,-0.0625,-0.184375,400,393,True,
15,0.682854182000483,4354989919000,0.035912023,True,31.74809499978437,12.848119000409497,ready,-0.065625,-0.18750000000000003,400,393,True,
16,0.7303725589999885,4355037034000,0.036328826,True,30.227254999772413,12.979502999769466,ready,-0.0625,-0.18906250000000002,400,393,True,
17,0.7777988100006041,4355084149000,0.036685149,True,30.91347300050984,12.24586099942826,ready,-0.0625,-0.18906250000000002,400,393,True,
18,0.8223919120000573,4355131261000,0.034181213,True,28.997055000218097,11.347370999828854,ready,-0.065625,-0.17812500000000003,400,392,True,
19,0.8697329619999437,4355178378000,0.034397226,True,31.663468000260764,11.42001700009132,ready,-0.065625,-0.17812500000000003,400,392,True,
20,0.9164473840000937,4355225492000,0.034006278,True,31.365533999633044,11.099416000433848,ready,-0.065625,-0.17812500000000003,400,392,True,
21,0.9638574500004324,4355272607000,0.034269937,True,31.894404999547987,11.238485000831133,ready,-0.0625,-0.17968750000000003,400,392,True,
22,1.0128003540003192,4355319721000,0.036078324,True,31.98723500008782,12.654717000259552,ready,-0.05625,-0.17812500000000003,400,392,True,
23,1.059572997000032,4355366835000,0.035744688,True,30.054705000111426,12.423225000020466,ready,-0.05625,-0.17343750000000002,400,391,True,
24,1.1050563290000355,4355413950000,0.034170963,True,29.93371000047773,11.31581599929632,ready,-0.05625,-0.17343750000000002,400,391,True,
25,1.1525959090004108,4355461066000,0.0345766,True,31.518601999778184,11.769783000090683,ready,-0.0546875,-0.16953125000000002,400,390,True,
26,1.200977167000019,4355508180000,0.035728287,True,31.80540799985465,12.206732000777265,ready,-0.05625,-0.1499999999999999,400,388,True,
27,1.2487924990000465,4355555294000,0.036490784,True,30.450045999714348,13.056296999820916,ready,-0.040625,-0.1624999999999999,400,389,True,
28,1.2944429760000276,4355602409000,0.035055315,True,29.765030999442388,11.6064740004731,ready,-0.0375,-0.1593749999999999,400,389,True,
29,1.3401489510006286,4355649525000,0.033672215,True,30.62165100072889,10.829794999153819,ready,-0.040625,-0.1531249999999999,400,388,True,
30,1.3894207729999835,4355696640000,0.035836185,True,33.94052499970712,11.087120000411232,ready,-0.0375,-0.1593749999999999,400,389,True,
31,1.4353227600004175,4355743753000,0.03460021,True,29.730105999988155,11.903890000212414,ready,-0.040625,-0.17656250000000004,400,391,True,
32,1.4812249140004496,4355790867000,0.033407085,True,31.013712000458327,10.638079999807815,ready,-0.0375,-0.18281250000000002,400,392,True,
33,1.5279313560004084,4355837984000,0.032987436,True,32.43185200062726,10.015117999500944,ready,-0.034375,-0.19375000000000003,400,394,True,
34,1.5749770660004287,4355885099000,0.032920256,True,32.62227100003656,10.165817000597599,ready,-0.034375,-0.18906250000000008,400,393,True,
35,1.6240820410002925,4355932214000,0.034871399,True,33.232251000299584,11.576197000067623,ready,-0.0375,-0.1734375,400,391,True,
36,1.6744827150005221,4355979326000,0.038162092,True,34.75396100020589,11.3523529998929,ready,-0.03125,-0.17187500000000006,400,391,True,
37,1.7189346380000643,4356026441000,0.035493867,True,28.102473999751965,12.050329999510723,ready,-0.0359375,-0.16484375,400,390,True,
38,1.7652887220001503,4356073559000,0.034693026,True,30.63137299977825,11.383389000002353,ready,-0.0359375,-0.16249999999999992,400,389,True,
39,1.8137983460001124,4356120673000,0.036101131,True,32.11154699965846,12.0728660003806,ready,-0.028125,-0.1593749999999999,400,389,True,
40,1.8604913630006195,4356167785000,0.035692315,True,30.406603000301402,11.970887999268598,ready,-0.025,-0.1468749999999999,400,387,True,
41,1.9057024470002943,4356214902000,0.033842693,True,30.700667000019166,10.251443999550247,ready,-0.03125,-0.15781250000000002,400,389,True,
42,1.9532222329999058,4356262016000,0.034254146,True,32.370150000133435,10.898071000156051,ready,-0.021875,-0.17187500000000006,400,391,True,
43,2.0014685520000057,4356309131000,0.035328707,True,33.552740999766684,10.385532000327657,ready,-0.009375,-0.17812500000000003,400,392,True,
44,2.046860370000104,4356356246000,0.033605433,True,30.92736300004617,10.15233599991916,ready,-0.0125,-0.21875000000000003,400,398,True,
45,2.0949762110003576,4356403361000,0.03467642,True,32.86246699917683,11.01434500014875,ready,-0.015625,-0.19375000000000003,400,394,True,
46,2.140285051000319,4356450473000,0.032867574,True,31.250168000042322,9.815995000280964,ready,-0.015625,-0.19843750000000004,400,395,True,
47,2.187133064000591,4356497590000,0.032547885,True,32.934834999650775,9.618762000172865,ready,-0.0140625,-0.18515625000000002,400,393,True,
48,2.2356482820005112,4356544703000,0.033934604,True,33.96689600049285,10.239036999337259,ready,-0.021875,-0.16249999999999992,370,365,True,time_limit
