frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,target_source,near_extrapolation,near_uncertainty_px,near_offset,preview_error,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.06565146800039656,2487263114000,0.084148834,True,3.3069070000237843,59.61421900019559,ready,paired,,,0.0,-0.014062500000000002,370,367,True,
2,0.126016415000322,2487357344000,0.050231912,True,28.288145000260556,29.283275999659963,ready,paired,,,0.0,-0.014062500000000002,370,367,True,
3,0.17312773700041362,2487404460000,0.050269548,True,15.065574999880482,29.296071999851847,ready,paired,,,0.0,-0.014062500000000002,370,367,True,
4,0.22037077900040458,2487451577000,0.050397831,True,15.053334999720391,29.4410510000489,ready,paired,,,-0.003125,-0.0125,370,367,True,
5,0.26742888000035236,2487498691000,0.050359358,True,14.918763000423496,29.40829199997097,ready,paired,,,-0.003125,-0.0125,400,367,True,
6,0.3143401880001875,2487545806000,0.050123462,True,14.872244999878603,29.276869000113948,ready,paired,,,0.0,-0.014062500000000002,400,367,True,
7,0.36107985000035114,2487592922000,0.049769234,True,15.004001999841421,28.995040000154404,ready,paired,,,-0.003125,-0.0125,400,367,True,
8,0.4094216690000394,2487640038000,0.050985851,True,16.462255000078585,29.12913000000117,ready,paired,,,0.0,-0.014062500000000002,400,367,True,
9,0.45564193300015177,2487687153000,0.050109854,True,14.161757999772817,29.327127000215114,ready,paired,,,0.0,-0.014062500000000002,400,367,True,
10,0.503859236000153,2487734269000,0.051217195,True,17.39109099980851,28.099536999889096,ready,paired,,,0.0,-0.018750000000000006,400,368,True,
11,0.5485622660003173,2487781385000,0.048802373,True,13.965909000035026,28.006352999909723,ready,paired,,,-0.003125,-0.017187500000000005,400,368,True,
12,0.5956405160000031,2487828500000,0.048769622,True,16.341461000138224,28.01440899975205,ready,paired,,,-0.003125,-0.017187500000000005,400,368,True,
13,0.6421496450002451,2487875615000,0.048160974,True,16.36644200016235,27.414994000082515,ready,paired,,,-0.00625,-0.015625000000000003,400,367,True,
14,0.6884789620003176,2487922730000,0.047378347,True,16.98511699987648,26.618748000146297,ready,paired,,,-0.0125,-0.021875000000000002,400,368,True,
15,0.7366871730000639,2487969847000,0.048457429,True,17.74206600020989,27.730265999707626,ready,paired,,,-0.015625,-0.0203125,400,368,True,
16,0.7838930500001879,2488016962000,0.048556509,True,16.632158999982494,27.84515299981649,ready,paired,,,-0.01875,-0.028125000000000004,400,369,True,
17,0.8300487590004195,2488064077000,0.047605051,True,16.604697000275337,26.830002999759017,ready,paired,,,-0.0125,-0.03593750000000001,400,370,True,
18,0.8778258300003472,2488111192000,0.048258622,True,17.37096199985899,27.676969999902212,ready,paired,,,-0.017708333333333392,-0.04270833333333331,400,371,True,
19,0.9262136120000832,2488158308000,0.049525312,True,16.88665499978015,28.765100000327948,ready,paired,,,-0.010416666666666607,-0.0416666666666667,400,371,True,
20,0.9765960640002049,2488205424000,0.05279156,True,18.891991000145936,28.756137000073068,ready,paired,,,-0.025,-0.006249999999999995,400,366,True,
21,1.0220293230004245,2488252539000,0.051119763,True,12.92616699993232,29.783211999983905,ready,paired,,,-0.00625,-0.015625000000000003,400,367,True,
22,1.0685188780003045,2488299656000,0.050499485,True,14.142573000299308,29.628362999574165,ready,paired,,,-0.0125,-0.0125,400,367,True,
23,1.1132360380001955,2488346770000,0.04808433,True,14.747284999884869,27.233884999986913,ready,paired,,,-0.021875,-0.021875,400,368,True,
24,1.1618858159999945,2488393885000,0.049622645,True,17.072893000204203,28.844523999850935,ready,paired,,,-0.025,-0.029687500000000002,400,369,True,
25,1.2078039180000815,2488441001000,0.048423933,True,15.43999499972415,27.743283999825508,ready,paired,,,-0.028125,-0.037500000000000006,400,371,True,
26,1.2551851810003427,2488488116000,0.048699343,True,16.812341999866476,27.844652000112546,ready,paired,,,-0.03125,-0.035937500000000004,400,370,True,
27,1.3006776240004,2488535232000,0.047057731,True,16.590974999871833,26.160255999911897,ready,paired,,,-0.0375,-0.0421875,400,371,True,
28,1.3493464750004023,2488582349000,0.048611193,True,17.998543999965477,27.927372999783984,ready,paired,,,-0.0296875,-0.05078125,400,373,True,
29,1.3976262590003898,2488629463000,0.049782014,True,16.581883000071684,28.96280000004481,ready,paired,,,-0.00625,-0.025,400,369,True,
30,1.4491715610001847,2488676578000,0.05421702,True,18.90684299996792,29.90726600000926,ready,paired,,,-0.025,-0.025,400,369,True,
31,1.4917286660001992,2488723694000,0.049649051,True,10.908702000051562,28.908282999964285,ready,paired,,,-0.034375,-0.024999999999999998,400,369,True,
32,1.5378243210002438,2488770809000,0.048633817,True,15.514844999870547,27.845318999879964,ready,paired,,,-0.0375,-0.0328125,400,370,True,
33,1.585797499000364,2488817925000,0.049488902,True,16.343998000138527,28.89185699996233,ready,paired,,,-0.04375,-0.0390625,400,371,True,
34,1.6316431770001145,2488865040000,0.048233432,True,15.660602000025392,27.46001100013018,ready,paired,,,-0.046875,-0.042187499999999996,400,371,True,
35,1.6795768560000397,2488912156000,0.049046167,True,16.86611900004209,28.339274000245496,ready,paired,,,-0.0375,-0.051562500000000004,400,373,True,
36,1.7299084390001553,2488959271000,0.052253435,True,17.427313000098366,30.165927999860287,ready,paired,,,-0.009375,-0.0234375,400,369,True,
37,1.7741358110001784,2489006387000,0.049370677,True,12.835595000069588,28.65878700004032,ready,paired,,,-0.028125,-0.0234375,400,369,True,
38,1.8214558340000622,2489053502000,0.049575312,True,15.67782400024953,28.91161599973202,ready,paired,,,-0.034375,-0.020312499999999997,400,368,True,
39,1.8675153240001237,2489100618000,0.048522541,True,15.54204900003242,27.788190000137547,ready,paired,,,-0.034375,-0.034375,400,370,True,
40,1.9149037340002906,2489147734000,0.048796193,True,17.575144000147702,27.084202999958507,ready,paired,,,-0.040625,-0.03125,400,370,True,
41,1.9601706440003,2489194848000,0.046952733,True,16.597530000126426,25.94642699978067,ready,paired,,,-0.03229166666666661,-0.0447916666666667,400,372,True,
42,2.0098897750003744,2489241963000,0.049537382,True,18.31498299998202,28.658824000103778,ready,paired,,,-0.03229166666666661,-0.019791666666666798,400,368,True,
43,2.0574208680000083,2489289080000,0.049961234,True,15.788044000146328,29.00842899998679,ready,paired,,,-0.01875,-0.004687499999999997,400,366,True,
44,2.1059853330002625,2489336195000,0.051388607,True,15.33131099995444,30.47744099967531,ready,paired,,,-0.025,-0.010937499999999996,400,367,True,
45,2.150701919000312,2489383310000,0.049019044,True,13.836873999935051,28.152073999990535,ready,paired,,,-0.028125,-0.014062499999999995,400,367,True,
46,2.1965678560000015,2489430426000,0.047771259,True,16.211981999731506,26.92881600023611,ready,paired,,,-0.034375,-0.024999999999999998,400,369,True,
47,2.2439319710001655,2489477541000,0.048013226,True,17.429312999865942,27.203719000226556,ready,paired,,,-0.017708333333333392,-0.02083333333333321,400,368,True,
48,2.294782026000121,2489524657000,0.051749763,True,17.18420499992135,30.935489000057714,ready,paired,,,-0.009375,-0.009375,400,366,True,
49,2.3434902290000537,2489571773000,0.053365187,True,14.350642999943375,31.64956999989954,ready,paired,,,-0.01875,-0.014062499999999999,400,367,True,
50,2.3876930650003487,2489618888000,0.050411598,True,12.033052999868232,29.42462600003637,ready,paired,,,-0.021875,-0.017187499999999998,400,368,True,
51,2.433942051000031,2489666003000,0.049565602,True,14.74235800014867,28.779043999747955,ready,paired,,,-0.03125,-0.021875,400,368,True,
52,2.4820521530000406,2489713119000,0.05055313,True,15.51573400001871,29.859748000035324,ready,paired,,,-0.022916666666666606,-0.029166666666666785,400,369,True,
53,2.5325724170002104,2489760234000,0.053962635,True,14.588454000204365,33.20309799983079,ready,paired,,,-0.015625,-0.001562499999999998,400,365,True,
54,2.5781519520000984,2489807352000,0.052419948,True,11.195993999990606,31.650014000206284,ready,paired,,,-0.025,-0.010937499999999996,400,367,True,
55,2.6239245200004007,2489854465000,0.051080368,True,12.756836999869847,30.28226000014911,ready,paired,,,-0.034375,-0.015624999999999993,400,367,True,
56,2.670910068000012,2489901581000,0.050944416,True,14.060629999676166,30.186039000000164,ready,paired,,,-0.03229166666666661,-0.0354166666666667,400,370,True,
57,2.719944229000248,2489948696000,0.052864076,True,14.159571999698528,32.13876500012702,ready,paired,,,-0.009375,-0.07499999999999994,400,376,True,
58,2.7662801020001098,2489995813000,0.052087357,True,12.246437999692716,31.35548199998084,ready,paired,,,-0.025,-0.010937499999999996,400,367,True,
59,2.811560826999994,2490042927000,0.050241601,True,13.041740000062418,29.493327999716712,ready,paired,,,-0.034375,-0.015624999999999993,400,367,True,
60,2.858528801000375,2490090043000,0.050111223,True,14.914169999883597,29.326553999908356,ready,paired,,,-0.046875,-0.028124999999999997,400,369,True,
61,2.9078071990002172,2490137159000,0.052260213,True,15.061391000017466,31.474627999614313,ready,paired,,,-0.02604166666666661,-0.043229166666666693,400,371,True,
62,2.956435125000098,2490184274000,0.053774307,True,13.102386999889859,32.784827000341465,ready,paired,,,-0.015625,-0.006249999999999997,400,366,True,
63,3.0016643700000714,2490231391000,0.05187357,True,11.541969000063546,30.933044999983395,ready,paired,,,-0.021875,-0.0078125,400,366,True,
64,3.0491428540003653,2490278506000,0.05227733,True,13.283216999752767,31.47931300009077,ready,paired,,,-0.028125,-0.018749999999999996,400,368,True,
65,3.095485153000027,2490325621000,0.051490019,True,13.128201999734301,30.48720000015237,ready,paired,,,-0.015625,-0.029687500000000006,400,369,True,
66,3.1437078280000605,2490372735000,0.052582601,True,13.617434000025241,31.859990999691945,ready,paired,,,0.003125,-0.024999999999999984,400,369,True,
67,3.1903487330000644,2490419852000,0.052102025,True,12.776207000115392,31.114948999857006,ready,paired,,,-0.00625,0.01718750000000001,400,362,True,
68,3.236193726000238,2490466967000,0.05084537,True,13.080368999908387,30.02844900038326,ready,paired,,,-0.003125,0.015625000000000007,400,363,True,
69,3.282410565000191,2490514083000,0.049964208,True,14.408809000087786,29.090316999827337,ready,paired,,,-0.0010416666666666075,-0.004166666666666697,400,366,True,
