frame,elapsed_s,ready,source,pwm,near,far,reason,ms
1,0.005646421001074486,True,paired,377,82.0,76.25,consistent,1.4267079532146454
2,0.05288335800105415,True,paired,377,82.0,76.25,consistent,1.2209159322082996
3,0.0987836710010015,True,paired,377,82.0,76.5,consistent,1.2276660418137908
4,0.1453059920004307,True,paired,377,82.0,76.25,consistent,1.2719579972326756
5,0.19349226499980432,True,paired,377,82.0,76.5,consistent,1.3755840482190251
6,0.23942933600119432,True,paired,377,82.0,76.25,consistent,1.2715409975498915
7,0.2865344060010102,True,paired,377,82.0,76.25,consistent,1.3170000165700912
8,0.33382576900112326,True,paired,377,82.0,76.25,consistent,1.2337500229477882
9,0.38090600600116886,True,paired,377,82.0,76.25,consistent,1.2371670454740524
10,0.42785335600092367,True,paired,377,82.0,76.25,consistent,1.222708960995078
11,0.474981833000129,True,paired,377,82.0,76.25,consistent,1.223083003424108
12,0.5221339760009869,True,paired,377,82.0,76.25,consistent,1.319749979302287
13,0.5692217310006527,True,paired,377,82.0,76.25,consistent,1.3139169896021485
14,0.6176480920003087,True,paired,377,82.0,76.25,consistent,1.261750003322959
15,0.6656447759996809,True,paired,377,82.0,76.25,consistent,1.2254159664735198
16,0.7112402980001207,True,paired,377,82.0,76.25,consistent,1.2127090012654662
17,0.757717323000179,True,paired,377,82.0,76.25,consistent,1.2308330042287707
18,0.8047920419994625,True,paired,377,82.0,76.5,consistent,1.2522919569164515
19,0.8526294690000213,True,paired,377,82.0,76.25,consistent,1.3852919219061732
20,0.8996267069996975,True,paired,377,82.0,76.25,consistent,1.3021250488236547
21,0.9470978080007626,True,paired,377,82.0,76.25,consistent,1.2185829691588879
22,0.9942441180010064,True,paired,377,82.0,76.5,consistent,1.2104579946026206
23,1.0411342099996546,True,paired,377,82.0,76.25,consistent,1.236459007486701
24,1.0874502370006667,True,paired,377,82.0,76.25,consistent,1.208124915137887
25,1.1373850729996775,True,paired,377,82.0,76.25,consistent,1.3451660051941872
26,1.1817115240010025,True,paired,377,82.0,76.25,consistent,1.2884169118478894
27,1.2306107660006091,True,paired,377,82.0,76.25,consistent,1.301291980780661
28,1.276659503000701,True,paired,377,82.0,76.25,consistent,1.2597079621627927
29,1.3236391860009462,True,paired,377,82.0,76.25,consistent,1.2417499674484134
30,1.370788292000725,True,paired,377,82.0,76.25,consistent,1.2446671025827527
31,1.4178729360010038,True,paired,377,82.0,76.25,consistent,1.3977920170873404
32,1.464943562001281,True,paired,377,82.0,76.25,consistent,1.2599589535966516
33,1.5121379080010229,True,paired,377,82.0,76.25,consistent,1.3267080066725612
34,1.5594161040007748,True,paired,377,82.0,76.25,consistent,1.2402080465108156
35,1.609654453000985,True,paired,377,82.0,76.25,consistent,1.227624947205186
36,1.653596854999705,True,paired,377,82.0,76.5,consistent,1.22487498447299
37,1.7000100300010672,True,paired,377,82.0,76.25,consistent,1.2314580380916595
38,1.7472718930002884,True,paired,377,82.0,76.25,consistent,1.3105830876156688
39,1.7960759329998837,True,paired,377,82.0,76.25,consistent,1.2799999676644802
40,1.8433954070005711,True,paired,378,81.75,76.0,consistent,1.335916924290359
41,1.8890537050010607,True,paired,378,82.0,76.0,consistent,1.2403751024976373
42,1.9364318440002535,True,paired,378,82.0,76.0,consistent,1.2113749980926514
43,1.9832991399998718,True,paired,377,82.0,76.5,consistent,1.224749954417348
44,2.0305339860005915,True,paired,377,82.0,76.5,consistent,1.2322079855948687
45,2.077708980001262,True,paired,377,82.25,76.5,consistent,1.4111670898273587
46,2.1244327229996998,True,paired,377,81.75,76.25,consistent,1.3003329513594508
47,2.1712152609998157,True,paired,377,81.75,76.25,consistent,1.1773339938372374
48,2.2182337770009326,True,paired,378,81.75,76.0,consistent,1.1399589711800218
49,2.2654256599998916,True,paired,377,81.25,76.0,consistent,1.244083046913147
50,2.314036148000014,True,paired,377,81.25,76.0,consistent,1.20916694868356
51,2.360378638999464,True,paired,378,81.25,75.75,consistent,1.2740000383928418
52,2.4074120429995673,True,paired,378,81.0,75.75,consistent,1.2740830425173044
53,2.456399190999946,True,paired,379,81.0,75.5,consistent,1.3364589540287852
54,2.501420519000021,True,paired,379,80.75,75.25,consistent,1.2145420769229531
55,2.54976149399954,True,paired,380,80.5,74.75,consistent,1.2308749137446284
56,2.5958091560005414,True,paired,380,80.0,74.75,consistent,1.3151250313967466
57,2.6434987150005327,True,paired,380,79.25,74.5,consistent,1.3998750364407897
58,2.6893316410005355,True,paired,381,80.33333333333333,74.25,consistent,1.395291998051107
59,2.7364616360009677,True,paired,382,79.66666666666667,74.0,consistent,1.3509170385077596
60,2.7835869829996227,True,paired,381,79.33333333333333,74.0,consistent,1.2751249596476555
61,2.830838087000302,True,paired,383,79.0,73.25,consistent,1.3209159951657057
62,2.8779551759998867,True,paired,383,78.83333333333333,73.25,consistent,1.2806669110432267
63,2.925069134000296,True,paired,382,78.25,73.25,consistent,1.4145420864224434
64,2.972573029999694,True,paired,384,79.25,73.0,consistent,1.4535420341417193
65,3.0217633040010696,True,paired,385,79.08333333333333,72.75,consistent,1.585792051628232
66,3.068106943001112,True,paired,385,78.41666666666667,72.5,consistent,1.4308340614661574
67,3.1134982650000893,True,paired,386,78.375,72.0,consistent,1.4295420842245221
68,3.1608134050002263,True,paired,387,78.1875,71.75,consistent,1.4506669249385595
69,3.2077056640009687,True,paired,387,78.25,71.5,consistent,1.5144170029088855
70,3.254951508999511,True,paired,391,78.25,70.25,consistent,1.6120000509545207
71,3.3022317420000036,True,paired,389,77.5,70.75,consistent,1.5096670249477029
72,3.349084835001122,True,paired,389,77.25,70.5,consistent,1.4266660436987877
73,3.3969438359999913,True,paired,391,76.25,69.5,consistent,1.3785000192001462
74,3.4440021099999285,True,paired,391,75.75,69.5,consistent,1.3708749320358038
75,3.49363861799975,True,paired,392,75.0,68.75,consistent,1.436667051166296
76,3.538525744001163,True,paired,393,75.0,68.25,consistent,1.4875830383971334
77,3.585256043001209,True,paired,394,74.25,67.75,consistent,1.3757910346612334
78,3.6317263649998495,True,paired,395,74.0,67.25,consistent,1.2517919531092048
79,3.6809770640011266,True,paired,397,73.75,66.5,consistent,1.226249965839088
80,3.7265662150002754,True,paired,397,73.0,66.25,consistent,1.1639590375125408
81,3.7737948020003387,True,paired,399,72.75,65.5,consistent,1.2529580853879452
82,3.8208376319998933,True,paired,400,71.75,64.75,consistent,1.420999993570149
83,3.867998626001281,True,paired,401,71.5,64.5,consistent,1.4226669445633888
84,3.915291323000929,True,paired,402,71.0,63.75,consistent,1.27166707534343
