frame,elapsed_s,capture_wait_ms,processing_ms,track_status,target_status,offset,steering_pwm,throttle_pwm
1,0.03319135099991399,17.209359999469598,15.461241000593873,selected,direct,0.103125,346,370
2,0.12605970299955516,43.78358200119692,13.84323099955509,selected,direct,0.103125,346,370
3,0.1681143500009057,31.36249300041527,10.610915000142995,selected,direct,0.103125,346,370
4,0.2152472640009364,36.403649999556364,10.66739499947289,selected,direct,0.103125,346,370
5,0.26726852300089377,37.9807150002307,13.976136999190203,selected,direct,0.103125,346,400
6,0.3137829290008085,32.82222799862211,13.610976000563824,selected,direct,0.1,346,400
7,0.36068512400015607,34.37342399956833,12.448551000488806,selected,direct,0.103125,346,400
8,0.4064136920005694,33.25347999998485,12.401496000165935,selected,direct,0.103125,346,400
9,0.45344699599991145,34.56299499885063,12.397829001201899,selected,direct,0.1,346,400
10,0.5003243040009693,34.723824999673525,12.082317000022158,selected,direct,0.096875,346,400
11,0.547466477000853,34.9165070001618,12.152093000622699,selected,direct,0.096875,346,400
12,0.5947246110008564,34.78467599961732,12.402162999933353,selected,direct,0.0875,346,400
13,0.6417674340009398,34.71953000007488,12.25197999883676,selected,direct,0.084375,347,400
14,0.6892442309999751,34.670844999709516,12.733527000818867,selected,direct,0.084375,347,400
15,0.7359776890007197,34.35666499899526,12.305442000069888,selected,direct,0.08125,347,400
16,0.7826976100004686,34.720252000624896,11.928243999136612,selected,direct,0.075,347,400
17,0.8347889970009419,40.00257100051385,12.016501999823959,selected,direct,0.065625,347,400
18,0.8771423430007417,30.264732999057742,12.015188000077615,selected,direct,0.05625,348,400
19,0.9244155880005565,34.92821100007859,12.271313000383088,selected,direct,0.04375,348,400
20,0.9711907860000792,34.8325830000249,11.871283000800759,selected,direct,0.03125,349,400
21,1.0184402169998066,35.09813399978157,12.077315999704297,selected,interpolated,0.0359375,349,400
22,1.065703072999895,35.042505000092206,12.143371001002379,selected,interpolated,0.025,349,400
23,1.113239035999868,7.706407999648945,12.36666299882927,selected,interpolated,0.0078125,350,400
24,1.1603356180003175,34.48927399949753,12.533549999716342,selected,direct,0.0125,350,400
25,1.2046914670008846,33.59115999955975,10.690654000427458,selected,direct,-0.00625,350,400
26,1.2517068279994419,36.35574299914879,10.5972670007759,selected,direct,-0.025,351,400
