frame,elapsed_s,capture_wait_ms,processing_ms,track_status,target_status,offset,steering_pwm,throttle_pwm
1,0.03860132600129873,22.085087999585085,15.935507000904181,selected,direct,0.028125,349,370
2,0.12542231400038872,39.03878100027214,10.01483000072767,selected,direct,0.028125,349,370
3,0.17175099000087357,36.24927399869193,10.013774000981357,selected,direct,0.025,349,370
4,0.22138216600069427,38.05252100028156,11.503359999551321,selected,direct,0.025,349,370
5,0.2686055860012857,35.57765599907725,11.571896000532433,selected,direct,0.028125,349,400
6,0.31552664100127004,35.34128899991629,11.502155999551178,selected,direct,0.028125,349,400
7,0.36274563600090914,35.61117299977923,11.534489000041503,selected,direct,0.025,349,400
8,0.41143419800027914,36.152589998891926,12.465879999581375,selected,direct,0.028125,349,400
9,0.45886348500062013,34.80031699837127,12.547972000902519,selected,direct,0.025,349,400
10,0.5044083780012443,34.08621699963987,11.379714000213426,selected,direct,0.028125,349,400
11,0.5510703270010708,35.12388499984809,11.466175999885309,selected,direct,0.025,349,400
12,0.5983545790004428,35.73046699966653,11.480119999760063,selected,direct,0.025,349,400
13,0.6453366330006247,35.41134299848636,11.497249000967713,selected,direct,0.025,349,400
14,0.6922459110010095,35.38321399901179,11.45428700147022,selected,direct,0.028125,349,400
15,0.7393618149999384,35.550747999877785,11.492063998957747,selected,direct,0.028125,349,400
16,0.7864359600007447,35.4894529991725,11.51104600103281,selected,direct,0.025,349,400
17,0.8334961230011686,35.52950700031943,11.45804599946132,selected,direct,0.025,349,400
18,0.8806274160015164,35.59654399941792,11.461713000244345,selected,direct,0.025,349,400
19,0.9278414840009646,35.647098999106674,11.495712000396452,selected,direct,0.025,349,400
20,0.9749561290009296,35.580191999542876,11.461972000688547,selected,direct,0.025,349,400
21,1.0220225150005717,35.55487800076662,11.438397999882,selected,direct,0.028125,349,400
22,1.0691758620014298,35.65350600001693,11.428547000832623,selected,direct,0.025,349,400
23,1.1153237270009413,8.515170000464423,10.715743999753613,selected,direct,0.028125,349,400
24,1.1622666330003995,36.152757000309066,10.721484000896453,selected,direct,0.025,349,400
25,1.211913679000645,38.18103699995845,11.397935999411857,selected,direct,0.025,349,400
26,1.2575838110005861,34.14227199937159,11.45660099973611,selected,direct,0.028125,349,400
27,1.3058767319998879,35.73433699966699,12.485362000006717,selected,direct,0.025,349,400
28,1.3534469050009648,34.985369000423816,12.506158000178402,selected,direct,0.028125,349,400
29,1.4004819950005185,34.622892999323085,12.332550000792253,selected,direct,0.025,349,400
30,1.446156146001158,34.10914300002332,11.490397000670782,selected,direct,0.028125,349,400
31,1.4931892540007539,35.47387899925525,11.486953000712674,selected,direct,0.025,349,400
32,1.5403032140002324,35.59724699880462,11.44587999988289,selected,direct,0.028125,349,400
33,1.587321378001434,35.45904599923233,11.484249000204727,selected,direct,0.025,349,400
34,1.6345061880001595,35.6388580003113,11.474212999019073,selected,direct,0.028125,349,400
35,1.6816589240006579,35.622245999547886,11.458917000709334,selected,direct,0.028125,349,400
36,1.7287578100003884,35.54832200097735,11.476693998702103,selected,direct,0.028125,349,400
37,1.77591047200076,35.66419100025087,11.41612100036582,selected,direct,0.028125,349,400
38,1.8227356770003098,35.316678000526736,11.438527999416692,selected,direct,0.025,349,400
39,1.8701561490015592,35.797114000160946,11.55122999989544,selected,direct,0.025,349,400
40,1.9171815360004985,35.406139000770054,11.547303998668212,selected,direct,0.025,349,400
41,1.9641777940014435,35.503823000908596,11.419657999795163,selected,direct,0.025,349,400
42,2.0113379190006526,35.54417399936938,11.517971001012484,selected,direct,0.028125,349,400
43,2.0585769310000614,35.73494899865182,11.429565000071307,selected,direct,0.025,349,400
44,2.105557578001026,35.43689800062566,11.473582999315113,selected,direct,0.028125,349,400
45,2.1532681380012946,8.827331999782473,11.596914000620018,selected,direct,0.025,349,400
46,2.2000472510007967,35.31151099923591,11.39662099922134,selected,direct,0.028125,349,400
47,2.244685493000361,34.64763400006632,9.919646001435467,selected,direct,0.028125,349,400
48,2.29188048800097,37.178499000219745,9.953033999408945,selected,direct,0.028125,349,370
49,2.346665725001003,42.13604400138138,12.583859999722335,selected,direct,0.028125,349,370
50,2.3903008720008074,30.982271000539185,12.574712000059662,selected,direct,0.028125,349,370
51,2.43593026400049,34.01316300005419,11.535266999999294,selected,direct,0.025,349,370
52,2.482841005001319,35.26629000043613,11.57367399900977,selected,direct,0.028125,349,370
53,2.5298355220002122,35.36880699903122,11.551415000212728,selected,direct,0.028125,349,370
54,2.577065905001291,35.45458400003554,11.700412000209326,selected,direct,0.028125,349,370
55,2.624275751000823,35.6173950003722,11.520322999786003,selected,direct,0.028125,349,370
56,2.67148269000063,35.60693200051901,11.52819399976579,selected,direct,0.028125,349,370
57,2.718469522000305,35.39749100127665,11.51726799980679,selected,direct,0.028125,349,370
58,2.7656082220000826,35.54715599966585,11.520971000209101,selected,direct,0.028125,349,370
59,2.812856382000973,35.60085800017987,11.574656000448158,selected,direct,0.028125,349,370
60,2.8598574730003747,35.415972999544465,11.51163800022914,selected,direct,0.025,349,370
61,2.907019857000705,35.60869199827721,11.482712001452455,selected,direct,0.025,349,370
62,2.9535634000003483,35.01572000095621,11.457249998784391,selected,direct,0.025,349,370
63,3.0009496700004092,35.865558000296005,11.44898999882571,selected,direct,0.025,349,370
64,3.048021315000369,35.61926499969559,11.381307000192464,selected,direct,0.028125,349,370
65,3.0951040150011977,35.50815699964005,11.497970999698737,selected,direct,0.028125,349,370
66,3.142121106000559,35.475656999551575,11.461989999588695,selected,direct,0.028125,349,370
67,3.1897818890010967,9.086808999200002,11.584339999899385,selected,direct,0.025,349,370
68,3.236529818001145,35.2186050004093,11.456268999609165,selected,direct,0.028125,349,370
69,3.286501747001239,40.04639400045562,9.85351700001047,selected,direct,0.028125,349,370
70,3.32816165100121,31.75779400044121,9.841480999966734,selected,direct,0.025,349,370
71,3.3805895750010677,39.819712001190055,12.52802799899655,selected,direct,0.028125,349,370
72,3.4267260510005144,33.5651150016929,12.490843999330536,selected,direct,0.028125,349,370
73,3.47263173400097,34.393989999443875,11.434158001065953,selected,direct,0.025,349,370
74,3.5193620700010797,35.20125400063989,11.458545999630587,selected,direct,0.028125,349,370
75,3.5666768410010263,35.68094900037977,11.560767001355998,selected,direct,0.028125,349,370
