frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,target_source,near_offset,preview_error,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.05400007699972775,9239972983000,0.044824785,True,29.99534499940637,23.96641800078214,ready,paired,-0.178125,-0.3609375,370,419,False,
2,0.09976087799986999,9240020098000,0.043471474,True,23.071562998666195,22.64562700111128,ready,paired,-0.178125,-0.3609375,370,419,False,
3,0.14680798799963668,9240067214000,0.043401381,True,24.371225001232233,22.63220099848695,ready,paired,-0.178125,-0.3609375,370,419,False,
4,0.19391768999958003,9240114329000,0.043396009,True,24.426482999842847,22.639609000179917,ready,paired,-0.178125,-0.3609375,370,419,False,
5,0.24113853800008656,9240161444000,0.043500506,True,24.513907999789808,22.660495998934493,ready,paired,-0.175,-0.36250000000000004,400,419,False,
6,0.2880779289989732,9240208560000,0.043323711,True,24.355187999390182,22.53872199980833,ready,paired,-0.178125,-0.3609375,400,419,False,
7,0.33511765000002924,9240255675000,0.043249451,True,24.431372001345153,22.56257299995923,ready,paired,-0.175,-0.36250000000000004,400,419,False,
8,0.3851143559986667,9240302790000,0.046124119,True,27.480632001243066,22.46266699876287,ready,paired,-0.178125,-0.3609375,400,419,False,
9,0.4291753349989449,9240349906000,0.043079099,True,21.491092000360368,22.52736999980698,ready,paired,-0.178125,-0.3609375,400,419,False,
10,0.47643386799973086,9240397021000,0.04322152,True,24.702366999918013,22.508684998683748,ready,paired,-0.178125,-0.3609375,400,419,False,
11,0.5234946079999645,9240444137000,0.043167668,True,24.498834000041825,22.51551799963636,ready,paired,-0.178125,-0.3609375,400,419,False,
12,0.5706155319985555,9240491252000,0.043172369,True,24.568370001361473,22.505758999614045,ready,paired,-0.178125,-0.3609375,400,419,False,
13,0.6177024009994057,9240538367000,0.043144683,True,24.520111001038458,22.520832999362028,ready,paired,-0.178125,-0.3609375,400,419,False,
14,0.6648852870002884,9240585483000,0.043211495,True,24.553536000894383,22.583035999559797,ready,paired,-0.178125,-0.3609375,400,419,False,
15,0.7119396749985754,9240632598000,0.043151883,True,24.43937200041546,22.570739000002504,ready,paired,-0.178125,-0.3609375,400,419,False,
16,0.7590894879995176,9240679714000,0.043184196,True,24.647831000038423,22.45614899948123,ready,paired,-0.175,-0.36250000000000004,400,419,False,
17,0.8061783749999449,9240726829000,0.043159806,True,24.52851799898781,22.514518001116812,ready,paired,-0.175,-0.36250000000000004,400,419,False,
18,0.8560866379993968,9240773944000,0.045952772,True,27.445132000138983,22.418131000449648,ready,paired,-0.178125,-0.3609375,400,419,False,
19,0.9004427229992871,9240821060000,0.043192616,True,21.811049000461935,22.499647999211447,ready,paired,-0.175,-0.36250000000000004,400,419,False,
20,0.9474645939990296,9240868175000,0.043099783,True,24.66270199874998,22.31333600138896,ready,paired,-0.175,-0.36250000000000004,400,419,False,
21,0.995182691998707,9240915291000,0.043701345,True,24.80371799902059,22.868567000841722,ready,paired,-0.178125,-0.3609375,400,419,False,
22,1.0419109750000644,9240962407000,0.043312035,True,24.10593400054495,22.57499799998186,ready,paired,-0.178125,-0.3609375,400,419,False,
23,1.0889103459994658,9241009522000,0.043197647,True,24.416057998678298,22.53603600001952,ready,paired,-0.178125,-0.3609375,400,419,False,
24,1.1362252669987356,9241056638000,0.043395345,True,24.650626999573433,22.617294000156107,ready,paired,-0.178125,-0.3609375,400,419,False,
25,1.1832597659995372,9241103753000,0.043316826,True,24.432408999928157,22.557498999958625,ready,paired,-0.175,-0.35781250000000003,400,419,False,
26,1.2302425629986828,9241150868000,0.043184123,True,24.388224999711383,22.547350999957416,ready,paired,-0.175,-0.36250000000000004,400,419,False,
27,1.2775398359990504,9241197984000,0.043365377,True,24.65242400103307,22.59840499937127,ready,paired,-0.175,-0.36250000000000004,400,419,False,
28,1.324542558999383,9241245099000,0.043252896,True,24.392520999754197,22.56429500084778,ready,paired,-0.175,-0.36250000000000004,400,419,False,
29,1.3719968469995365,9241292215000,0.043590203,True,24.805123999612988,22.60027599913883,ready,paired,-0.178125,-0.3609375,400,419,False,
30,1.4189866999986407,9241339330000,0.043466056,True,24.443001000690856,22.50103699952888,ready,paired,-0.178125,-0.3609375,400,419,False,
31,1.4658672949990432,9241386445000,0.043231614,True,24.32204100114177,22.512906998599647,ready,paired,-0.178125,-0.3609375,400,419,False,
32,1.5130465879992698,9241433561000,0.043295167,True,24.58955400106788,22.543592000147328,ready,paired,-0.178125,-0.3609375,400,419,False,
33,1.560316936000163,9241480676000,0.043451403,True,24.635054000100354,22.591127999476157,ready,paired,-0.178125,-0.3609375,400,419,False,
34,1.6072017719998257,9241527792000,0.043218702,True,24.36379899882013,22.475203999420046,ready,paired,-0.178125,-0.3609375,400,419,False,
35,1.6670935570000438,9241574907000,0.055988635,True,26.39959599946451,33.43611700074689,ready,paired,-0.178125,-0.3609375,400,419,False,
36,1.7142997390001256,9241622024000,0.056076725,True,13.658438001584727,33.48718999950506,ready,paired,-0.178125,-0.3609375,400,419,False,
37,1.7502525689997128,9241669138000,0.044923499,True,13.341572999706841,22.558018001291202,ready,paired,-0.178125,-0.3609375,400,419,False,
38,1.7959555559991713,9241716253000,0.043511709,True,23.087081000994658,22.56929499890248,ready,paired,-0.178125,-0.3609375,400,419,False,
39,1.8427286899986939,9241763368000,0.043170195,True,24.270264000733732,22.458278999692993,ready,paired,-0.175,-0.36250000000000004,400,419,False,
40,1.8900302040001407,9241810484000,0.043355134,True,24.66364600149973,22.59060899996257,ready,paired,-0.178125,-0.3609375,400,419,False,
41,1.9374381779998657,9241857599000,0.043648886,True,24.830606000250555,22.53201799976523,ready,paired,-0.175,-0.36250000000000004,400,419,False,
42,1.9845838239998557,9241904715000,0.04367794,True,24.13085999978648,22.967953998886514,ready,paired,-0.175,-0.36250000000000004,400,419,False,
43,2.03132732999984,9241951830000,0.043306908,True,24.175951000870555,22.520443999383133,ready,paired,-0.175,-0.36250000000000004,400,419,False,
44,2.0784329580001213,9241998945000,0.043296962,True,24.52307400017162,22.536572998433257,ready,paired,-0.178125,-0.3609375,400,419,False,
45,2.1255052529995737,9242046061000,0.043253517,True,24.516610999853583,22.50940699923376,ready,paired,-0.178125,-0.3609375,400,419,False,
46,2.17349162499886,9242093176000,0.04412437,True,25.389391999851796,22.548888000528677,ready,paired,-0.178125,-0.3609375,400,419,False,
47,2.2198120259999996,9242140291000,0.043330494,True,23.763606001011794,22.511647999635898,ready,paired,-0.178125,-0.3609375,400,419,False,
48,2.2667993049999495,9242187406000,0.043203402,True,24.447612999210833,22.494869999718503,ready,paired,-0.178125,-0.3609375,370,365,False,time_limit
