frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,near_offset,preview_error,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.051658997000231466,8110143765000,0.043667113,True,28.134830000453803,19.04605499930767,ready,0.0125,-0.09531250000000001,370,379,True,
2,0.10226169700035825,8110190881000,0.047581491,True,29.644805999851087,16.88294300038251,ready,0.0125,-0.09531250000000001,370,379,True,
3,0.1346958080002878,8110237997000,0.032890547,True,17.9841099998157,10.379439000644197,ready,0.0125,-0.09062500000000002,370,379,True,
4,0.18163119800010463,8110285111000,0.032706029,True,32.608089999484946,10.252386000502156,ready,0.0125,-0.09531250000000001,370,379,True,
5,0.23232030300005135,8110332226000,0.036049009,True,33.6343510007282,12.745380999149347,ready,0.0125,-0.09531250000000001,400,379,True,
6,0.27929878499980987,8110379342000,0.035907398,True,29.999669999597245,12.66399399992224,ready,0.0125,-0.09531250000000001,400,379,True,
7,0.3268213310002466,8110426459000,0.036367851,True,31.876473000011174,11.385310999685316,ready,0.0125,-0.09531250000000001,400,379,True,
8,0.3717678840002918,8110473575000,0.034184774,True,29.384087999460462,11.288757000329497,ready,0.0125,-0.09531250000000001,400,379,True,
9,0.42032570999981544,8110520690000,0.035596619,True,31.599531999745523,12.630180000087421,ready,0.0125,-0.09531250000000001,400,379,True,
10,0.46773794300042937,8110567804000,0.03589563,True,30.456809999122925,12.650143000428216,ready,0.0125,-0.09531250000000001,400,379,True,
11,0.5141341939997801,8110614919000,0.03523101,True,30.125057000077504,12.01863499954925,ready,0.0125,-0.10000000000000002,400,380,True,
12,0.5598567890001505,8110662036000,0.033832253,True,30.45212500001071,11.016503000064404,ready,0.0125,-0.10000000000000002,400,380,True,
13,0.6068301969999084,8110709152000,0.033644865,True,31.777713999872503,10.89772700015601,ready,0.009375,-0.10312500000000002,400,380,True,
14,0.6544538340003783,8110756268000,0.034197965,True,31.90861999974004,11.45918000020174,ready,0.0125,-0.10468750000000003,400,381,True,
15,0.7026047780000226,8110803382000,0.035249464,True,32.92986300039047,10.983391999616288,ready,0.0125,-0.10468750000000003,400,381,True,
16,0.7502856179999071,8110850497000,0.035750731,True,30.889081999703194,12.490274000811041,ready,0.009375,-0.10312500000000002,400,380,True,
17,0.7976393159997315,8110897614000,0.035973596,True,30.41779300019698,12.614754000424,ready,0.009375,-0.10312500000000002,400,380,True,
18,0.8430223060004209,8110944728000,0.034307566,True,29.603029000099923,11.524790999828838,ready,0.009375,-0.10781250000000003,400,381,True,
19,0.8898511600000347,8110991845000,0.033998772,True,31.337147999693116,11.219555000025139,ready,0.0109375,-0.11796875000000002,400,383,True,
20,0.9392488610001237,8111038960000,0.036261381,True,32.09654300007969,13.007266000386153,ready,0.003125,-0.11406250000000002,400,382,True,
21,0.986247824000202,8111086074000,0.0361294,True,29.885912000281678,12.801622000552015,ready,0.003125,-0.11406250000000002,400,382,True,
22,1.0339357940001719,8111133192000,0.036769924,True,31.044485999700555,12.403035000716045,ready,-0.0015625,-0.11640625000000002,400,382,True,
23,1.079056749999836,8111180307000,0.034761974,True,28.924168999765243,11.941394999666954,ready,-0.0046875,-0.11484375000000002,400,382,True,
24,1.1272929149999982,8111227422000,0.035886323,True,31.11881800032279,12.86712000000989,ready,0.015625,-0.12968750000000004,400,384,True,
25,1.1740019200005918,8111274536000,0.035478865,True,29.874097999709193,12.583198999891465,ready,0.015625,-0.12968750000000004,400,384,True,
26,1.221533595999972,8111321653000,0.035892171,True,30.498995000016293,12.776991999999154,ready,0.0125,-0.13281250000000003,400,385,True,
27,1.2677579789997253,8111368769000,0.035005258,True,30.041966000680986,11.934616999496939,ready,0.009375,-0.13593750000000002,400,385,True,
28,1.3159727180000118,8111415882000,0.036047146,True,32.05256199998985,11.837953000394918,ready,0.009375,-0.13593750000000002,400,385,True,
29,1.3618992170004276,8111462998000,0.03489994,True,29.67584199996054,11.9812639995871,ready,0.009375,-0.13593750000000002,400,385,True,
30,1.40905280700008,8111510115000,0.034941178,True,31.202465000205848,11.689325000588724,ready,0.0125,-0.14687500000000003,400,387,True,
31,1.4584344340000825,8111557229000,0.037169528,True,31.445664999409928,13.633033000587602,ready,0.009375,-0.15000000000000005,400,388,True,
32,1.5060525529997904,8111604345000,0.037693147,True,29.454974999680417,13.879844000257435,ready,0.003125,-0.14687500000000006,400,387,True,
33,1.5510600490006254,8111651461000,0.035621939,True,28.281234999667504,12.483127000450622,ready,0.00625,-0.15312500000000004,400,388,True,
34,1.5979272360000323,8111698576000,0.0353647,True,30.526994999490853,12.087651000001642,ready,0.0015625,-0.14609375000000005,400,387,True,
35,1.6455283929999496,8111745693000,0.035847079,True,30.60953000021982,12.736011000015424,ready,-0.003125,-0.14375000000000004,400,387,True,
36,1.6933338240005469,8111792809000,0.036521973,True,30.380904999219638,13.157078000403999,ready,0.00625,-0.16250000000000003,400,389,True,
37,1.7396777599997222,8111839922000,0.035772113,True,29.353588000049058,12.742307999360492,ready,0.00625,-0.15312500000000004,400,388,True,
38,1.786475523000263,8111887038000,0.035449746,True,30.10974199969496,12.434109000423632,ready,0.003125,-0.15156250000000007,400,388,True,
39,1.8340459950004515,8111934155000,0.035906347,True,30.450236999968183,12.87158300056035,ready,0.003125,-0.15156250000000007,400,388,True,
40,1.8800009380001939,8111981270000,0.034710661,True,30.106760999842663,11.563271999875724,ready,0.00625,-0.15312500000000004,400,388,True,
41,1.9295266549997905,8112028384000,0.037167378,True,32.938305999778095,12.345000000095752,ready,0.00625,-0.15312500000000004,400,388,True,
42,1.9746310380005525,8112075500000,0.035153057,True,28.90118900086236,11.960560999796144,ready,0.003125,-0.14687500000000006,400,387,True,
43,2.020953363999979,8112122615000,0.034348939,True,30.65015999982279,11.4189220003027,ready,0.0109375,-0.15078125000000006,400,388,True,
44,2.0713579000002937,8112169732000,0.037606716,True,32.39625999958662,13.7218469999425,ready,0.0078125,-0.14921875000000004,400,387,True,
45,2.117847723000523,8112216847000,0.036954207,True,28.73576599995431,13.441592000162927,ready,0.008333333333333392,-0.14010416666666672,400,386,True,
