frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,near_offset,preview_error,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.030896025000402005,5180038307000,0.046576738,True,4.421517000082531,22.008899999491405,ready,-0.078125,-0.1859375,370,393,True,
2,0.07597532500039961,5180085422000,0.044947901,True,21.402577000117162,19.59621900005004,ready,-0.078125,-0.18125000000000002,370,392,True,
3,0.11256734500057064,5180132536000,0.034397366,True,20.6155719997696,11.87872199989215,ready,-0.075,-0.18281250000000004,370,392,True,
4,0.15926167300040106,5180179653000,0.034007897,True,30.82732299935742,11.805038000602508,ready,-0.071875,-0.1796875,370,392,True,
5,0.20859375200052455,5180226768000,0.036018313,True,31.910693000099855,13.150273999599449,ready,-0.071875,-0.18437500000000004,400,393,True,
6,0.2555693900003462,5180273885000,0.035888988,True,29.634825000357523,13.081293999675836,ready,-0.071875,-0.18437500000000004,400,393,True,
7,0.3026225630001136,5180320998000,0.035816754,True,29.80580299936264,12.976166000044032,ready,-0.071875,-0.18437500000000004,400,393,True,
8,0.3494917030002398,5180368116000,0.035559523,True,29.8530430000028,12.73396699980367,ready,-0.075,-0.18281250000000004,400,392,True,
9,0.3967472430003909,5180415229000,0.035734471,True,30.134908000036376,12.871556999925815,ready,-0.06875,-0.18593750000000003,400,393,True,
10,0.44305902199994307,5180462345000,0.034943361,True,29.850561999410274,12.225641999975778,ready,-0.075,-0.1875,400,393,True,
11,0.49117610400026024,5180509460000,0.035926091,True,30.66534300069179,13.194032999308547,ready,-0.071875,-0.18906250000000002,400,393,True,
12,0.5377664890002052,5180556577000,0.035375717,True,29.7075649996259,12.607190999915474,ready,-0.071875,-0.18906250000000002,400,393,True,
13,0.584178267000425,5180603691000,0.034692439,True,30.21146300034161,11.940481000237924,ready,-0.071875,-0.18437500000000004,400,393,True,
14,0.6311510530003943,5180650808000,0.034537577,True,30.895877000148175,11.802908999925421,ready,-0.071875,-0.18437500000000004,400,393,True,
15,0.6784109270001863,5180697924000,0.034683525,True,31.22603799965873,11.765797999942151,ready,-0.071875,-0.18437500000000004,400,393,True,
16,0.7253028630002518,5180745039000,0.034477665,True,30.901413999345095,11.73263200053043,ready,-0.06875,-0.18593750000000003,400,393,True,
17,0.7726011810000273,5180792154000,0.034662686,True,31.300593000196386,11.744908999389736,ready,-0.071875,-0.18437500000000004,400,393,True,
18,0.8221354050001537,5180839269000,0.037019541,True,31.76306599925738,13.456954000503174,ready,-0.06875,-0.18593750000000003,400,393,True,
19,0.8683541489999698,5180886384000,0.036127822,True,29.14048099955835,12.767854999765405,ready,-0.071875,-0.18437500000000004,400,393,True,
20,0.9147005760005413,5180933500000,0.035410803,True,30.773601000873896,11.313083999993978,ready,-0.071875,-0.1796875,400,392,True,
21,0.9618808400000489,5180980616000,0.035478679,True,30.67402899978333,12.254012000084913,ready,-0.0625,-0.18906250000000002,400,393,True,
22,1.0082055080001737,5181027730000,0.034691569,True,30.355478999808838,11.720040000000154,ready,-0.065625,-0.1921875,400,394,True,
23,1.0557742099999814,5181074846000,0.035139049,True,31.054560000484344,12.257548999514256,ready,-0.0671875,-0.18671875000000004,400,393,True,
24,1.102338280999902,5181121963000,0.034594916,True,30.707547000019986,11.610837999796786,ready,-0.06875,-0.16249999999999992,400,389,True,
25,1.1488152990004892,5181169078000,0.033966489,True,31.09135500017146,11.14986399988993,ready,-0.06875,-0.16249999999999992,400,389,True,
26,1.1970101200004137,5181216194000,0.035044365,True,31.753010000102222,12.201827999888337,ready,-0.05,-0.1812499999999999,400,392,True,
27,1.2437475770002493,5181263308000,0.034648989,True,30.662047999612696,11.81794500007527,ready,-0.05625,-0.1687499999999999,400,390,True,
28,1.2902955190002103,5181310424000,0.034085468,True,31.07805899981031,11.21738199981337,ready,-0.05625,-0.1687499999999999,400,390,True,
29,1.3382098070005668,5181357540000,0.03488772,True,31.76269499999762,11.900369999239047,ready,-0.05625,-0.19218750000000004,400,394,True,
30,1.3851337430005515,5181404656000,0.034686785,True,31.095559000277717,11.571709000236297,ready,-0.05,-0.19531250000000006,400,394,True,
31,1.4329133119999824,5181451772000,0.035304299,True,31.51731099933386,11.957165000239911,ready,-0.046875,-0.20625000000000004,400,396,True,
32,1.4794894010001371,5181498887000,0.034763574,True,30.926857999475033,11.339306000081706,ready,-0.053125,-0.21250000000000002,400,397,True,
33,1.5269145140000546,5181546003000,0.035122445,True,31.988118000299437,11.180770999999368,ready,-0.053125,-0.19843750000000002,400,395,True,
