frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,near_offset,preview_error,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.059472486999993635,2015470238000,0.039046783,True,39.85220499998832,15.244743000039307,ready,-0.003125,-0.021875000000000006,370,354,True,
2,0.10433198400005494,2015517355000,0.036866613,True,28.055339999809803,12.48563700005434,ready,-0.003125,-0.021875000000000006,370,354,True,
3,0.15091635499993572,2015564469000,0.036323244,True,30.46202399991671,11.794273000077737,ready,-0.003125,-0.026562500000000006,370,355,True,
4,0.1966882889998942,2015611585000,0.03502827,True,29.849715000182186,11.643587999969895,ready,-0.003125,-0.021875000000000006,370,354,True,
5,0.24225533599997107,2015658701000,0.033512834,True,30.82646500001829,10.495579999997062,ready,-0.003125,-0.026562500000000006,400,355,True,
6,0.28905424200002017,2015705818000,0.033174464,True,32.16819600015697,10.367190999886589,ready,-0.003125,-0.026562500000000006,400,355,True,
7,0.33804005699994377,2015752934000,0.034985464,True,33.10287299996162,11.559291999901689,ready,-0.003125,-0.026562500000000006,400,355,True,
8,0.3850211839999247,2015800050000,0.034855054,True,31.212720999974408,11.446515999978146,ready,-0.003125,-0.03125000000000001,400,356,True,
9,0.43476560399994924,2015847167000,0.037505918,True,33.94230999992942,11.50401600011719,ready,-0.003125,-0.03593750000000001,400,356,True,
10,0.4792493079999076,2015894280000,0.034880677,True,28.628613000137193,11.560144999975819,ready,-0.009375,-0.03750000000000001,400,357,True,
11,0.5260476030000518,2015941398000,0.034574102,True,32.10693599999104,10.407968999970763,ready,-0.0125,-0.04062500000000001,400,357,True,
12,0.5717636300000777,2015988514000,0.033196629,True,31.076351999899998,10.382303000142201,ready,-0.01875,-0.037500000000000006,400,357,True,
13,0.6200353579999955,2016035629000,0.034305987,True,32.496470000069166,11.469867999949201,ready,-0.01875,-0.037500000000000006,400,357,True,
14,0.6686040459999276,2016082746000,0.035754527,True,32.02408500010279,12.231825000071694,ready,-0.021875,-0.035937500000000004,400,356,True,
15,0.7147804030000771,2016129862000,0.03486068,True,30.265358999940872,11.64816300001803,ready,-0.025,-0.03906250000000001,400,357,True,
16,0.7611151839998911,2016176977000,0.03408959,True,31.589681000014025,10.492524000028425,ready,-0.03125,-0.040625,400,357,True,
17,0.807540759999938,2016224092000,0.033400926,True,31.530329999895912,10.641725999903429,ready,-0.034375,-0.048437499999999994,400,359,True,
