frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,near_offset,preview_error,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.025756184999863763,1169508040000,0.042707626,True,3.8863459999447514,17.39309399999911,ready,-0.0125,-0.0171875,370,351,True,
2,0.07298961499986945,1169555152000,0.042993697,True,31.388600000127553,11.511856999959491,ready,-0.0125,-0.0171875,370,351,True,
3,0.1126788999999917,1169602264000,0.035551224,True,23.88026800008447,11.464061999959085,ready,-0.0125,-0.0171875,370,351,True,
4,0.15939020599989817,1169649379000,0.03534615,True,30.84845800003677,11.718810000047597,ready,-0.0125,-0.021875000000000002,370,352,True,
5,0.20272156900000482,1169696493000,0.03165488,True,29.97031099994274,9.312455000099362,ready,-0.0125,-0.021875000000000002,400,352,True,
6,0.2496776420000515,1169743609000,0.031475008,True,33.778790000042136,9.10861199986357,ready,-0.0125,-0.0171875,400,351,True,
7,0.3004618019999725,1169790722000,0.034912846,True,34.84237199995732,11.638925000170275,ready,-0.0125,-0.0171875,400,351,True,
8,0.34751151899990873,1169837836000,0.034842563,True,31.250514000021212,11.484803000030297,ready,-0.0125,-0.021875000000000002,400,352,True,
9,0.3944030010000006,1169884952000,0.034642933,True,31.248124999819993,11.356160000104865,ready,-0.015625,-0.0203125,400,352,True,
10,0.44160421099991254,1169932066000,0.034715477,True,31.60697899988918,11.290200000075856,ready,-0.01875,-0.028125000000000004,400,352,True,
11,0.48877716199990573,1169979181000,0.03476841,True,31.39297000006991,11.467988000049445,ready,-0.021875,-0.03125,400,352,True,
12,0.5402876979999292,1170026293000,0.039178723,True,35.721037000030265,11.491819999946529,ready,-0.03125,-0.0265625,400,352,True,
13,0.5829643689999102,1170073407000,0.034750152,True,26.997943999958807,11.39051100017241,ready,-0.034375,-0.0390625,400,353,True,
14,0.6312754359998962,1170120523000,0.035938572,True,31.41689500012035,12.59734599989315,ready,-0.04375,-0.0390625,400,353,True,
15,0.6774820969999382,1170167635000,0.035027141,True,30.72664799992708,11.178944999983287,ready,-0.0296875,-0.04609375,400,354,True,
16,0.7225870109998596,1170214751000,0.033055553,True,30.62874500005819,10.216043999889735,ready,-0.0375,-0.060937500000000006,400,355,True,
17,0.769802701999879,1170261865000,0.033169243,True,32.762280000042665,10.203119000152583,ready,-0.0515625,-0.06328125,400,355,True,
18,0.8171519600000465,1170308979000,0.033390891,True,32.536085999936404,10.552843999903416,ready,-0.05625,-0.0796875,400,356,True,
19,0.863731474999895,1170356093000,0.032869479,True,32.35913100002108,9.972277999850121,ready,-0.065625,-0.084375,400,357,True,
20,0.9114207180000449,1170403208000,0.03344913,True,32.65619199987668,10.788686000068992,ready,-0.059375,-0.10624999999999996,400,358,True,
21,0.958239537000054,1170450321000,0.033135635,True,32.36500000002707,10.192416000109006,ready,-0.071875,-0.109375,400,359,True,
22,1.0113977979999618,1170497434000,0.039150174,True,37.7401689997896,11.124839000103748,ready,-0.084375,-0.13124999999999998,400,360,True,
23,1.054999989999942,1170544549000,0.035649995,True,27.007594999986395,12.309730999959356,ready,-0.096875,-0.10625,400,358,True,
24,1.0996939100000418,1170591663000,0.033266951,True,29.989296999929138,10.461330999987695,ready,-0.109375,-0.109375,400,359,True,
25,1.1474633240000003,1170638778000,0.033914475,True,33.67131799996059,9.849636000126338,ready,-0.11875,-0.1234375,400,360,True,
26,1.1949946729998828,1170685893000,0.034285272,True,32.31308199997329,10.920532999989518,ready,-0.13125,-0.13125,400,360,True,
27,1.2431949009999244,1170733008000,0.035370055,True,32.55059000002802,11.350921000030212,ready,-0.14375,-0.12968749999999998,400,360,True,
28,1.2891515619999154,1170780122000,0.034191883,True,30.724837999969168,10.91360700002042,ready,-0.14375,-0.153125,400,362,True,
29,1.3363903689999006,1170827236000,0.034332708,True,31.997503999946275,10.936642999922697,ready,-0.1640625,-0.16640625,400,363,True,
30,1.3830344440000317,1170874349000,0.033919577,True,31.9050820000939,10.491477999948984,ready,-0.159375,-0.196875,400,366,True,
31,1.4294118999998773,1170921463000,0.033177682,True,31.762458999992305,10.365502000013294,ready,-0.178125,-0.19687500000000002,400,366,True,
32,1.4789884369999982,1170968579000,0.035662255,True,34.44144999980381,10.907423000162453,ready,-0.190625,-0.17656249999999998,400,364,True,
33,1.5239672519999203,1171015690000,0.0335212,True,30.27100600002086,10.473423000121329,ready,-0.20625,-0.19218749999999998,400,365,True,
34,1.5700430929998674,1171062804000,0.032459634,True,32.31080499995187,9.5059840000431,ready,-0.221875,-0.1984375,400,366,True,
35,1.6194475259999308,1171109919000,0.03472068,True,33.827717999884044,11.288795000155005,ready,-0.23125,-0.1984375,400,366,True,
36,1.6661871700000574,1171157035000,0.034308863,True,31.710923999980878,10.705486999995628,ready,-0.2296875,-0.21796875,400,367,True,
37,1.7123259709999274,1171204149000,0.03336431,True,31.852065000066432,9.992759999931877,ready,-0.246875,-0.209375,400,367,True,
