frame,elapsed_s,sensor_timestamp,exposure_time,analogue_gain
1,0.048975685000186786,10291928309000,29968,2.5
2,0.09511148600176966,10291975423000,29968,2.5
3,0.14178211300168186,10292022541000,29968,2.5
4,0.19100157200045942,10292069657000,29968,2.5
5,0.23665564000111772,10292116773000,29968,2.5
6,0.2838678890002484,10292163889000,29968,2.5
7,0.3304123690013512,10292211003000,29968,2.5
8,0.3774250100013887,10292258117000,29968,2.5
9,0.42442005800148763,10292305234000,29968,2.5
10,0.47180252600082895,10292352350000,29968,2.5
11,0.5195602470012091,10292399465000,29968,2.5
12,0.5664777220008546,10292446583000,29968,2.5
13,0.6138501720015483,10292493697000,29968,2.5
14,0.6608466090001457,10292540814000,29968,2.5
15,0.7078729150016443,10292587929000,29968,2.5
16,0.754360897000879,10292635043000,29968,2.5
17,0.8013293890016939,10292682157000,29968,2.5
18,0.8492115720000584,10292729274000,29968,2.5
19,0.8964230610017694,10292776391000,29968,2.5
20,0.9435476620001282,10292823506000,29968,2.5
21,0.9904678220009373,10292870622000,29968,2.5
22,1.03779910600133,10292917737000,29968,2.5
23,1.084793432000879,10292964851000,29968,2.5
24,1.1321846030004963,10293011970000,29968,2.5
25,1.1789402660015185,10293059082000,29968,2.5625
26,1.2255324120014848,10293106199000,29968,2.5625
27,1.2731795980016614,10293153311000,29968,2.5625
28,1.3204959000013332,10293200429000,29968,2.5625
29,1.3673896900018008,10293247543000,29968,2.5625
30,1.4145870500015008,10293294661000,29968,2.5625
31,1.4616614850001497,10293341778000,29968,2.5625
32,1.5086848290011403,10293388893000,29968,2.5625
33,1.5561593510010425,10293436006000,29968,2.5625
34,1.6030052530004468,10293483124000,29968,2.5625
35,1.6502801110000291,10293530240000,29968,2.5625
36,1.6967315930014593,10293577354000,29968,2.5625
37,1.7442099670006428,10293624470000,29968,2.5625
38,1.794656425001449,10293671585000,29968,2.5625
39,1.8387029810000968,10293718700000,29968,2.5625
40,1.8857670270008384,10293765817000,29968,2.5625
41,1.9331652170003508,10293812933000,29968,2.5625
42,1.980025155000476,10293860050000,29968,2.5625
43,2.026524025000981,10293907163000,29968,2.5625
44,2.0736723670015635,10293954280000,29968,2.5625
45,2.1209681140007888,10294001393000,29968,2.5625
46,2.167850885000007,10294048511000,29968,2.5625
47,2.215662365000753,10294095625000,29968,2.5625
48,2.2626258390009752,10294142741000,29968,2.5625
49,2.310603872001593,10294189857000,29968,2.625
50,2.357042410001668,10294236970000,29968,2.625
51,2.404050864000965,10294284086000,29968,2.625
52,2.4507141210015106,10294331202000,29968,2.625
53,2.4978545920002944,10294378319000,29968,2.6875
54,2.545581795000544,10294425433000,29968,2.6875
55,2.592725174001316,10294472550000,29968,2.6875
56,2.640206511001452,10294519667000,29968,2.6875
57,2.686126537000746,10294566781000,29968,2.6875
58,2.7341722170003777,10294613896000,29968,2.6875
59,2.7803469440004847,10294661009000,29968,2.6875
60,2.82740593500057,10294708127000,29968,2.6875
61,2.875032343001294,10294755243000,29968,2.6875
62,2.9221162970006844,10294802358000,29968,2.6875
63,2.969444801999998,10294849474000,29968,2.6875
64,3.0166225690009014,10294896590000,29968,2.6875
65,3.064745618001325,10294943703000,29968,2.75
66,3.110207948000607,10294990820000,29968,2.75
67,3.157273309001539,10295037936000,29968,2.75
68,3.205016104000606,10295085051000,29968,2.75
69,3.2523308510008064,10295132165000,29968,2.75
70,3.2989234780015977,10295179283000,29968,2.8125
71,3.3456747330001235,10295226399000,29968,2.8125
72,3.39344293600152,10295273514000,29968,2.8125
73,3.4408640140009084,10295320631000,29968,2.8125
74,3.4880967240005702,10295367746000,29968,2.8125
75,3.535114827000143,10295414860000,29968,2.8125
76,3.5823455750014546,10295461976000,29968,2.8125
77,3.6289535720006825,10295509091000,29968,2.8125
78,3.67594030500004,10295556206000,29968,2.8125
