frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,target_source,near_extrapolation,near_uncertainty_px,near_offset,preview_error,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.10102687099970353,12181721072000,0.080541724,True,40.19861800043145,56.35895699924731,ready,paired,,,-0.1234375,-0.2757812500000001,370,406,True,
2,0.1692105169986462,12181815303000,0.056231193,True,33.25577200121188,32.15982799883932,ready,paired,,,-0.1234375,-0.2757812500000001,370,406,True,
3,0.20515076300034707,12181862417000,0.045047846,True,8.98836700071115,24.200185000154306,ready,paired,,,-0.1234375,-0.28046875000000004,370,407,True,
4,0.25323078600013105,12181909532000,0.046034165,True,19.880591000401182,25.465644999712822,ready,paired,,,-0.125,-0.27968750000000003,370,407,True,
5,0.3001399209988449,12181956647000,0.04581754,True,19.080308000411605,25.085965999096516,ready,paired,,,-0.1229166666666666,-0.27604166666666674,400,406,True,
6,0.34765489699930185,12182003762000,0.046180647,True,19.554706999770133,25.17813099984778,ready,paired,,,-0.12395833333333321,-0.2708333333333334,400,406,True,
7,0.3944524599992292,12182050877000,0.045920839,True,18.823516000338714,25.249074000385008,ready,paired,,,-0.121875,-0.27187500000000003,400,406,True,
8,0.44328309899901797,12182097993000,0.047616682,True,19.895330999133876,26.194261999989976,ready,paired,,,-0.121875,-0.27187500000000003,400,406,True,
9,0.48981742599971767,12182145109000,0.047050545,True,17.507907999970485,26.300371000615996,ready,paired,,,-0.1197916666666666,-0.2729166666666667,400,406,True,
10,0.5366980609996972,12182192225000,0.046808014,True,17.945623001651256,26.198150999334757,ready,paired,,,-0.1197916666666666,-0.26822916666666674,400,405,True,
11,0.5837851010001032,12182239339000,0.046781165,True,18.369949000771157,25.982172999647446,ready,paired,,,-0.115625,-0.27031250000000007,400,406,True,
12,0.6307154200003424,12182286455000,0.046595985,True,18.206544998975005,25.987803001044085,ready,paired,,,-0.11770833333333322,-0.26927083333333346,400,405,True,
13,0.6778880879992357,12182333571000,0.046651634,True,18.39659699908225,26.039505000881036,ready,paired,,,-0.11875,-0.26875000000000004,400,405,True,
14,0.7251354210002319,12182380686000,0.046780726,True,18.500891999792657,26.007320999269723,ready,paired,,,-0.115625,-0.26562500000000006,400,405,True,
15,0.773152370000389,12182427802000,0.047688268,True,18.237969999972847,27.046674000303028,ready,paired,,,-0.11666666666666661,-0.25572916666666673,400,403,True,
16,0.8196056429987948,12182474917000,0.047031114,True,17.410540000128094,26.314556000215816,ready,paired,,,-0.11770833333333339,-0.2520833333333331,400,403,True,
17,0.8657174759991904,12182522034000,0.046021003,True,18.096490999596426,25.282628999775625,ready,paired,,,-0.11640625,-0.2546874999999999,400,403,True,
18,0.9140816050003195,12182569148000,0.047285243,True,19.43524600028468,26.20774299975892,ready,paired,,,-0.115625,-0.25624999999999987,400,403,True,
19,0.961232587998893,12182616264000,0.047308856,True,17.995214999245945,26.425535999806016,ready,paired,,,-0.11640625,-0.2546874999999999,400,403,True,
20,1.008651991998704,12182663379000,0.047610278,True,17.83101399996667,26.85462100089353,ready,paired,,,-0.115625,-0.25624999999999987,400,403,True,
21,1.0558991769994464,12182710495000,0.047741296,True,17.62814699941373,26.88691699950141,ready,paired,,,-0.109375,-0.2687499999999999,400,405,True,
22,1.1023859849992732,12182757611000,0.047118179,True,17.374559000018053,26.38568400107033,ready,paired,,,-0.109375,-0.25937499999999986,400,404,True,
23,1.1488985899995896,12182804726000,0.046500191,True,18.06028799910564,25.71062199967855,ready,paired,,,-0.10625,-0.24687499999999996,400,402,True,
24,1.195924166999248,12182851841000,0.046428528,True,18.640704000063124,25.658788999862736,ready,paired,,,-0.103125,-0.26249999999999984,400,404,True,
25,1.2433594789999916,12182898956000,0.046732099,True,18.625630998940323,26.0654860012437,ready,paired,,,-0.103125,-0.2718750000000001,400,406,True,
26,1.2912501339997107,12182946073000,0.047492087,True,18.395560000499245,26.738197999293334,ready,paired,,,-0.10625,-0.26093750000000004,400,404,True,
27,1.3381097330002376,12182993188000,0.047268426,True,18.512538999857497,25.624050000260468,ready,paired,,,-0.10625,-0.25625000000000003,400,403,True,
28,1.3833509699998103,12183040303000,0.045382293,True,17.995678001170745,24.510567998731858,ready,paired,,,-0.10625,-0.24687500000000007,400,402,True,
29,1.430806484999266,12183087418000,0.04572453,True,20.122087000345346,24.597992000053637,ready,paired,,,-0.10625,-0.24687500000000007,400,402,True,
30,1.4779894479997893,12183134534000,0.045790068,True,19.773055999394273,24.67536100084544,ready,paired,,,-0.096875,-0.246875,400,402,True,
31,1.5247779370001808,12183181649000,0.045476019,True,19.294693000119878,24.770600999545422,ready,paired,,,-0.09375,-0.2390625,400,401,True,
32,1.5700506739995035,12183228764000,0.043634497,True,19.933663999836426,22.61648899911961,ready,paired,,,-0.09375,-0.2390625,400,401,True,
33,1.618088788998648,12183275879000,0.044551798,True,21.439396999994642,23.872931000369135,ready,paired,,,-0.090625,-0.23593750000000002,400,400,True,
34,1.6650411270002223,12183322995000,0.044390469,True,20.59887500035984,23.625916999662877,ready,paired,,,-0.090625,-0.2265625,400,399,True,
35,1.7126612319989363,12183370111000,0.044885629,True,20.67365099901508,24.21379500083276,ready,paired,,,-0.08125,-0.23125,400,400,True,
36,1.7599998969999433,12183417226000,0.045123423,True,21.790318000057596,22.828336999737076,ready,paired,,,-0.08125,-0.22656250000000006,400,399,True,
37,1.8059848060001968,12183464341000,0.043992426,True,20.06230999904801,23.201293999591144,ready,paired,,,-0.08125,-0.221875,400,398,True,
38,1.8532601019996946,12183511456000,0.044121685,True,21.174901999984286,23.350846999164787,ready,paired,,,-0.075,-0.21562500000000007,400,397,True,
39,1.9002947899989522,12183558572000,0.044050003,True,20.991682999010663,23.302569999941625,ready,paired,,,-0.07421875,-0.211328125,400,397,True,
40,1.9494212579993473,12183605687000,0.046068859,True,21.062681998955668,25.32820200030983,ready,paired,,,-0.06979166666666661,-0.20885416666666673,400,396,True,
41,1.997277728998597,12183652803000,0.046801071,True,18.997846000274876,26.11455999976897,ready,paired,,,-0.06875,-0.2046875,400,396,True,
42,2.044540764998601,12183699919000,0.046965588,True,18.639816000359133,25.89635899857967,ready,paired,,,-0.0609375,-0.20390625000000004,400,396,True,
43,2.093009965999954,12183747035000,0.048307012,True,18.082620999848587,27.645607999147614,ready,paired,,,-0.06145833333333339,-0.18958333333333333,400,393,True,
44,2.14019018900035,12183794150000,0.048374939,True,16.81216100041638,27.634551999653922,ready,paired,,,-0.05234375,-0.19414062500000004,400,394,True,
45,2.1860815639993234,12183841266000,0.047155591,True,16.81495699995139,26.348112000050605,ready,paired,,,-0.04875000000000007,-0.17718749999999997,400,392,True,
46,2.2343329539999104,12183888381000,0.04829037,True,17.894217000502977,27.624516000287258,ready,paired,,,-0.0375,-0.17812500000000006,400,392,True,
47,2.280323122999107,12183935497000,0.047148483,True,16.87404900076217,26.36935099872062,ready,paired,,,-0.0375,-0.1734375,400,391,True,
48,2.3259641120002925,12183982612000,0.045690825,True,17.896310000651283,25.012374000652926,ready,paired,,,-0.0375,-0.1734375,400,391,True,
49,2.3747295119992486,12184029727000,0.047353409,True,19.422819999817875,26.621865999914007,ready,paired,,,-0.028125,-0.16406250000000003,400,390,True,
50,2.420563054000013,12184076843000,0.0460536,True,17.808292999689,25.291035999543965,ready,paired,,,-0.03125,-0.1625,400,389,True,
51,2.467646760000207,12184123958000,0.046010232,True,19.024900999284,25.31061100125953,ready,paired,,,-0.028125,-0.16406250000000003,400,390,True,
52,2.5136520769992785,12184171074000,0.044896753,True,19.04608599943458,24.205129000620218,ready,paired,,,-0.01875,-0.16406250000000003,400,390,True,
53,2.5596986709988414,12184218189000,0.04384792,True,20.202067000354873,23.112442999263294,ready,paired,,,-0.01875,-0.15937500000000004,400,389,True,
54,2.60841770099978,12184265304000,0.045444117,True,21.451340999192325,24.529920001441496,ready,paired,,,-0.021875,-0.153125,400,388,True,
55,2.6555552949994308,12184312420000,0.045469822,True,19.707890000063344,24.69100999951479,ready,paired,,,-0.015625,-0.15625000000000006,400,388,True,
56,2.703834926000127,12184359535000,0.046629971,True,19.650223999633454,25.890212000376778,ready,paired,,,-0.015625,-0.15156250000000002,400,388,True,
57,2.7522960899987083,12184406651000,0.047966543,True,18.445596000674414,27.26494799935608,ready,paired,,,-0.0078125,-0.15546875000000004,400,388,True,
58,2.7991343369994865,12184453766000,0.047701494,True,17.112989000452217,26.987377999830642,ready,paired,,,-0.005208333333333393,-0.14739583333333336,400,387,True,
59,2.8512063849993865,12184500882000,0.052661616,True,20.421489000000292,28.918809000970214,ready,paired,,,0.003125,-0.16093750000000007,400,389,True,
60,2.8954545090000465,12184547998000,0.049795536,True,12.489456001276267,29.030028999841306,ready,paired,,,0.00625,-0.16250000000000003,400,389,True,
61,2.942848487999072,12184595113000,0.050074682,True,15.416702999573317,29.247136000776663,ready,paired,,,0.00625,-0.15781250000000005,400,389,True,
62,2.987320627000372,12184642228000,0.047417265,True,15.081485998962307,26.646643000276526,ready,paired,,,-0.003125,-0.153125,400,388,True,
63,3.0343685560001177,12184689344000,0.047365805,True,17.67909099908138,26.6406430000643,ready,paired,,,-0.003125,-0.16250000000000003,400,389,True,
64,3.0832393799992133,12184736459000,0.049119888,True,19.151195001541055,26.98850799970387,ready,paired,,,0.0,-0.15937500000000004,400,389,True,
65,3.1287866669990763,12184783575000,0.047545954,True,16.09687700147333,26.7174939999677,ready,paired,,,-0.003125,-0.16250000000000003,400,389,True,
66,3.174577079998926,12184830690000,0.046227515,True,17.777773999114288,25.282832999437233,ready,paired,,,-0.009375,-0.15937500000000004,400,389,True,
67,3.222432069998831,12184877805000,0.046975115,True,18.88577399950009,26.247371999488678,ready,paired,,,-0.009375,-0.16875000000000004,400,390,True,
68,3.269091504998869,12184924921000,0.046506625,True,18.153267999878153,25.77263900093385,ready,paired,,,-0.008333333333333392,-0.17395833333333335,400,391,True,
69,3.31735285799914,12184972036000,0.047660385,True,18.60494499851484,26.930435000394937,ready,paired,,,-0.008333333333333215,-0.1739583333333334,400,391,True,
70,3.36582892899969,12185019152000,0.04902053,True,17.50220399844693,28.248413000255823,ready,paired,,,-0.00859375,-0.16914062500000007,400,390,True,
71,3.41414955899927,12185066268000,0.050220197,True,16.19835699966643,29.391781999947852,ready,paired,,,-0.00625,-0.17968750000000003,400,392,True,
72,3.460279132999858,12185113383000,0.049218864,True,14.94573000127275,28.437908998967032,ready,paired,,,-0.003125,-0.190625,400,394,True,
73,3.507322209999984,12185160499000,0.049142164,True,15.84800999989966,28.443335999327246,ready,paired,,,-0.009375,-0.17812500000000003,400,392,True,
74,3.5534587469992402,12185207614000,0.048179459,True,16.059044000940048,27.342316998328897,ready,paired,,,-0.0125,-0.17656250000000007,400,391,True,
75,3.59838732299977,12185254730000,0.046000016,True,16.948751999734668,25.25355500074511,ready,paired,,,-0.0125,-0.18125000000000005,400,392,True,
76,3.644966592999481,12185301844000,0.045469861,True,19.07434499844385,24.782360000244807,ready,paired,,,-0.0125,-0.18593750000000003,400,393,True,
