frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,target_source,near_extrapolation,near_uncertainty_px,near_offset,preview_error,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.1006348410010105,13907996104000,0.089093244,True,33.67773500031035,62.89056500099832,ready,paired,,,0.0625,0.057812499999999996,370,356,True,
2,0.17011210700002266,13908090333000,0.064337714,True,23.458780999135342,41.925851999621955,ready,paired,,,0.0625,0.053125,370,357,True,
3,0.2039348760008579,13908137449000,0.052377961,True,1.5932689984765602,29.470289000528282,ready,paired,,,0.0625,0.057812499999999996,370,356,True,
4,0.2470363009997527,13908184563000,0.048386848,True,12.802612998711993,27.575284000704414,ready,paired,,,0.0625,0.053125,370,357,True,
5,0.295178489999671,13908231679000,0.04940176,True,16.765914999268716,28.64141400095832,ready,paired,,,0.0625,0.057812499999999996,400,356,True,
6,0.3412291050008207,13908278795000,0.048335893,True,15.687823000916978,27.62785699997039,ready,paired,,,0.0625,0.053125,400,357,True,
7,0.3882935350011394,13908325910000,0.048284082,True,16.759415000706213,27.567024999370915,ready,paired,,,0.0625,0.057812499999999996,400,356,True,
8,0.4355914429997938,13908373025000,0.048462601,True,16.82630300092569,27.73163299934822,ready,paired,,,0.059375,0.059375,400,356,True,
9,0.4836870960007218,13908420141000,0.049454365,True,16.639399000268895,28.72528300031263,ready,paired,,,0.059375,0.0546875,400,357,True,
10,0.5294574560011824,13908467256000,0.048111855,True,15.584397999191424,27.45493499969598,ready,paired,,,0.059375,0.059375,400,356,True,
11,0.5777324580012646,13908514372000,0.049248301,True,16.992632999972557,28.531174999443465,ready,paired,,,0.059375,0.045312500000000006,400,358,True,
12,0.6247728700000152,13908561486000,0.049187084,True,15.733044001535745,28.56709999832674,ready,paired,,,0.059375,0.045312500000000006,400,358,True,
13,0.6709063350008364,13908608601000,0.048214122,True,15.916465999907814,27.48515700113785,ready,paired,,,0.059375,0.040624999999999994,400,359,True,
14,0.7191570600007253,13908655719000,0.049348125,True,16.96674499908113,28.5549340005673,ready,paired,,,0.053125,0.02968749999999999,400,361,True,
15,0.7653243570002815,13908702834000,0.048385441,True,15.777728000102798,27.646190999803366,ready,paired,,,0.05,0.031249999999999993,400,360,True,
16,0.8108642210008838,13908749949000,0.046839842,True,16.691565000655828,26.130882999495952,ready,paired,,,0.04375,0.034374999999999996,400,360,True,
17,0.8586455280001246,13908797063000,0.047500778,True,18.27992600010475,26.78061299957335,ready,paired,,,0.040625,0.026562499999999996,400,361,True,
18,0.9062800589999824,13908844180000,0.048021976,True,17.6352329999645,27.281104001303902,ready,paired,,,0.015625,0.025,400,361,True,
19,0.9529879399997299,13908891295000,0.047599506,True,17.13798300079361,26.834648999283672,ready,paired,,,0.03229166666666661,0.01197916666666669,400,363,True,
20,1.0021663160005119,13908938410000,0.049672696,True,17.540604998430354,28.913761001604144,ready,paired,,,0.0234375,0.007031249999999999,400,364,True,
21,1.04922265300047,13908985526000,0.049594978,True,15.408770999783883,28.90450299855729,ready,paired,,,0.03125,-0.01093750000000001,400,367,True,
22,1.0974076750007953,13909032642000,0.050660111,True,15.584972999931779,29.850282000552397,ready,paired,,,0.04375,0.020312499999999997,400,362,True,
23,1.1434295310009475,13909079757000,0.049567911,True,14.536398000927875,28.740300998833845,ready,paired,,,0.03125,0.012499999999999994,400,363,True,
24,1.1947372590002487,13909126872000,0.053797416,True,15.537195000433712,33.06387500015262,ready,paired,,,0.01875,0.009374999999999998,400,364,True,
25,1.2366208149996964,13909173989000,0.048538547,True,11.317341999529162,27.832391000629286,ready,paired,,,0.009375,-1.734723475976807e-18,400,365,True,
26,1.2824118970002019,13909221104000,0.047227166,True,16.53130699924077,26.538062000327045,ready,paired,,,0.00625,-0.012500000000000006,400,367,True,
27,1.3296392869997362,13909268219000,0.047334556,True,17.826803999923868,26.67415200085088,ready,paired,,,-0.003125,-0.021875000000000006,400,368,True,
28,1.3770837480005866,13909315335000,0.047662239,True,19.137133000185713,25.577189999239636,ready,paired,,,-0.009375,-0.028125000000000004,400,369,True,
29,1.4237765180005226,13909362450000,0.047230306,True,17.499605999546475,26.456822000909597,ready,paired,,,-0.0375,-0.028124999999999997,400,369,True,
30,1.4718635230001382,13909409566000,0.048208163,True,17.72700900073687,27.629672000330174,ready,paired,,,-0.0203125,-0.05546875,400,373,True,
31,1.520398964999913,13909456681000,0.049609457,True,16.802210999230738,28.981686000406626,ready,paired,,,-0.003125,-0.07812499999999994,400,377,True,
32,1.5697350789996563,13909503796000,0.05181233,True,15.564305998850614,31.00652100147272,ready,paired,,,-0.01875,-0.028125000000000004,400,369,True,
33,1.6132951060008054,13909550912000,0.048285098,True,13.227809000454727,27.593857999818283,ready,paired,,,-0.034375,-0.0296875,400,369,True,
34,1.661621756000386,13909598027000,0.049492358,True,16.797080999822356,28.784411999367876,ready,paired,,,-0.034375,-0.043750000000000004,400,372,True,
35,1.7088784790012141,13909645143000,0.049634637,True,15.654822998840245,28.860669999630773,ready,paired,,,-0.04375,-0.0484375,400,372,True,
36,1.7543750100012403,13909692257000,0.048029187,True,15.512918000240461,27.254882999841357,ready,paired,,,-0.05,-0.05,400,372,True,
