frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,near_offset,preview_error,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.09366468999905919,8827055341000,0.089663805,True,23.861113000748446,65.44784699872253,ready,0.015625,-0.07812500000000003,370,377,True,
2,0.14901634300076694,8827149573000,0.052411296,True,23.933573998874635,28.674576000412344,ready,0.021875,-0.08125000000000002,370,377,True,
3,0.19311482400007662,8827196687000,0.049389389,True,12.752087000990286,28.608983999220072,ready,0.021875,-0.08125000000000002,370,377,True,
4,0.23983603200031212,8827243803000,0.049009227,True,15.811175000635558,28.187288999106386,ready,0.01875,-0.07968750000000002,370,377,True,
5,0.28707480499906524,8827290918000,0.049132147,True,16.211870999541134,28.300138999838964,ready,0.021875,-0.08125000000000002,400,377,True,
6,0.33406778599965037,8827338033000,0.049005721,True,16.062615000919322,28.201491999425343,ready,0.01875,-0.07968750000000002,400,377,True,
7,0.3811836160002713,8827385148000,0.048999736,True,16.192557000977104,28.186547999212053,ready,0.01875,-0.07968750000000002,400,377,True,
8,0.4284271849992365,8827432263000,0.049121342,True,16.262482000456657,28.236787000423647,ready,0.021875,-0.08125000000000002,400,377,True,
9,0.47552477499993984,8827479379000,0.049126321,True,16.090503999294015,28.288268000324024,ready,0.021875,-0.0765625,400,376,True,
10,0.5202784100001736,8827526495000,0.046770641,True,16.000208999685128,26.039127000331064,ready,0.021875,-0.08125000000000002,400,377,True,
11,0.5667250309998053,8827573609000,0.04609267,True,18.369256000369205,25.350824998895405,ready,0.021875,-0.08125000000000002,400,377,True,
12,0.6167616389993782,8827620724000,0.049015185,True,21.73093200144649,25.580542998795863,ready,0.021875,-0.08125000000000002,400,377,True,
13,0.661343907000628,8827667840000,0.04647199,True,16.175372000361676,25.67441199971654,ready,0.021875,-0.08125000000000002,400,377,True,
14,0.7085828279996349,8827714955000,0.046603874,True,18.6216219990456,25.888759000736172,ready,0.01875,-0.07968750000000002,400,377,True,
15,0.7547481210003752,8827762070000,0.04566413,True,18.647435999810114,24.80211400143162,ready,0.015625,-0.08750000000000002,400,378,True,
16,0.8015498469994782,8827809186000,0.045340041,True,19.406903000344755,24.666727000294486,ready,0.015625,-0.08750000000000002,400,378,True,
17,0.8490823360007198,8827856302000,0.045757901,True,19.81572799923015,24.98972099965613,ready,0.015625,-0.08750000000000002,400,378,True,
18,0.8955925119989843,8827903417000,0.045158428,True,19.464087001324515,24.32480799870973,ready,0.0125,-0.09062500000000002,400,379,True,
19,0.9416914169996744,8827950532000,0.044136741,True,19.929225998566835,23.44467700095265,ready,0.0125,-0.09531250000000001,400,379,True,
20,0.9906309899997723,8827997647000,0.045946426,True,20.943466000971966,25.256233999243705,ready,0.009375,-0.10312500000000002,400,380,True,
21,1.0384421960006875,8828044762000,0.046656428,True,19.278406000012183,25.807963998886407,ready,-0.003125,-0.09687500000000003,400,380,True,
22,1.0843036440001015,8828091878000,0.045407523,True,18.60977000069397,24.53141499972844,ready,0.009375,-0.10312500000000002,400,380,True,
23,1.1328071509997244,8828138993000,0.046799623,True,19.704971000464866,26.061885999297374,ready,0.003125,-0.10937500000000001,400,381,True,
24,1.1814096010002686,8828186109000,0.048274388,True,18.39368199944147,27.480451000883477,ready,0.011458333333333393,-0.1182291666666667,400,383,True,
25,1.2294876539999677,8828233225000,0.049227885,True,16.898396001124638,28.44322800046939,ready,0.007291666666666608,-0.12083333333333332,400,383,True,
26,1.2784854849996918,8828280340000,0.051119365,True,16.027653000492137,30.23961999861058,ready,0.0125,-0.12812500000000004,400,384,True,
27,1.325601018999805,8828327456000,0.051117917,True,14.238577001378872,30.148991998430574,ready,0.0125,-0.12812500000000004,400,384,True,
28,1.3712880259990925,8828374571000,0.049698535,True,14.143429998512147,28.822703001424088,ready,0.009375,-0.12656250000000002,400,384,True,
