frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,near_offset,preview_error,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.03860906199997771,3374344923000,0.029178138,True,30.117784999674768,8.4495189998961,ready,-0.0875,-0.1953125,370,394,False,
2,0.08462669299979098,3374392039000,0.028082898,True,38.644209999802115,7.328680000227905,ready,-0.0875,-0.1953125,370,394,False,
3,0.13156538799967166,3374439155000,0.027904556,True,39.714680000088265,7.177773999956116,ready,-0.0875,-0.1953125,370,394,False,
4,0.17899759600004472,3374486272000,0.028221116,True,39.92799299976468,7.458957000380906,ready,-0.084375,-0.196875,370,395,False,
5,0.2259983829999328,3374533386000,0.028105199,True,39.68866200011689,7.263754999712546,ready,-0.084375,-0.196875,400,395,False,
6,0.2729367439997077,3374580504000,0.027927116,True,39.61560800007646,7.275588000084099,ready,-0.0875,-0.1953125,400,394,False,
7,0.3197865889997047,3374627618000,0.027661423,True,39.67770000008386,7.1247000000767,ready,-0.084375,-0.196875,400,395,False,
8,0.3672577590000401,3374674735000,0.028011853,True,40.079140000216285,7.338976000028197,ready,-0.084375,-0.196875,400,395,False,
9,0.4142785459998777,3374721850000,0.02792501,True,39.725866000026144,7.249624999985826,ready,-0.0875,-0.1953125,400,394,False,
10,0.4614151830000992,3374768967000,0.027945055,True,39.728310000100464,7.3627719998512475,ready,-0.084375,-0.196875,400,395,False,
11,0.5085475799996857,3374816082000,0.027961285,True,39.815735000047425,7.269125000220811,ready,-0.084375,-0.196875,400,395,False,
12,0.5557741789998545,3374863198000,0.028072791,True,39.75516099990273,7.42604900005972,ready,-0.084375,-0.196875,400,395,False,
13,0.6026634849999937,3374910313000,0.027846857,True,39.58744100009426,7.255550999616389,ready,-0.084375,-0.196875,400,395,False,
14,0.6500073239999438,3374957430000,0.028074807,True,39.865882999947644,7.43138200004978,ready,-0.0875,-0.1953125,400,394,False,
15,0.6970139629997902,3375004543000,0.027966723,True,39.812494999750925,7.146718000058172,ready,-0.084375,-0.196875,400,395,False,
16,0.7441397110001162,3375051661000,0.027977694,True,39.78545700010727,7.29693999983283,ready,-0.084375,-0.196875,400,395,False,
17,0.7921779869998318,3375098776000,0.028896729,True,40.88048299990987,7.108515000254556,ready,-0.084375,-0.196875,400,395,False,
18,0.8386696130000928,3375145892000,0.028274447,True,39.00818900001468,7.437733999722695,ready,-0.084375,-0.196875,400,395,False,
19,0.8855367159999332,3375193006000,0.028026699,True,39.48877499988157,7.331810000323458,ready,-0.084375,-0.196875,400,395,False,
20,0.9325457249997271,3375240121000,0.027920448,True,39.70747700032007,7.253440000113187,ready,-0.0875,-0.1953125,400,394,False,
21,0.979471956999987,3375287236000,0.027731977,True,39.75984699991386,7.119422000414488,ready,-0.084375,-0.196875,400,395,False,
22,1.026893220999682,3375334354000,0.028036407,True,39.89349299990863,7.483641999897372,ready,-0.0875,-0.1953125,400,394,False,
23,1.073901136999666,3375381467000,0.027930101,True,39.73517999975229,7.2253480002473225,ready,-0.084375,-0.196875,400,395,False,
24,1.1211967360000017,3375428584000,0.028108793,True,39.9012899997615,7.347809000293637,ready,-0.084375,-0.196875,400,395,False,
25,1.1680663019997155,3375475700000,0.027862581,True,39.64029200005825,7.183551999787596,ready,-0.084375,-0.196875,400,395,False,
26,1.215327048999825,3375522816000,0.028007513,True,39.8711610000646,7.3420129997430195,ready,-0.084375,-0.196875,400,395,False,
27,1.2623778540000785,3375569933000,0.027940448,True,39.79034700023476,7.2129959999074345,ready,-0.0875,-0.1953125,400,394,False,
28,1.3097148219999326,3375617047000,0.028165009,True,39.840421000008064,7.45089999963966,ready,-0.084375,-0.196875,400,395,False,
29,1.3565992399999232,3375664162000,0.027933797,True,39.719958000205224,7.11658999989595,ready,-0.084375,-0.196875,400,395,False,
30,1.4042941679999785,3375711282000,0.028509762,True,40.54755999959525,7.102905000010651,ready,-0.084375,-0.196875,400,395,False,
31,1.4507344419998844,3375758393000,0.027836999,True,39.14400200028467,7.249698999657994,ready,-0.084375,-0.196875,400,395,False,
32,1.4977953210000123,3375805510000,0.027782026,True,39.876327000001766,7.137496999803261,ready,-0.0875,-0.1953125,400,394,False,
33,1.545435286999691,3375852627000,0.02830514,True,40.181491000112146,7.412753000153316,ready,-0.084375,-0.196875,400,395,False,
34,1.5920768000000862,3375899740000,0.027832116,True,39.49712699977681,7.09629400034828,ready,-0.084375,-0.196875,400,395,False,
35,1.6461145099997339,3375946858000,0.034741938,True,42.150468999807345,11.8270200000552,ready,-0.084375,-0.196875,400,395,False,
36,1.6931801489999998,3375993974000,0.034691409,True,35.28098800006774,11.718761999873095,ready,-0.084375,-0.196875,400,395,False,
37,1.7405878019999363,3376041090000,0.034983025,True,35.39350600021862,11.947370000143565,ready,-0.084375,-0.196875,400,395,False,
38,1.7875893289997293,3376088205000,0.03487109,True,35.03006499977346,11.908129999937955,ready,-0.084375,-0.196875,400,395,False,
39,1.8344303769999897,3376135320000,0.034596175,True,35.02600899992103,11.750168999697053,ready,-0.084375,-0.196875,400,395,False,
40,1.8817401789997348,3376182437000,0.034790236,True,35.37183900016316,11.873020000166434,ready,-0.084375,-0.196875,400,395,False,
41,1.9291522769999574,3376229553000,0.035083667,True,35.39881999995487,11.946999999963737,ready,-0.084375,-0.196875,400,395,False,
42,1.9755960140000752,3376276671000,0.034410831,True,34.73264200010817,11.645540000245092,ready,-0.084375,-0.196875,400,395,False,
43,2.0230498329997317,3376323784000,0.034751335,True,35.47676299967861,11.910464000266074,ready,-0.084375,-0.196875,400,395,False,
44,2.070137285999863,3376370899000,0.034725714,True,35.30869199994413,11.716687999978603,ready,-0.0875,-0.1953125,400,394,False,
45,2.1169812789999014,3376418018000,0.034449021,True,35.15526699993643,11.624558999756118,ready,-0.084375,-0.196875,400,395,False,
46,2.164320616999703,3376465130000,0.03467723,True,35.40048700006082,11.87333400002899,ready,-0.084375,-0.196875,400,395,False,
47,2.2113307009999517,3376512248000,0.034569165,True,35.297506999995676,11.64911400019264,ready,-0.0875,-0.1953125,400,394,False,
48,2.2585059119996913,3376559366000,0.03462808,True,35.374691000015446,11.737225000160834,ready,-0.084375,-0.196875,370,365,False,time_limit
