frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,near_offset,preview_error,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.03628953800034651,4212760862000,0.027928057,True,29.09774199997628,7.151501000407734,ready,-0.15,-0.32343750000000004,370,414,False,
2,0.08243843500076764,4212807977000,0.026963805,True,39.842826000494824,6.260367999857408,ready,-0.153125,-0.321875,370,413,False,
3,0.1294835750004495,4212855093000,0.026892556,True,40.84306500044477,6.155316999866045,ready,-0.15,-0.32343750000000004,370,414,False,
4,0.17670943000030093,4212902206000,0.027006466,True,40.94548800003395,6.235499000467826,ready,-0.15,-0.3187500000000001,370,413,False,
5,0.22373997700015025,4212949320000,0.026922884,True,40.87856299975101,6.106338000790856,ready,-0.153125,-0.321875,400,413,False,
6,0.270679380000729,4212996435000,0.026747324,True,40.83467700002075,6.060190999960469,ready,-0.15,-0.3187500000000001,400,413,False,
7,0.3179006800000934,4213043549000,0.026855272,True,41.09459300070739,6.082892999984324,ready,-0.153125,-0.31718750000000007,400,413,False,
8,0.36662810600046214,4213090663000,0.02845918,True,42.531129000053625,6.1410210000758525,ready,-0.15,-0.32343750000000004,400,414,False,
9,0.41217930400034675,4213137779000,0.026905285,True,39.31408699918393,6.193130000610836,ready,-0.153125,-0.321875,400,413,False,
10,0.4589732869999352,4213184892000,0.026584268,True,40.72707000068476,6.019655999807583,ready,-0.146875,-0.32500000000000007,400,414,False,
11,0.506165587000396,4213232008000,0.026662568,True,41.055519999645185,6.091301000196836,ready,-0.146875,-0.32031250000000006,400,413,False,
12,0.5533434260005379,4213279121000,0.026727036,True,41.037742999833426,6.095374999858905,ready,-0.15,-0.3187500000000001,400,413,False,
13,0.600347696999961,4213326235000,0.026616955,True,40.881804000491684,6.077264999476029,ready,-0.15,-0.3187500000000001,400,413,False,
14,0.6475953280005342,4213373349000,0.026750198,True,41.07109300002776,6.13024399990536,ready,-0.153125,-0.321875,400,413,False,
15,0.6946462089999841,4213420466000,0.026686745,True,40.94828300003428,6.059505999473913,ready,-0.15,-0.32343750000000004,400,414,False,
16,0.7415943890000563,4213467579000,0.026518704,True,40.87060100027884,6.031117999555136,ready,-0.15,-0.3187500000000001,400,413,False,
17,0.788955277000241,4213514695000,0.026764036,True,41.20101500029705,6.11287399988214,ready,-0.15,-0.32343750000000004,400,414,False,
18,0.8386342800004059,4213561807000,0.029332205,True,43.435966999822995,6.19816800008266,ready,-0.146875,-0.32031250000000006,400,413,False,
19,0.8831267800005662,4213608923000,0.026707483,True,38.38503299994045,6.061877000320237,ready,-0.15,-0.32343750000000004,400,414,False,
