image,height_ratio,yellow_candidates,white_candidates,status,center_x
0_cam_image_array_.jpg,0.6,"[40.0, 157.0]",[108.0],unique_pair,74.0
0_cam_image_array_.jpg,0.7,[24.5],[118.0],unique_pair,71.25
0_cam_image_array_.jpg,0.8,[15.5],"[127.5, 150.5]",ambiguous,
0_cam_image_array_.jpg,0.9,[],"[137.0, 156.5]",no_pair,
60_cam_image_array_.jpg,0.6,[44.5],[110.0],unique_pair,77.25
60_cam_image_array_.jpg,0.7,[29.5],"[121.0, 145.5]",ambiguous,
60_cam_image_array_.jpg,0.8,"[142.0, 157.5]","[130.0, 151.5]",no_pair,
60_cam_image_array_.jpg,0.9,"[6.5, 156.5]","[139.0, 157.0]",unique_pair,72.75
121_cam_image_array_.jpg,0.6,[50.0],[],no_pair,
121_cam_image_array_.jpg,0.7,"[47.5, 151.5]",[132.0],unique_pair,89.75
121_cam_image_array_.jpg,0.8,"[25.5, 157.0]",[144.5],unique_pair,85.0
121_cam_image_array_.jpg,0.9,[22.0],[154.5],unique_pair,88.25
181_cam_image_array_.jpg,0.6,[27.5],[101.0],unique_pair,64.25
181_cam_image_array_.jpg,0.7,[24.0],[120.0],unique_pair,72.0
181_cam_image_array_.jpg,0.8,[11.0],[137.0],unique_pair,74.0
181_cam_image_array_.jpg,0.9,[8.5],[150.0],no_pair,
242_cam_image_array_.jpg,0.6,"[27.5, 134.0]",[],no_pair,
242_cam_image_array_.jpg,0.7,"[26.0, 152.0]","[119.5, 148.0]",ambiguous,
242_cam_image_array_.jpg,0.8,[],[135.5],no_pair,
242_cam_image_array_.jpg,0.9,[9.5],[148.5],no_pair,
302_cam_image_array_.jpg,0.6,"[36.0, 158.5]","[105.0, 157.5]",ambiguous,
302_cam_image_array_.jpg,0.7,[28.0],[124.5],unique_pair,76.25
302_cam_image_array_.jpg,0.8,[],[140.0],no_pair,
302_cam_image_array_.jpg,0.9,[8.5],[152.0],no_pair,
363_cam_image_array_.jpg,0.6,"[25.5, 132.5, 148.5]",[96.0],unique_pair,60.75
363_cam_image_array_.jpg,0.7,[155.5],"[114.5, 153.0]",no_pair,
363_cam_image_array_.jpg,0.8,[13.0],[131.0],unique_pair,72.0
363_cam_image_array_.jpg,0.9,[],[145.5],no_pair,
424_cam_image_array_.jpg,0.6,[38.5],[108.5],unique_pair,73.5
424_cam_image_array_.jpg,0.7,"[1.0, 153.5]",[118.5],unique_pair,59.75
424_cam_image_array_.jpg,0.8,"[12.0, 157.0]","[127.5, 151.0]",unique_pair,69.75
424_cam_image_array_.jpg,0.9,"[8.0, 158.0]","[136.0, 156.0]",unique_pair,72.0
484_cam_image_array_.jpg,0.6,[45.5],[],no_pair,
484_cam_image_array_.jpg,0.7,[],"[128.5, 148.5]",no_pair,
484_cam_image_array_.jpg,0.8,[26.5],"[140.0, 155.5]",ambiguous,
484_cam_image_array_.jpg,0.9,[19.0],[152.0],unique_pair,85.5
545_cam_image_array_.jpg,0.6,[29.5],"[101.0, 152.0]",ambiguous,
545_cam_image_array_.jpg,0.7,[22.5],[119.0],unique_pair,70.75
545_cam_image_array_.jpg,0.8,[],[134.0],no_pair,
545_cam_image_array_.jpg,0.9,[7.5],[147.5],no_pair,
