frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,near_offset,preview_error,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.04638185700014219,3624944924000,0.038507031,True,32.61883100003615,13.698674999886862,ready,-0.15,-0.3140625000000001,370,412,False,
2,0.0914480609999373,3624992040000,0.036458624,True,32.85879199984265,12.131597999996302,ready,-0.153125,-0.31250000000000006,370,412,False,
3,0.1378836950002551,3625039154000,0.035779017,True,34.612643999935244,11.746027999834041,ready,-0.15,-0.3140625000000001,370,412,False,
4,0.1803044809998937,3625086268000,0.031096618,True,33.88602199993329,8.471561000078509,ready,-0.153125,-0.31250000000000006,370,412,False,
5,0.22740884899985758,3625133387000,0.031081523,True,38.49734499999613,8.54450499991799,ready,-0.153125,-0.31250000000000006,400,412,False,
6,0.2774900939998588,3625180501000,0.034042472,True,39.595964000000095,10.417578000215144,ready,-0.153125,-0.31250000000000006,400,412,False,
7,0.32446203800009243,3625227617000,0.033899138,True,36.39312599989353,10.509761999855982,ready,-0.15,-0.3140625000000001,400,412,False,
8,0.3718428289998883,3625274735000,0.034150169,True,36.87306600022566,10.42378199963423,ready,-0.15,-0.3140625000000001,400,412,False,
9,0.41878317999999126,3625321849000,0.033991113,True,36.43095899997206,10.442004000196903,ready,-0.153125,-0.31250000000000006,400,412,False,
10,0.4656867720000264,3625368967000,0.033776761,True,36.49418099985269,10.339912000290497,ready,-0.15,-0.3140625000000001,400,412,False,
11,0.5150234689999706,3625416081000,0.036000421,True,38.775786999849515,10.491281000213348,ready,-0.15,-0.3140625000000001,400,412,False,
12,0.5601800600002207,3625463196000,0.034041679,True,34.62705099991581,10.461541000040597,ready,-0.153125,-0.31250000000000006,400,412,False,
13,0.6070710230001168,3625510314000,0.03381479,True,36.512790999950084,10.3104310001072,ready,-0.153125,-0.31250000000000006,400,412,False,
14,0.6542818160000934,3625557427000,0.033913083,True,36.66630799989434,10.474151999915193,ready,-0.15,-0.3140625000000001,400,412,False,
15,0.701370703000066,3625604545000,0.033882284,True,36.751195999841,10.267784000006941,ready,-0.15,-0.3140625000000001,400,412,False,
16,0.7483687760000066,3625651659000,0.033770505,True,36.65277199979755,10.28115400004026,ready,-0.153125,-0.31250000000000006,400,412,False,
17,0.793951085000117,3625698775000,0.032235704,True,36.26627599987842,9.24971899985394,ready,-0.15625,-0.3109375000000001,400,412,False,
18,0.8414007090000268,3625745890000,0.03257155,True,37.965073000123084,9.420902999863756,ready,-0.15,-0.3140625000000001,400,412,False,
19,0.890007025000159,3625793008000,0.034055569,True,38.149459999658575,10.389504000158922,ready,-0.15,-0.3140625000000001,400,412,False,
20,0.9369403390001025,3625840123000,0.033874828,True,36.41301500010741,10.450854999817238,ready,-0.153125,-0.31250000000000006,400,412,False,
21,0.984105577000264,3625887239000,0.033923158,True,36.79215900001509,10.30398700004298,ready,-0.15,-0.3140625000000001,400,412,False,
22,1.0312874070000362,3625934354000,0.033989914,True,36.61317899968708,10.49907800006622,ready,-0.15,-0.3140625000000001,400,412,False,
23,1.0780205010000827,3625981472000,0.033604786,True,36.37038600027154,10.290634999819304,ready,-0.15,-0.3140625000000001,400,412,False,
24,1.127719008999975,3626028585000,0.036191776,True,39.07378400026573,10.556909999650088,ready,-0.15,-0.3140625000000001,400,412,False,
