frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,near_offset,preview_error,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.037251840999488195,5541940844000,0.028669709,True,29.297813000084716,7.913564999398659,ready,-0.353125,-0.49843750000000003,370,440,False,
2,0.08359163499972055,5541987960000,0.027894004,True,39.268957999411214,7.025523000265821,ready,-0.3625,-0.49375,370,439,False,
3,0.1304315889992722,5542035076000,0.027616494,True,39.92166999978508,6.870469000205048,ready,-0.359375,-0.49531250000000004,370,439,False,
4,0.17761674099983793,5542082193000,0.027684258,True,40.17750000002707,6.960263999644667,ready,-0.3625,-0.48906250000000007,370,438,False,
5,0.2247151909996319,5542129306000,0.027670893,True,40.145240999663656,6.905579999511247,ready,-0.3625,-0.49375,400,439,False,
6,0.27170566099994176,5542176423000,0.027544159,True,40.142443999684474,6.801841000196873,ready,-0.359375,-0.49531250000000004,400,439,False,
7,0.31896823799979757,5542223540000,0.027690328,True,40.32920099962212,6.855098999949405,ready,-0.359375,-0.5,400,440,False,
8,0.36599303999992117,5542270654000,0.027595168,True,40.05494500052009,6.917284000337531,ready,-0.359375,-0.4906250000000001,400,439,False,
9,0.41289080800015654,5542317770000,0.027385046,True,40.08881600020686,6.764341999769385,ready,-0.353125,-0.49843750000000003,400,440,False,
10,0.4599893320000774,5542364886000,0.027367904,True,40.26720199999545,6.784619000427483,ready,-0.365625,-0.49218750000000006,400,439,False,
11,0.5071880949999468,5542412000000,0.02745387,True,40.359534000344865,6.794137999349914,ready,-0.359375,-0.5,400,440,False,
12,0.5542265269996278,5542459116000,0.027374784,True,40.22781399999076,6.764656000086688,ready,-0.3625,-0.49843750000000003,400,440,False,
13,0.6013602539997009,5542506233000,0.027391455,True,40.291496999998344,6.797082000048249,ready,-0.3625,-0.49843750000000003,400,440,False,
14,0.6485728130001007,5542553347000,0.027490959,True,40.322811999430996,6.842063000476628,ready,-0.3625,-0.49843750000000003,400,440,False,
15,0.6965011579995917,5542600463000,0.028302563,True,41.087263000008534,6.794526999328809,ready,-0.35625,-0.49687500000000007,400,440,False,
16,0.742701305999617,5542647579000,0.027386897,True,39.411529999597406,6.743305000782129,ready,-0.35625,-0.5015625,400,440,False,
17,0.789990900999328,5542694694000,0.027561362,True,40.420161999463744,6.8226560006223735,ready,-0.3625,-0.49375,400,439,False,
18,0.8370137409992822,5542741809000,0.02746811,True,40.17848100011179,6.797007999921334,ready,-0.359375,-0.49531250000000004,400,439,False,
19,0.8841780419998031,5542788924000,0.027518022,True,40.208870000242314,6.909634999828995,ready,-0.35625,-0.5015625,400,440,False,
20,0.9312012339996727,5542836042000,0.027424732,True,40.19048100053624,6.78710099964519,ready,-0.353125,-0.49843750000000003,400,440,False,
21,0.9783907929995621,5542883156000,0.027498791,True,40.32201600057306,6.821803999628173,ready,-0.359375,-0.49531250000000004,400,439,False,
22,1.0254300219994548,5542930273000,0.027421872,True,40.20512899933237,6.790193000597355,ready,-0.359375,-0.4906250000000001,400,439,False,
23,1.072523860999354,5542977387000,0.027402174,True,40.211962000284984,6.836321999799111,ready,-0.353125,-0.49843750000000003,400,440,False,
24,1.1196973099995375,5543024503000,0.02745853,True,40.38960700017924,6.738750000295113,ready,-0.3625,-0.49375,400,439,False,
25,1.166599688000133,5543071620000,0.027244686,True,40.08227899976191,6.747305000317283,ready,-0.35625,-0.5015625,400,440,False,
26,1.213889079999717,5543118734000,0.027421467,True,40.39925500001118,6.845081000392383,ready,-0.35625,-0.5015625,400,440,False,
27,1.261030158999347,5543165850000,0.027444323,True,40.28933199970197,6.803840000429773,ready,-0.353125,-0.49843750000000003,400,440,False,
28,1.3082708100000673,5543212968000,0.027566641,True,40.30551599953469,6.888562000312959,ready,-0.359375,-0.5,400,440,False,
29,1.3553594079994582,5543260082000,0.027542795,True,40.256608999698074,6.785897000554542,ready,-0.3625,-0.49375,400,439,False,
30,1.4024468950001392,5543307196000,0.027515264,True,40.25596100018447,6.784637999771803,ready,-0.353125,-0.503125,400,440,False,
31,1.4495654929996817,5543354313000,0.027518158,True,40.223887999673025,6.84941399958916,ready,-0.359375,-0.49531250000000004,400,439,False,
32,1.4966875169993727,5543401427000,0.027525996,True,40.20975900039048,6.865079999442969,ready,-0.35,-0.5046875000000001,400,440,False,
33,1.5437882440000976,5543448543000,0.027508298,True,40.25592400012101,6.796803999350232,ready,-0.353125,-0.503125,400,440,False,
