run,frame,logged_status,status,source,pwm,ms
20260908_133717_324605,1,ready,ready,paired,369,4.1646669851616025
20260908_133717_324605,4,ready,ready,paired,369,1.3926660176366568
20260908_133717_324605,7,ready,ready,paired,368,1.2944580521434546
20260908_133717_324605,10,ready,ready,paired,369,1.2918750289827585
20260908_133717_324605,13,ready,ready,paired,368,1.3383750338107347
20260908_133717_324605,16,ready,ready,paired,369,1.274875015951693
20260908_133717_324605,19,ready,ready,paired,371,1.4024169649928808
20260908_133717_324605,22,ready,ready,paired,372,1.5796669758856297
20260908_133717_324605,25,ready,ready,paired,372,1.4602079754695296
20260908_133717_324605,28,ready,ready,paired,376,1.3276670360937715
20260908_133717_324605,31,ready,ready,paired,378,1.4290419640019536
20260908_133717_324605,34,ready,ready,paired,381,1.594790956005454
20260908_133717_324605,37,ready,ready,paired,384,1.5409589977934957
20260908_133717_324605,40,ready,ready,paired,386,1.3751669321209192
20260908_133717_324605,43,ready,ready,paired,386,1.5476250555366278
20260908_133717_324605,46,ready,ready,paired,386,1.5997919254004955
20260908_133717_324605,49,ready,ready,paired,388,1.3895831070840359
20260908_133717_324605,52,ready,ready,paired,388,1.5194170409813523
20260908_133717_324605,55,ready,ready,paired,388,1.4060420216992497
20260908_133717_324605,58,ready,ready,paired,388,1.2461249716579914
20260908_133717_324605,61,ready,ready,paired,391,1.4429999282583594
20260908_133717_324605,64,ready,ready,paired,390,1.1354159796610475
20260908_133717_324605,67,ready,ready,paired,390,1.5747500583529472
20260908_133717_324605,69,unavailable,ready,paired,394,1.1744999792426825
20260908_134855_688477,1,ready,ready,paired,379,1.31929200142622
20260908_134855_688477,4,ready,ready,paired,379,1.2859998969361186
20260908_134855_688477,7,ready,ready,paired,379,1.3455420266836882
20260908_134855_688477,10,ready,ready,paired,379,1.4839170034974813
20260908_134855_688477,13,ready,ready,paired,380,1.2050829827785492
20260908_134855_688477,16,ready,ready,paired,380,1.1646249331533909
20260908_134855_688477,19,ready,ready,paired,383,1.2657919432967901
20260908_134855_688477,22,ready,ready,paired,383,1.520582940429449
20260908_134855_688477,25,ready,ready,paired,384,1.7384170787408948
20260908_134855_688477,28,ready,ready,paired,385,1.3394590932875872
20260908_134855_688477,31,ready,ready,paired,388,1.3687909813597798
20260908_134855_688477,34,ready,ready,paired,387,1.6191669274121523
20260908_134855_688477,37,ready,ready,paired,388,1.6441670013591647
20260908_134855_688477,40,ready,ready,paired,388,1.3620000099763274
20260908_134855_688477,43,ready,ready,paired,388,1.3166250428184867
20260908_134855_688477,46,ready,ready,paired,387,1.3847079826518893
20260908_134855_688477,49,ready,ready,paired,385,1.400834065862
20260908_134855_688477,52,ready,ready,paired,386,1.318124937824905
20260908_134855_688477,55,ready,ready,paired,388,1.259166980162263
20260908_134855_688477,58,ready,ready,paired,389,1.1592500377446413
20260908_134855_688477,61,ready,ready,paired,388,1.2262080563232303
20260908_134855_688477,64,ready,ready,paired,394,1.2580830371007323
20260908_134855_688477,67,ready,ready,paired,394,1.3924580998718739
20260908_134855_688477,69,unavailable,ready,paired,395,1.1482909321784973
20260908_140048_382380,1,ready,ready,paired,377,1.461624982766807
20260908_140048_382380,4,ready,ready,paired,377,1.441249973140657
20260908_140048_382380,7,ready,ready,paired,377,1.6315419925376773
20260908_140048_382380,10,ready,ready,paired,377,1.3867920497432351
20260908_140048_382380,13,ready,ready,paired,377,1.3165409909561276
20260908_140048_382380,16,ready,ready,paired,378,1.2570000253617764
20260908_140048_382380,19,ready,ready,paired,379,1.1972089996561408
20260908_140048_382380,22,ready,ready,paired,380,1.3676249654963613
20260908_140048_382380,25,ready,ready,paired,383,1.5252080047503114
20260908_140048_382380,28,ready,ready,paired,384,1.450834097340703
20260908_140048_382380,31,ready,ready,paired,386,1.4744169311597943
20260908_140048_382380,34,ready,ready,paired,388,1.3296660035848618
20260908_140048_382380,37,ready,ready,paired,389,1.6318750567734241
20260908_140048_382380,40,ready,ready,paired,388,1.5586670488119125
20260908_140048_382380,43,ready,ready,paired,388,1.3088749255985022
20260908_140048_382380,46,ready,ready,paired,389,1.2579589383676648
20260908_140048_382380,49,ready,ready,paired,388,1.3460410991683602
20260908_140048_382380,52,ready,ready,paired,385,1.2580830371007323
20260908_140048_382380,55,ready,ready,paired,385,1.243000035174191
20260908_140048_382380,58,ready,ready,paired,388,1.306041027419269
20260908_140048_382380,61,ready,ready,paired,389,1.1819170322269201
20260908_140048_382380,64,ready,ready,paired,386,1.1907920707017183
20260908_140048_382380,67,ready,ready,paired,393,1.4337500324472785
20260908_140048_382380,70,ready,ready,paired,395,1.4247499639168382
20260908_140048_382380,73,ready,ready,paired,394,1.1903749546036124
20260908_140048_382380,76,unavailable,ready,independent_estimated,393,1.8094999250024557
20260908_141033_123128,1,ready,ready,paired,377,1.5461669536307454
