run,image,old_ready,new_ready,old_pwm,new_pwm,old_near,new_near,new_far,pair_status,points
133417,000001_raw.jpg,ready,ready,349,349,85.75,85.75,83.75,consistent,"[(0.55, 83.75), (0.6, 86.25), (0.65, 85.75), (0.7, 88.25), (0.75, 89.5), (0.8, 93.5)]"
133417,000023_raw.jpg,ready,ready,349,349,85.75,85.75,83.75,consistent,"[(0.55, 83.75), (0.6, 86.25), (0.65, 85.75), (0.7, 88.25), (0.75, 89.5), (0.8, 92.5)]"
133417,000045_raw.jpg,ready,ready,349,349,85.75,85.75,83.75,consistent,"[(0.55, 83.75), (0.6, 86.25), (0.65, 85.75), (0.7, 88.25), (0.75, 89.5), (0.8, 92.75)]"
133417,000067_raw.jpg,ready,ready,348,348,85.75,85.75,84.0,consistent,"[(0.55, 84.0), (0.6, 86.25), (0.65, 85.75), (0.7, 88.25), (0.75, 89.75), (0.8, 93.0)]"
133417,000089_raw.jpg,ready,ready,348,348,86.0,86.0,84.0,consistent,"[(0.55, 84.0), (0.6, 86.25), (0.65, 86.0), (0.7, 88.5), (0.75, 89.5), (0.8, 92.75)]"
133417,000111_raw.jpg,ready,ready,349,349,85.75,85.75,83.75,consistent,"[(0.55, 83.75), (0.6, 86.25), (0.65, 85.75), (0.7, 88.5), (0.75, 89.75), (0.8, 92.75)]"
133417,000133_raw.jpg,ready,ready,349,349,85.75,85.75,83.75,consistent,"[(0.55, 83.75), (0.6, 86.25), (0.65, 85.75), (0.7, 88.5), (0.75, 89.5), (0.8, 93.0)]"
133417,000155_raw.jpg,ready,ready,348,348,86.0,86.0,84.0,consistent,"[(0.55, 84.0), (0.6, 86.25), (0.65, 86.0), (0.7, 88.5), (0.75, 89.5), (0.8, 93.0)]"
133417,000177_raw.jpg,ready,ready,349,349,85.75,85.75,83.75,consistent,"[(0.55, 83.75), (0.6, 86.25), (0.65, 85.75), (0.7, 88.25), (0.75, 89.5), (0.8, 93.0)]"
133417,000199_raw.jpg,ready,ready,349,349,86.0,86.0,83.75,consistent,"[(0.55, 83.75), (0.6, 86.25), (0.65, 86.0), (0.7, 88.25), (0.75, 89.5), (0.8, 93.0)]"
133417,000221_raw.jpg,ready,ready,349,349,86.0,86.0,83.75,consistent,"[(0.55, 83.75), (0.6, 86.25), (0.65, 86.0), (0.7, 88.5), (0.75, 89.75), (0.8, 93.25)]"
133417,000243_raw.jpg,ready,ready,349,349,86.0,86.0,83.75,consistent,"[(0.55, 83.75), (0.6, 86.25), (0.65, 86.0), (0.7, 88.5), (0.75, 89.25), (0.8, 92.75)]"
133417,000265_raw.jpg,ready,ready,348,348,85.75,85.75,84.0,consistent,"[(0.55, 84.0), (0.6, 86.25), (0.65, 85.75), (0.7, 88.25), (0.75, 89.5), (0.8, 93.5)]"
133417,000287_raw.jpg,ready,ready,349,349,85.75,85.75,83.75,consistent,"[(0.55, 83.75), (0.6, 86.25), (0.65, 85.75), (0.7, 88.25), (0.75, 89.75), (0.8, 93.75)]"
133417,000309_raw.jpg,ready,ready,349,349,86.0,86.0,83.75,consistent,"[(0.55, 83.75), (0.6, 86.25), (0.65, 86.0), (0.7, 88.5), (0.75, 89.75), (0.8, 93.0)]"
133417,000331_raw.jpg,ready,ready,349,349,86.0,86.0,83.75,consistent,"[(0.55, 83.75), (0.6, 86.25), (0.65, 86.0), (0.7, 88.0), (0.75, 89.75), (0.8, 93.0)]"
133417,000353_raw.jpg,ready,ready,349,349,86.0,86.0,83.75,consistent,"[(0.55, 83.75), (0.6, 86.25), (0.65, 86.0), (0.7, 88.5), (0.75, 89.5), (0.8, 93.0)]"
133417,000375_raw.jpg,ready,ready,349,349,86.0,86.0,83.75,consistent,"[(0.55, 83.75), (0.6, 86.25), (0.65, 86.0), (0.7, 88.25), (0.75, 89.5), (0.8, 93.0)]"
133417,000397_raw.jpg,ready,ready,349,349,86.0,86.0,83.75,consistent,"[(0.55, 83.75), (0.6, 86.25), (0.65, 86.0), (0.7, 88.5), (0.75, 89.5), (0.8, 93.0)]"
133417,000419_raw.jpg,ready,ready,349,349,86.0,86.0,83.75,consistent,"[(0.55, 83.75), (0.6, 86.25), (0.65, 86.0), (0.7, 88.5), (0.75, 89.5), (0.8, 93.25)]"
133417,000441_raw.jpg,ready,ready,349,349,86.0,86.0,83.75,consistent,"[(0.55, 83.75), (0.6, 86.25), (0.65, 86.0), (0.7, 88.0), (0.75, 89.25), (0.8, 93.0)]"
133417,000463_raw.jpg,ready,ready,349,349,86.0,86.0,83.75,consistent,"[(0.55, 83.75), (0.6, 86.25), (0.65, 86.0), (0.7, 88.5), (0.75, 89.5), (0.8, 92.75)]"
133417,000485_raw.jpg,ready,ready,349,349,85.75,85.75,83.75,consistent,"[(0.55, 83.75), (0.6, 86.25), (0.65, 85.75), (0.7, 88.25), (0.75, 89.5), (0.8, 92.75)]"
133417,000507_raw.jpg,ready,ready,349,349,85.75,85.75,83.75,consistent,"[(0.55, 83.75), (0.6, 86.25), (0.65, 85.75), (0.7, 88.5), (0.75, 89.5), (0.8, 93.0)]"
133417,000529_raw.jpg,ready,ready,349,349,86.0,86.0,83.75,consistent,"[(0.55, 83.75), (0.6, 86.25), (0.65, 86.0), (0.7, 88.25), (0.75, 89.75), (0.8, 92.75)]"
133417,000551_raw.jpg,ready,ready,349,349,85.75,85.75,83.75,consistent,"[(0.55, 83.75), (0.6, 86.25), (0.65, 85.75), (0.7, 88.5), (0.75, 89.75), (0.8, 93.0)]"
133417,000573_raw.jpg,ready,ready,349,349,85.75,85.75,83.75,consistent,"[(0.55, 83.75), (0.6, 86.25), (0.65, 85.75), (0.7, 88.25), (0.75, 89.5), (0.8, 92.75)]"
