frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,near_offset,preview_error,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.03703045000020211,7768300904000,0.028819565,True,29.097305000505003,7.891940999797953,ready,-0.2468749999999999,-0.4390625000000001,370,431,False,
2,0.08315609800047241,7768348021000,0.027831731,True,39.154636000603205,6.92690199957724,ready,-0.2468749999999999,-0.4296875000000001,370,429,False,
3,0.1306958510003824,7768395136000,0.028254818,True,40.665053999873635,6.828829999903974,ready,-0.2468749999999999,-0.4296875000000001,370,429,False,
4,0.17722421400048916,7768442250000,0.027670162,True,39.61672099921998,6.865940000352566,ready,-0.2468749999999999,-0.4296875000000001,370,429,False,
5,0.22442291800052772,7768489367000,0.027752607,True,40.30950499964092,6.8430880000960315,ready,-0.2453124999999999,-0.43515625000000013,400,430,False,
6,0.2714919200006989,7768536482000,0.02770398,True,40.216950999820256,6.805181999880006,ready,-0.2453124999999999,-0.4398437500000001,400,431,False,
7,0.31842127700019773,7768583598000,0.027516725,True,40.10713800016674,6.774255999516754,ready,-0.2468749999999999,-0.4296875000000001,400,429,False,
8,0.3657062380007119,7768630713000,0.027682131,True,40.34443000000465,6.887290999657125,ready,-0.2468749999999999,-0.4343750000000001,400,430,False,
9,0.41270037200047227,7768677828000,0.02756832,True,40.15408200029924,6.793180999920878,ready,-0.2468749999999999,-0.4390625000000001,400,431,False,
10,0.45975781900051516,7768724944000,0.02751047,True,40.23148800024501,6.778533999749925,ready,-0.2468749999999999,-0.4296875000000001,400,429,False,
11,0.5070245580000119,7768772060000,0.027662914,True,40.3557270001329,6.8660690003525815,ready,-0.2468749999999999,-0.4296875000000001,400,429,False,
12,0.5540446720006003,7768819174000,0.027566954,True,40.21008099971368,6.764626999938628,ready,-0.2468749999999999,-0.42500000000000004,400,429,False,
13,0.6011111010002423,7768866290000,0.027518197,True,40.22067400001106,6.800254999689059,ready,-0.2468749999999999,-0.4390625000000001,400,431,False,
