image,track_status,height_ratio,white_x,yellow_x,center_x
10023_cam_image_array_.jpg,selected,0.9,152.0,,
10023_cam_image_array_.jpg,selected,0.85,147.0,,
10023_cam_image_array_.jpg,selected,0.8,142.0,29.5,85.75
10023_cam_image_array_.jpg,selected,0.75,137.0,32.0,84.5
10023_cam_image_array_.jpg,selected,0.7,131.5,36.5,84.0
10023_cam_image_array_.jpg,selected,0.65,125.5,,
10023_cam_image_array_.jpg,selected,0.6,119.0,52.0,85.5
10023_cam_image_array_.jpg,selected,0.55,114.5,54.0,84.25
10066_cam_image_array_.jpg,selected,0.9,154.0,,
10066_cam_image_array_.jpg,selected,0.85,149.5,17.5,83.5
10066_cam_image_array_.jpg,selected,0.8,142.0,19.5,80.75
10066_cam_image_array_.jpg,selected,0.75,134.0,,
10066_cam_image_array_.jpg,selected,0.7,126.0,,
10066_cam_image_array_.jpg,selected,0.65,116.5,29.0,72.75
10066_cam_image_array_.jpg,selected,0.6,106.0,31.0,68.5
10066_cam_image_array_.jpg,selected,0.55,97.0,,
10075_cam_image_array_.jpg,selected,0.9,151.5,,
10075_cam_image_array_.jpg,selected,0.85,145.0,12.5,78.75
10075_cam_image_array_.jpg,selected,0.8,136.0,16.0,76.0
10075_cam_image_array_.jpg,selected,0.75,129.5,18.0,73.75
10075_cam_image_array_.jpg,selected,0.7,121.5,,
10075_cam_image_array_.jpg,selected,0.65,112.0,27.5,69.75
10075_cam_image_array_.jpg,selected,0.6,102.5,28.5,65.5
10075_cam_image_array_.jpg,selected,0.55,93.5,31.5,62.5
10094_cam_image_array_.jpg,selected,0.9,144.5,8.5,76.5
10094_cam_image_array_.jpg,selected,0.85,138.0,11.5,74.75
10094_cam_image_array_.jpg,selected,0.8,131.0,15.0,73.0
10094_cam_image_array_.jpg,selected,0.75,123.5,15.5,69.5
10094_cam_image_array_.jpg,selected,0.7,115.5,,
10094_cam_image_array_.jpg,selected,0.65,106.0,,
10094_cam_image_array_.jpg,selected,0.6,97.0,27.5,62.25
10094_cam_image_array_.jpg,selected,0.55,88.5,28.5,58.5
10107_cam_image_array_.jpg,selected,0.9,145.0,15.0,80.0
10107_cam_image_array_.jpg,selected,0.85,139.0,13.0,76.0
10107_cam_image_array_.jpg,selected,0.8,132.0,15.5,73.75
10107_cam_image_array_.jpg,selected,0.75,124.5,18.5,71.5
10107_cam_image_array_.jpg,selected,0.7,117.0,19.0,68.0
10107_cam_image_array_.jpg,selected,0.65,108.5,27.5,68.0
10107_cam_image_array_.jpg,selected,0.6,100.5,29.0,64.75
10107_cam_image_array_.jpg,selected,0.55,92.0,32.0,62.0
1020_cam_image_array_.jpg,selected,0.9,150.0,,
1020_cam_image_array_.jpg,selected,0.85,144.5,,
1020_cam_image_array_.jpg,selected,0.8,138.0,,
1020_cam_image_array_.jpg,selected,0.75,130.5,27.5,79.0
1020_cam_image_array_.jpg,selected,0.7,124.5,31.5,78.0
1020_cam_image_array_.jpg,selected,0.65,118.0,34.0,76.0
1020_cam_image_array_.jpg,selected,0.6,111.0,41.5,76.25
1020_cam_image_array_.jpg,selected,0.55,103.0,43.0,73.0
10217_cam_image_array_.jpg,selected,0.9,149.0,,
10217_cam_image_array_.jpg,selected,0.85,142.0,12.5,77.25
10217_cam_image_array_.jpg,selected,0.8,134.5,,
10217_cam_image_array_.jpg,selected,0.75,127.0,,
10217_cam_image_array_.jpg,selected,0.7,118.5,22.5,70.5
10217_cam_image_array_.jpg,selected,0.65,109.5,25.0,67.25
10217_cam_image_array_.jpg,selected,0.6,,,
10217_cam_image_array_.jpg,selected,0.55,91.0,30.5,60.75
10274_cam_image_array_.jpg,selected,0.9,132.0,3.0,67.5
10274_cam_image_array_.jpg,selected,0.85,128.5,3.0,65.75
10274_cam_image_array_.jpg,selected,0.8,124.5,,
10274_cam_image_array_.jpg,selected,0.75,120.0,21.5,70.75
10274_cam_image_array_.jpg,selected,0.7,116.0,23.5,69.75
10274_cam_image_array_.jpg,selected,0.65,111.5,28.0,69.75
10274_cam_image_array_.jpg,selected,0.6,106.5,41.0,73.75
10274_cam_image_array_.jpg,selected,0.55,102.5,43.5,73.0
1035_cam_image_array_.jpg,selected,0.9,150.0,,
1035_cam_image_array_.jpg,selected,0.85,144.5,,
1035_cam_image_array_.jpg,selected,0.8,136.0,,
1035_cam_image_array_.jpg,selected,0.75,130.0,26.5,78.25
1035_cam_image_array_.jpg,selected,0.7,124.5,30.5,77.5
1035_cam_image_array_.jpg,selected,0.65,118.0,32.5,75.25
1035_cam_image_array_.jpg,selected,0.6,110.5,41.0,75.75
1035_cam_image_array_.jpg,selected,0.55,103.0,43.0,73.0
10401_cam_image_array_.jpg,selected,0.9,149.5,,
10401_cam_image_array_.jpg,selected,0.85,142.5,,
10401_cam_image_array_.jpg,selected,0.8,134.5,16.5,75.5
10401_cam_image_array_.jpg,selected,0.75,126.0,19.0,72.5
10401_cam_image_array_.jpg,selected,0.7,118.0,23.5,70.75
10401_cam_image_array_.jpg,selected,0.65,109.5,29.0,69.25
10401_cam_image_array_.jpg,selected,0.6,100.5,30.0,65.25
10401_cam_image_array_.jpg,selected,0.55,92.0,30.0,61.0
10451_cam_image_array_.jpg,selected,0.9,155.0,,
