frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,near_offset,preview_error,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.05559413800074253,8603540908000,0.046705802,True,29.772555999443284,25.77980500063859,ready,-0.2125,-0.4000000000000001,370,425,False,
2,0.10138153200023226,8603588023000,0.045382048,True,21.279656000842806,24.462090999804786,ready,-0.2125,-0.4000000000000001,370,425,False,
3,0.1483003480007028,8603635138000,0.045185586,True,22.51179800077807,24.3640000007872,ready,-0.215625,-0.39375,370,424,False,
4,0.19527692100018612,8603682254000,0.0450434,True,22.724292999555473,24.206152000260772,ready,-0.2125,-0.4000000000000001,370,425,False,
5,0.24272165200090967,8603729369000,0.045374279,True,23.02832399982435,24.370148001253256,ready,-0.2125,-0.3953125,400,424,False,
6,0.28978900100082683,8603776485000,0.045325443,True,22.512927000207128,24.50942399991618,ready,-0.2125,-0.4000000000000001,400,425,False,
7,0.33686720200057607,8603823600000,0.045289052,True,22.576573999685934,24.45720200012147,ready,-0.215625,-0.39843750000000006,400,425,False,
8,0.3851266570000007,8603870715000,0.046426192,True,23.835418998714886,24.370167000597576,ready,-0.2125,-0.4000000000000001,400,425,False,
9,0.43112508400008664,8603917831000,0.045317396,True,21.42311600073299,24.531274999390007,ready,-0.2125,-0.4000000000000001,400,425,False,
10,0.4779179760007537,8603964947000,0.044994214,True,22.463299001174164,24.283519998789416,ready,-0.2125,-0.4000000000000001,400,425,False,
11,0.5250225470008445,8604012062000,0.0449861,True,22.772311000153422,24.286650001158705,ready,-0.2125,-0.3953125,400,424,False,
12,0.572106839999833,8604059177000,0.044951968,True,22.844994000479346,24.19152199945529,ready,-0.2125,-0.4046875000000001,400,426,False,
13,0.6191924300001119,8604106291000,0.044925706,True,22.809476000475115,24.2301510006655,ready,-0.2125,-0.3953125,400,424,False,
14,0.6664656459997786,8604153407000,0.045082125,True,22.886290000315057,24.33894499881717,ready,-0.2125,-0.4000000000000001,400,425,False,
15,0.7130678379999154,8604200522000,0.044569373,True,22.686238000460435,23.87021399954392,ready,-0.2125,-0.4000000000000001,400,425,False,
16,0.7607532860001811,8604247638000,0.04513895,True,23.23698600048374,24.403110999628552,ready,-0.2125,-0.4000000000000001,400,425,False,
17,0.8079778909996094,8604294753000,0.045222279,True,22.853643000416923,24.29733499957365,ready,-0.2125,-0.4000000000000001,400,425,False,
18,0.8578733869999269,8604341868000,0.048029847,True,25.365405999764334,24.483479000991792,ready,-0.2125,-0.4046875000000001,400,426,False,
19,0.9019573339992348,8604388983000,0.044997795,True,19.79681599914329,24.24059500117437,ready,-0.2125,-0.4000000000000001,400,425,False,
20,0.9490072579992557,8604436099000,0.044932182,True,22.812069999417872,24.190337000618456,ready,-0.2125,-0.4000000000000001,400,425,False,
21,0.9976905010007613,8604483214000,0.04650098,True,24.30494600048405,24.33274199938751,ready,-0.2125,-0.4000000000000001,400,425,False,
22,1.0434843019993423,8604530330000,0.045178337,True,21.27726700018684,24.471312999594375,ready,-0.2125,-0.4000000000000001,400,425,False,
23,1.0904751910002233,8604577445000,0.045053836,True,22.59657300055551,24.347149001187063,ready,-0.2125,-0.3953125,400,424,False,
24,1.1377022039996518,8604624560000,0.045166127,True,22.77173699985724,24.410091999016004,ready,-0.2125,-0.4000000000000001,400,425,False,
25,1.1845994830000564,8604671675000,0.04494824,True,22.56540799862705,24.2851500006509,ready,-0.2125,-0.3953125,400,424,False,
26,1.231751904999328,8604718791000,0.04498581,True,22.789755001213052,24.31624299970281,ready,-0.2125,-0.3953125,400,424,False,
