frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,target_source,near_offset,preview_error,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.110299567999391,9406272094000,0.087212805,True,43.92699399977573,62.32331300088845,ready,paired,0.021875,-0.08125000000000002,370,377,True,
2,0.17977223599882564,9406366322000,0.062434121,True,25.499044999378384,39.88573300011922,ready,paired,0.021875,-0.08125000000000002,370,377,True,
3,0.21580757399897266,9406413439000,0.052689361,True,3.198499000063748,30.081684999458957,ready,paired,0.021875,-0.08125000000000002,370,377,True,
4,0.25749049699879833,9406460553000,0.047280821,True,12.544906001494383,26.418231998832198,ready,paired,0.021875,-0.08125000000000002,370,377,True,
5,0.30457061899869586,9406507670000,0.047231684,True,17.89588400060893,26.451897998413187,ready,paired,0.021875,-0.08125000000000002,400,377,True,
6,0.3517498330002127,9406554784000,0.047297065,True,17.884254999444238,26.562562999970396,ready,paired,0.021875,-0.08125000000000002,400,377,True,
7,0.3987368649995915,9406601899000,0.047175652,True,17.78088700120861,26.479359999939334,ready,paired,0.021875,-0.08125000000000002,400,377,True,
8,0.44596954000007827,9406649015000,0.047286087,True,17.97991999956139,26.52121199935209,ready,paired,0.021875,-0.08125000000000002,400,377,True,
9,0.49323356700006116,9406696130000,0.04744278,True,17.868754999653902,26.669987000786932,ready,paired,0.021875,-0.08125000000000002,400,377,True,
10,0.5402527089991054,9406743245000,0.047349996,True,17.631962999075768,26.663265000024694,ready,paired,0.021875,-0.08125000000000002,400,377,True,
11,0.5867081389988016,9406790361000,0.04669213,True,17.756515999280964,25.978981000662316,ready,paired,0.021875,-0.08125000000000002,400,377,True,
12,0.6326609119987552,9406837475000,0.045518421,True,18.429911999191972,24.790798001049552,ready,paired,0.021875,-0.08125000000000002,400,377,True,
13,0.6798444209998706,9406884591000,0.045605856,True,19.585650999943027,24.883758998839767,ready,paired,0.021875,-0.08125000000000002,400,377,True,
14,0.7281238559990015,9406931706000,0.046757236,True,19.669186000101035,25.884872000460746,ready,paired,0.021875,-0.08125000000000002,400,377,True,
15,0.7752393669998128,9406978821000,0.046766598,True,18.294302999493084,26.103681999302353,ready,paired,0.021875,-0.0859375,400,378,True,
16,0.8206716669992602,9407025937000,0.045073936,True,18.39582000138762,24.308807000124943,ready,paired,0.021875,-0.09062500000000001,400,379,True,
17,0.8680687100004434,9407073053000,0.045351812,True,20.137825998972403,24.530339000193635,ready,paired,0.01875,-0.09375000000000001,400,379,True,
18,0.9161073159993975,9407120168000,0.046277103,True,19.741165999221266,25.56969200122694,ready,paired,0.01875,-0.09843750000000002,400,380,True,
19,0.9610811429993191,9407167283000,0.044143337,True,18.762591000268003,23.490636000133236,ready,paired,0.01875,-0.09843750000000002,400,380,True,
20,1.0088451979991078,9407214399000,0.044779744,True,21.003403000577237,24.030348999076523,ready,paired,0.015625,-0.09687500000000002,400,380,True,
21,1.0565036989992223,9407261514000,0.04532656,True,20.266378998712753,24.66320799976529,ready,paired,0.0125,-0.10000000000000002,400,380,True,
22,1.1066583589999937,9407308629000,0.048377572,True,21.246027999950456,26.189531999989413,ready,paired,0.0,-0.09843750000000002,400,380,True,
23,1.1513428399994154,9407355746000,0.045934571,True,16.819940999994287,25.13894000003347,ready,paired,0.011458333333333393,-0.11354166666666672,400,382,True,
24,1.2002104860002873,9407402860000,0.047692347,True,19.17060199957632,26.973703999829013,ready,paired,0.0109375,-0.11328125000000001,400,382,True,
25,1.2474940119991516,9407449977000,0.047852503,True,17.475001999628148,27.077479999206844,ready,paired,0.013541666666666608,-0.11927083333333331,400,383,True,
26,1.2960520159995212,9407497093000,0.049270304,True,17.30482099992514,28.499861000454985,ready,paired,0.009375,-0.11718750000000003,400,383,True,
27,1.344865793000281,9407544208000,0.050993562,True,15.843736000533681,30.24120100053551,ready,paired,0.021875,-0.1234375,400,384,True,
28,1.3912199839996902,9407591323000,0.050234642,True,14.162581001073704,29.46288199927949,ready,paired,0.01875,-0.12187500000000005,400,383,True,
29,1.437442510999972,9407638439000,0.049343854,True,15.037787999972352,28.460547000577208,ready,paired,0.015625,-0.12968750000000004,400,384,True,
30,1.4841624179989594,9407685554000,0.048914095,True,15.882623998550116,28.08029500010889,ready,paired,0.015625,-0.12968750000000004,400,384,True,
31,1.531325261999882,9407732669000,0.048977457,True,16.1828410000453,28.23610700033896,ready,paired,0.015625,-0.13437500000000005,400,385,True,
32,1.577013279998937,9407779785000,0.047563474,True,16.42935400013812,26.528897000389406,ready,paired,0.0125,-0.13281250000000003,400,385,True,
33,1.6239973299998383,9407826900000,0.047448839,True,17.543742000270868,26.727874999778578,ready,paired,0.015625,-0.13437500000000005,400,385,True,
34,1.6745124659992143,9407874015000,0.050845401,True,20.207084000503528,27.589636998527567,ready,paired,0.009375,-0.14531250000000004,400,387,True,
35,1.7184410890004074,9407921132000,0.047666728,True,14.512851999825216,26.709671001299284,ready,paired,0.009375,-0.15000000000000005,400,388,True,
36,1.7650031470002432,9407968246000,0.047104526,True,17.74942399970314,26.09629399921687,ready,paired,0.008333333333333392,-0.14947916666666675,400,387,True,
37,1.8144524679992173,9408015362000,0.049433218,True,18.15645299939206,28.56963900012488,ready,paired,0.0109375,-0.14609375000000005,400,387,True,
38,1.862576479999916,9408062478000,0.050439933,True,15.949029999319464,29.452845001287642,ready,paired,0.010416666666666786,-0.14114583333333341,400,386,True,
39,1.9102658689989767,9408109593000,0.051019138,True,14.7971989990765,30.174794999766164,ready,paired,0.015625,-0.15312500000000004,400,388,True,
40,1.956286511000144,9408156709000,0.049893984,True,14.14204300090205,29.130368999176426,ready,paired,0.0125,-0.14687500000000003,400,387,True,
41,2.0029976400001033,9408203824000,0.04949402,True,15.548647999821696,28.417733999958728,ready,paired,0.0125,-0.14218750000000002,400,386,True,
42,2.0502598709990707,9408250942000,0.049632603,True,15.81756899940956,28.694710001218482,ready,paired,0.0125,-0.14218750000000002,400,386,True,
43,2.094817815999704,9408298055000,0.047110714,True,15.465038999536773,26.37473300092097,ready,paired,0.015625,-0.14375000000000004,400,387,True,
44,2.144113713999104,9408345170000,0.04928365,True,21.448210000016843,25.122033001025557,ready,paired,0.009375,-0.14062500000000003,400,386,True,
45,2.189149539999562,9408392285000,0.047210827,True,15.918142000373336,26.400658998682047,ready,paired,0.015625,-0.15781250000000005,400,389,True,
46,2.2357984489990486,9408439401000,0.046730254,True,18.03130799999053,25.883259999318398,ready,paired,0.017708333333333392,-0.14947916666666675,400,387,True,
47,2.284751334000248,9408486515000,0.048583806,True,18.61833500151988,27.615839999270975,ready,paired,0.023958333333333394,-0.13854166666666676,400,386,True,
48,2.332836124000096,9408533631000,0.049542078,True,16.65361000050325,28.70456199889304,ready,paired,0.01875,-0.13125000000000006,400,385,True,
49,2.382573589000458,9408580746000,0.05218732,True,15.688756999225006,31.34171800047625,ready,paired,0.03125,-0.13750000000000004,400,386,True,
50,2.4252695119994314,9408627862000,0.047734558,True,14.656479999757721,25.303178001195192,ready,paired,0.028125,-0.13593750000000004,400,385,True,
51,2.4715504639989376,9408674978000,0.046914028,True,17.268802999751642,26.289068000551197,ready,paired,0.025,-0.13437500000000005,400,385,True,
52,2.5166472509990854,9408722092000,0.044892539,True,18.18000899947947,24.18586400017375,ready,paired,0.015625,-0.12968750000000004,400,384,True,
53,2.562504469999112,9408769208000,0.043644516,True,20.275842000046396,22.863796000820003,ready,paired,0.028125,-0.13125000000000003,400,385,True,
54,2.6133265259995824,9408816323000,0.047307073,True,24.553858000217588,23.506876999817905,ready,paired,0.02604166666666661,-0.13489583333333335,400,385,True,
55,2.659364426999673,9408863441000,0.046261344,True,17.82890400136239,25.480749000053038,ready,paired,0.029166666666666785,-0.14583333333333343,400,387,True,
56,2.706589694998911,9408910554000,0.046369445,True,18.98671699927945,25.505859999611857,ready,paired,0.02890625,-0.14101562500000006,400,386,True,
57,2.752829555000062,9408957670000,0.04550112,True,18.672185000468744,24.843870998665807,ready,paired,0.034375,-0.14843750000000006,400,387,True,
58,2.799319800000376,9409004786000,0.044863883,True,19.617669000581373,24.134531999152387,ready,paired,0.028125,-0.15000000000000002,400,388,True,
59,2.8453863479990105,9409051901000,0.043828154,True,20.271620000130497,23.073050999300904,ready,paired,0.03125,-0.15625000000000006,400,388,True,
60,2.892505562998849,9409099016000,0.043828276,True,21.25363899904187,23.1396239996684,ready,paired,0.028125,-0.16406250000000006,400,390,True,
61,2.938322022999273,9409146132000,0.042536588,True,21.767816000647144,21.329081999283517,ready,paired,0.03229166666666661,-0.16145833333333331,400,389,True,
62,2.9858621379989927,9409193248000,0.042960091,True,22.549024000909412,22.273750999374897,ready,paired,0.033333333333333395,-0.14166666666666666,400,386,True,
63,3.0352397930000734,9409240363000,0.045217784,True,22.237899000174366,24.41656500013778,ready,paired,0.034375,-0.16249999999999987,400,389,True,
64,3.0872853649998433,9409287478000,0.050143874,True,20.703481999589712,28.612526000870275,ready,paired,0.034375,-0.16249999999999987,400,389,True,
65,3.1298578639998595,9409334595000,0.045610299,True,15.420724001160124,24.435008999716956,ready,paired,0.028125,-0.19218750000000004,400,394,True,
66,3.1753145530001348,9409381709000,0.04393734,True,19.59102000000712,23.12984699892695,ready,paired,0.028125,-0.19218750000000004,400,394,True,
67,3.221507505999398,9409428825000,0.043026905,True,21.362138000768027,22.10916100011673,ready,paired,0.025,-0.19531250000000006,400,394,True,
68,3.268574240999442,9409475939000,0.042979028,True,22.379416001058416,21.967274000417092,ready,paired,0.025,-0.20468750000000002,400,396,True,
69,3.316602401999262,9409523055000,0.043866727,True,22.340434999932768,22.942719999264227,ready,paired,0.01640625,-0.19570312500000003,400,394,True,
70,3.3657755429994722,9409570171000,0.045942201,True,21.23773200037249,25.207198999851244,ready,paired,0.0171875,-0.19609375000000004,400,394,True,
71,3.4120564029999514,9409617286000,0.04511993,True,19.412708999880124,24.152790998414275,ready,paired,0.0125,-0.19375000000000003,400,394,True,
72,3.458319928999117,9409664401000,0.044264197,True,20.27874899977178,23.26436299881607,ready,paired,0.019270833333333393,-0.20182291666666674,400,395,True,
73,3.5200753079989227,9409711517000,0.058869744,True,21.21278800041182,37.788584999361774,ready,width_estimated,0.03947172619047645,-0.21079613095238098,400,397,True,
74,3.5651094490003743,9409758633000,0.056779348,True,6.653177999396576,35.61954900033015,ready,width_estimated,0.02972470238095202,-0.2044270833333338,400,396,True,
75,3.6060752920002415,9409805749000,0.050670746,True,8.572755001296173,29.670191999684903,unavailable,unavailable,,,370,365,True,target_unavailable
