frame,elapsed_s,capture_wait_ms,vision_and_pwm_ms,track_status,control_status,near_status,far_status,pair_status,near_offset,far_y,far_x,preview_error,steering_pwm,pwm_sent
1,0.042019050000817515,32.50641399972665,9.075032001419459,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,87.0,0.06770833333333329,347,True
2,0.13556584300022223,41.445912000199314,8.124047999444883,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,87.0,0.06770833333333329,347,True
3,0.18226266599958763,38.928529000259005,7.673037000131444,selected,ready,interpolated,direct,consistent,0.125,0.55,86.75,0.0640625,347,True
4,0.22938731599970197,39.298948999203276,7.738424999843119,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,87.0,0.06770833333333329,347,True
5,0.27675655399980315,39.26087500076392,8.018660999368876,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,87.0,0.06770833333333329,347,True
6,0.3710380560005433,45.45288200097275,8.144176999849151,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,87.0,0.06770833333333329,347,True
7,0.4181014290006715,38.93804600011208,8.036680001168861,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,87.0,0.06770833333333329,347,True
8,0.46525339300023916,39.01228699942294,8.050290000028326,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,87.0,0.06770833333333329,347,True
9,0.512167397999292,38.919917000384885,7.90814499850967,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,87.0,0.06770833333333329,347,True
10,0.606148368000504,45.54139799984114,7.652334001249983,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,87.0,0.06770833333333329,347,True
11,0.6534221630008687,39.22891299953335,7.957069001349737,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,86.75,0.0630208333333333,347,True
12,0.7006470150008681,39.21259700109658,7.927829999971436,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,87.0,0.06770833333333329,347,True
13,0.747641444000692,39.000971999485046,7.9053850004129345,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,87.0,0.06770833333333329,347,True
14,0.8418380589992012,46.14183300145669,7.794534998538438,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,87.0,0.06770833333333329,347,True
15,0.88884324799983,39.24150500097312,7.678907999434159,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,87.0,0.06770833333333329,347,True
16,0.9361602829994808,39.29889300161449,7.931921998533653,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,87.0,0.06770833333333329,347,True
17,0.9835572610008967,39.74351500073681,7.5662060007744,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,87.0,0.06770833333333329,347,True
18,1.0772412730002543,46.08555599952524,7.741127999906894,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,86.75,0.0630208333333333,347,True
19,1.124760527000035,39.370428001348046,7.912921999377431,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,87.0,0.06770833333333329,347,True
20,1.1716919020000205,38.88325200023246,7.962401999975555,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,87.0,0.06770833333333329,347,True
21,1.2189110870003788,39.16137699889077,7.974087000548025,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,87.0,0.06770833333333329,347,True
22,1.312840540000252,46.35686599976907,7.704333000219776,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,87.0,0.06770833333333329,347,True
23,1.3602600360009092,39.353762000246206,7.9816060006123735,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,86.75,0.0630208333333333,347,True
24,1.4073926670007495,39.04641600092873,7.998697999937576,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,87.0,0.06770833333333329,347,True
25,1.4543925230009336,38.94721300093806,7.9442740006925305,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,87.0,0.06770833333333329,347,True
26,1.5483631780007272,46.38353299924347,7.684629001232679,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,87.0,0.06770833333333329,347,True
27,1.5958927280007629,39.53698100121983,7.905700000264915,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,86.75,0.0630208333333333,347,True
28,1.6428680099998019,38.947695000388194,7.9383470001630485,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,87.0,0.06770833333333329,347,True
29,1.690023196000766,39.08704500099702,7.984476000274299,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,87.0,0.06770833333333329,347,True
30,1.7843051239997294,46.15816499972425,8.074048999333172,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,87.0,0.06770833333333329,347,True
31,1.8315414570006396,39.01884199876804,8.132103001116775,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,87.0,0.06770833333333329,347,True
32,1.878159207999488,38.874084000781295,7.658426999114454,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,87.0,0.06770833333333329,347,True
33,1.9255969080004434,39.41776099964045,7.936996000353247,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,86.75,0.0630208333333333,347,True
34,2.0203854009996576,46.26836799980083,8.548928999516647,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,86.75,0.0630208333333333,347,True
35,2.06680178500028,38.371093998648576,7.955606000905391,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,86.75,0.0630208333333333,347,True
36,2.1139514530004817,39.04998899997736,8.013032000235398,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,87.0,0.06770833333333329,347,True
37,2.1610308250001253,38.85795600035635,7.9531800001859665,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,87.0,0.06770833333333329,347,True
38,2.255302568000843,46.241480000389856,8.02762300008908,selected,ready,interpolated,direct,consistent,0.12708333333333338,0.55,87.0,0.06770833333333329,347,True
