frame,elapsed_s,capture_wait_ms,vision_and_pwm_ms,track_status,control_status,near_status,far_status,near_offset,far_y,far_x,preview_error,steering_pwm,pwm_sent
1,0.051707089000046835,37.64706800029671,13.422920999801136,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
2,0.13950730999931693,46.42740100098308,9.918517998812604,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
3,0.18651336699986132,36.86387800007651,10.026477999417693,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
4,0.23835184299969114,38.56607000125223,13.145110999175813,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
5,0.2854676589995506,33.825594999143505,13.147149000360514,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
6,0.33082789199943363,6.153062999146641,11.985797000306775,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
7,0.3777629699998215,34.95403899978555,11.84878200001549,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
8,0.42185602099925745,34.07338699980755,9.88333299937949,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
9,0.46884480100015935,37.195538001469686,9.683317999588326,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
10,0.5197582189994137,39.37424200012174,11.431011000240687,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
11,0.5658902359991771,7.2345070002484135,11.610229999860167,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
12,0.6112317480001366,35.37188399968727,9.841723000135971,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
13,0.659204621999379,38.193816999410046,9.672706999481306,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
14,0.7048002589999669,35.258848998637404,10.228327000731952,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
15,0.7542039990003104,37.73328900024353,11.543675000211806,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
16,0.802004950999617,9.616542000003392,11.6064150006423,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
17,0.8411227529995813,32.2894359997008,6.7009609992965125,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
18,0.8881520510003611,40.207283998825005,6.74197900116269,selected,ready,direct,direct,-0.04375,0.55,76.25,-0.0484375,354,True
19,0.9351531270003761,40.29259700109833,6.626925000091433,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
20,0.9821661289988697,40.338022001378704,6.5970549985649996,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
21,1.029485699998986,26.35999899939634,6.64116599909903,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
22,1.07645309200052,40.30331899957673,6.583908001630334,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
23,1.1235163339988503,40.28213499987032,6.552666998686618,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
24,1.1707976269990468,40.51924200030044,6.681200999082648,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
25,1.2179268679992674,40.31039300025441,6.7384599988145055,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
26,1.2655833779990644,26.612957999532227,6.862920999992639,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
27,1.3121109989988327,39.73079200113716,6.716348998452304,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
28,1.3592227959998127,40.35570700034441,6.674369000393199,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
29,1.4064081649994478,40.316947999599506,6.787588999941363,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
30,1.4532847810005478,40.25504199853458,6.540445001519402,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
31,1.5005874630005565,26.30138899985468,6.672017001619679,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
32,1.5476688719991216,40.248449999126024,6.752311999662197,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
33,1.5947415579994413,40.44500199961476,6.548538000060944,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
34,1.6419462969988672,40.39761400053976,6.7268299990246305,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
35,1.6891042970000854,40.331819000130054,6.748145000528893,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
36,1.7362375190004968,26.19342799880542,6.771478001610376,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
37,1.7832382439992216,40.28155999912997,6.637628999669687,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
38,1.8304910930000915,40.41118799977994,6.762774000890204,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
39,1.8774723000005906,40.23926399895572,6.6624250011955155,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
40,1.9244933939990005,40.35183700034395,6.586313998923288,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
41,1.9717465399990033,26.342628998463624,6.626573000175995,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
42,2.0189848159989197,40.45294699972146,6.70407100005832,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
43,2.0658037289995264,40.137766000043484,6.600554999749875,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
44,2.1129528589990514,40.42463199948543,6.6454989992053015,selected,ready,direct,direct,-0.040625,0.55,76.5,-0.0453125,354,True
45,2.1601267650003138,40.31772700000147,6.62383200142358,selected,ready,direct,direct,-0.04375,0.55,76.5,-0.04375,354,True
