frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,near_offset,preview_error,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.06449490299928584,6525139168000,0.042392186,True,41.91787999934604,18.207255000561418,ready,0.0375,0.004687499999999997,370,364,True,
2,0.1096286889996918,6525186285000,0.040412546,True,24.341610000192304,16.405315999691084,ready,0.040625,0.003124999999999989,370,365,True,
3,0.15175563799948577,6525233397000,0.03572884,True,26.482393000151205,11.561300999346713,ready,0.040625,0.003124999999999989,370,365,True,
4,0.197917695999422,6525280513000,0.034801397,True,30.494575999910012,11.618317999818828,ready,0.0375,0.004687499999999997,370,364,True,
5,0.2446487769993837,6525327627000,0.034193428,True,30.681182999614975,11.773406999964209,ready,0.0375,0.004687499999999997,400,364,True,
6,0.2933554049996019,6525374744000,0.035795296,True,31.689639999967767,12.751958000080776,ready,0.0375,0.004687499999999997,400,364,True,
7,0.34191105399986554,6525421859000,0.037238445,True,31.624437999198562,12.669330000790069,ready,0.0375,0.004687499999999997,400,364,True,
8,0.38735859200005507,6525468974000,0.035561594,True,28.574566000315826,12.601221000295482,ready,0.0375,0.004687499999999997,400,364,True,
9,0.4343122800000856,6525516090000,0.035419578,True,30.125307000162138,12.575332999404054,ready,0.0375,0.004687499999999997,400,364,True,
10,0.48076536799999303,6525563204000,0.034755407,True,30.260879000707064,11.934717999793065,ready,0.0375,0.004687499999999997,400,364,True,
11,0.5278516079997644,6525610320000,0.034726888,True,30.923196000003372,11.906699999599368,ready,0.0375,0.004687499999999997,400,364,True,
12,0.5747867410000254,6525657435000,0.034522762,True,31.010250000690576,11.645132000012381,ready,0.034375,0.010937499999999992,400,363,True,
13,0.622656945000017,6525704549000,0.035302724,True,31.283724000786606,12.331227999311523,ready,0.034375,0.006249999999999992,400,364,True,
14,0.6696804089997386,6525751664000,0.035194874,True,30.480021999210294,12.270025000361784,ready,0.03125,0.007812499999999993,400,364,True,
15,0.716426212999977,6525798782000,0.034835881,True,30.653628000436584,11.833553999167634,ready,0.03125,0.007812499999999993,400,364,True,
16,0.7641597149995505,6525845896000,0.035443829,True,30.898308000359975,12.56503700005851,ready,0.0125,0.0171875,400,362,True,
17,0.8102332569997088,6525893011000,0.034406,True,30.170250999617565,11.635540000497713,ready,0.046875,-1.3877787807814457e-17,400,365,True,
18,0.8578003939992414,6525940126000,0.034862507,True,31.36509300020407,11.939662999793654,ready,0.0421875,-0.0023437500000000125,400,365,True,
19,0.9044363489992975,6525987242000,0.034391684,True,30.852030999994895,11.529912999321823,ready,0.0375,-6.938893903907228e-18,400,365,True,
