frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,target_source,near_extrapolation,near_uncertainty_px,near_offset,preview_error,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.0707598249991861,13324851759000,0.089509941,True,2.363420999245136,64.33738200030348,ready,paired,,,-0.0010416666666666075,-0.041666666666666706,370,371,True,
2,0.14147146600043925,13324945988000,0.065589015,True,23.653107000427553,42.570888999762246,ready,paired,,,-0.0010416666666666075,-0.04635416666666671,370,372,True,
3,0.21751675499945122,13325040218000,0.049104459,True,44.92927399951441,28.328895999948145,ready,paired,,,-0.004166666666666608,-0.04479166666666671,370,372,True,
4,0.26489259700065304,13325087334000,0.049404561,True,16.062257000157842,28.579373998582014,ready,paired,,,-0.0020833333333333927,-0.04114583333333332,370,371,True,
5,0.31217894200017327,13325134450000,0.049549387,True,15.649339000447071,28.87968300092325,ready,paired,,,-0.0020833333333333927,-0.045833333333333316,400,372,True,
6,0.3592964370000118,13325181566000,0.049565771,True,15.533489000517875,28.840553999543772,ready,paired,,,-0.0010416666666666075,-0.041666666666666706,400,371,True,
7,0.4059344039997086,13325228681000,0.049091867,True,15.467619999981252,28.42963499824691,ready,paired,,,-0.0020833333333333927,-0.045833333333333316,400,372,True,
8,0.45293725299961807,13325275796000,0.048976476,True,16.04749900070601,28.210491000209004,ready,paired,,,-0.00625,-0.04375000000000001,400,372,True,
9,0.5005689800000255,13325322912000,0.049509536,True,16.00948099985544,28.895997000290663,ready,paired,,,-0.007291666666666608,-0.04322916666666671,400,371,True,
10,0.5504636130008294,13325370027000,0.052277928,True,17.79209800042736,29.361805000007735,ready,paired,,,-0.013541666666666608,-0.040104166666666705,400,371,True,
11,0.5951549090004846,13325417143000,0.049855299,True,12.897422999230912,29.05597700009821,ready,paired,,,-0.01875,-0.037500000000000006,400,371,True,
12,0.6427960990004067,13325464258000,0.050379174,True,15.270772000803845,29.630132999955094,ready,paired,,,-0.0078125,-0.04765625000000001,400,372,True,
13,0.6904765109993605,13325511374000,0.050945696,True,14.7925760011276,30.148845999065088,ready,paired,,,0.003125,-0.062499999999999944,400,374,True,
14,0.7373928430006345,13325558490000,0.050749621,True,15.10627399875375,29.075846001433092,ready,paired,,,-0.009375,-0.03749999999999998,400,371,True,
15,0.781858218000707,13325605605000,0.048071552,True,14.328620998639963,27.37602400156902,ready,paired,,,0.0,-0.05624999999999995,400,373,True,
16,0.8308640510003897,13325652721000,0.049982811,True,17.03348199953325,29.230046999145998,ready,paired,,,-0.00625,-0.00625,400,366,True,
17,0.877288335999765,13325699835000,0.049303151,True,15.21395800045866,28.47963400017761,ready,paired,,,-0.009375,-0.009375,400,366,True,
18,0.9236421410005278,13325746951000,0.04853603,True,15.688800998759689,27.928755000175443,ready,paired,,,-0.009375,-0.009375,400,366,True,
19,0.9690772960002505,13325794067000,0.046870073,True,16.446640000140178,26.265876998877502,ready,paired,,,-0.009375,-0.014062500000000002,400,367,True,
20,1.020537938000416,13325841181000,0.051212382,True,21.44344199950865,27.2906360005436,ready,paired,,,-0.0125,-0.0171875,400,368,True,
21,1.0634498029994575,13325888298000,0.047011265,True,13.994683000419172,26.198117999228998,ready,paired,,,-0.01875,-0.0234375,400,369,True,
22,1.1114004690007278,13325935413000,0.047835228,True,18.12929500010796,27.084900000772905,ready,paired,,,-0.0375,-0.018749999999999996,400,368,True,
23,1.159214563000205,13325982529000,0.048516934,True,17.349604999253643,27.714203999494202,ready,paired,,,-0.01875,-0.03281250000000001,400,370,True,
24,1.208129619999454,13326029644000,0.05030812,True,16.568433999054832,29.58704100092291,ready,paired,,,-0.009375,-0.046875000000000014,400,372,True,
25,1.2549931199991988,13326076760000,0.050077416,True,14.79494699924544,29.330342000321252,ready,paired,,,-0.003125,-0.059374999999999956,400,374,True,
26,1.3004092739993212,13326123876000,0.048385274,True,15.239254000334768,27.44774500024505,ready,paired,,,-0.0125,-0.049999999999999975,400,372,True,
