frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,near_offset,preview_error,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.06806292800001756,3607145591000,0.044647249,True,43.428034000044136,20.128236999880755,ready,-0.090625,-0.203125,370,395,True,
2,0.1072223579999445,3607192706000,0.036935547,True,22.410656999909406,12.462278999919363,ready,-0.090625,-0.203125,370,395,True,
3,0.15296655300016937,3607239821000,0.035542354,True,28.767888999936986,12.67964699991353,ready,-0.090625,-0.203125,370,395,True,
4,0.20343245899994145,3607286936000,0.038939166,True,34.246869000071456,11.969283999860636,ready,-0.0875,-0.20468750000000002,370,396,True,
5,0.24689397400015878,3607334052000,0.0352692,True,27.013146999706805,12.182023000150366,ready,-0.084375,-0.20624999999999988,400,396,True,
6,0.29319840400012254,3607381171000,0.034587185,True,30.615592000231118,11.555917999885423,ready,-0.084375,-0.20625000000000002,400,396,True,
7,0.338081608000266,3607428284000,0.03242337,True,30.910736999885557,9.907656999985193,ready,-0.084375,-0.20624999999999988,400,396,True,
8,0.3860749840000608,3607475399000,0.033295394,True,33.198453999830235,10.720241999933933,ready,-0.0875,-0.20468750000000002,400,396,True,
9,0.4366820000000189,3607522515000,0.036570485,True,33.152342999983375,13.16410499975973,ready,-0.084375,-0.20625000000000002,400,396,True,
10,0.4833660930003134,3607569631000,0.036142745,True,29.597177000141528,12.796385999990889,ready,-0.084375,-0.20625000000000002,400,396,True,
11,0.5284588320000694,3607616747000,0.034146502,True,29.627584000081697,11.201032999906602,ready,-0.084375,-0.20625000000000002,400,396,True,
12,0.5756664750001619,3607663861000,0.034243461,True,31.726672999866423,11.224533000131487,ready,-0.084375,-0.21093750000000003,400,397,True,
13,0.6244214170001214,3607710980000,0.03581994,True,32.094687999688176,12.343262000285904,ready,-0.084375,-0.20625000000000002,400,396,True,
14,0.6775573510003596,3607758095000,0.041846096,True,36.177997999857325,12.64157300010993,ready,-0.084375,-0.21093750000000003,400,397,True,
15,0.7180698970000776,3607805210000,0.035315956,True,25.39512699968327,10.87709100011125,ready,-0.084375,-0.20625000000000002,400,396,True,
16,0.7638622399999804,3607852326000,0.033993503,True,30.46487099982187,11.089794000326947,ready,-0.0875,-0.21406250000000002,400,397,True,
