frame,elapsed_s,sensor_timestamp,frame_age_s,fresh,capture_ms,vision_ms,control_status,near_offset,preview_error,requested_throttle,requested_steering,pwm_enabled,stop_reason
1,0.06822008800008916,5807406620000,0.048895856,True,41.558751000593475,22.192252999957418,ready,-0.075,-0.2109375,370,397,True,
2,0.10811206699963805,5807453735000,0.041870832,True,18.296123999789415,17.27678699990065,ready,-0.075,-0.2109375,370,397,True,
3,0.1497549279993109,5807500850000,0.03640523,True,23.940228000356,13.42556599956879,ready,-0.075,-0.2109375,370,397,True,
4,0.19688507999944704,5807547964000,0.036634768,True,29.312353999557672,13.756875000581203,ready,-0.075,-0.20625000000000004,370,396,True,
5,0.24158324800009723,5807595080000,0.034205604,True,28.810472999794,11.814439999398019,ready,-0.075,-0.20156250000000003,400,395,True,
6,0.28893624899956194,5807642196000,0.034325254,True,31.33389799950237,11.830311000267102,ready,-0.071875,-0.203125,400,395,True,
7,0.3378608009998061,5807689312000,0.036056955,True,31.690077999883215,12.966257000698533,ready,-0.071875,-0.203125,400,395,True,
8,0.3845290519993796,5807736428000,0.035614207,True,29.708293000112462,12.65755700023874,ready,-0.075,-0.20156250000000003,400,395,True,
9,0.431557390999842,5807783542000,0.035539786,True,30.01069499987352,12.764334000166855,ready,-0.075,-0.20625000000000004,400,396,True,
10,0.4787567459998172,5807830659000,0.035618659,True,30.22082200004661,12.720483000521199,ready,-0.071875,-0.20781250000000004,400,396,True,
11,0.5261243569993894,5807877775000,0.035871956,True,30.20845300034125,12.901053999485157,ready,-0.075,-0.20625000000000004,400,396,True,
12,0.5734326369993141,5807924890000,0.036077124,True,29.89980900019873,13.163661000362481,ready,-0.071875,-0.20781250000000004,400,396,True,
13,0.6202186450000227,5807972015000,0.03573017,True,29.644533999999112,12.890017999779957,ready,-0.071875,-0.20781250000000004,400,396,True,
14,0.6688601269997889,5808019120000,0.037272781,True,31.89668699997128,12.495912000304088,ready,-0.071875,-0.20781250000000004,400,396,True,
15,0.7135297969998646,5808066236000,0.034824284,True,28.41723700021248,12.00582699948427,ready,-0.071875,-0.20781250000000004,400,396,True,
16,0.7608528349992412,5808113352000,0.035034803,True,30.794018000051437,12.283654999919236,ready,-0.071875,-0.203125,400,395,True,
17,0.8096978690000469,5808160468000,0.036714839,True,30.796203000136302,13.75243100028456,ready,-0.06875,-0.2,400,395,True,
18,0.8580304669994803,5808207583000,0.037921529,True,29.513870000300813,14.512863999698311,ready,-0.065625,-0.20156250000000003,400,395,True,
19,0.9038859889997184,5808254698000,0.036700903,True,28.296645999944303,13.29008600077941,ready,-0.06875,-0.19531250000000003,400,394,True,
20,0.9495888470000864,5808301816000,0.035294909,True,29.072839000036765,12.37206200039509,ready,-0.0640625,-0.19765625000000003,400,395,True,
21,0.9965914449994671,5808348930000,0.035192618,True,30.41806000055658,12.336691999735194,ready,-0.059375,-0.1953125,400,394,True,
22,1.0433778799997526,5808396046000,0.034843831,True,30.512355000610114,12.00715999948443,ready,-0.0609375,-0.19453125000000002,400,394,True,
